mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__alpha,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.22500033378601075,0.007656135162218633,0.0,0.0,0.1,275,"{'SVM__alpha': 0.1, 'SVM__n_iter': 275}",0.8626093294460642,0.8990980320699707,0.9086643586005833,0.8788093065693431,0.8985859709993127,0.8895517894534927,0.016612875921095484,6,0.8968128715735771,0.8877500417670093,0.8852866031808125,0.8927592225614412,0.8878856814098224,0.8900988840985326,0.004140734297754652
0.18437371253967286,0.018223630083673847,0.0031250476837158202,0.0062500953674316405,0.03162277660168379,275,"{'SVM__alpha': 0.03162277660168379, 'SVM__n_iter': 275}",0.8625182215743441,0.896000364431487,0.9100765306122449,0.8787669447340981,0.902235606035809,0.8899165689831227,0.017150384188494773,5,0.8967083521794229,0.8878394842894922,0.8843167935976268,0.8921533125456979,0.8869071353705535,0.8895850155965587,0.004366008666288636
0.17499895095825196,0.011692577406042074,0.00625,0.007654655469960609,0.01,275,"{'SVM__alpha': 0.01, 'SVM__n_iter': 275}",0.8618349125364433,0.8975491982507289,0.9100765306122449,0.8787669447340981,0.902235606035809,0.8900897881498305,0.01749126549950161,4,0.8963901079422514,0.8880682860041808,0.8843167935976268,0.8921533125456979,0.8869071353705535,0.8895671270920621,0.0042456920578546695
0.1843747615814209,0.006250476864440963,0.009374856948852539,0.007654538655821181,0.0031622776601683794,275,"{'SVM__alpha': 0.0031622776601683794, 'SVM__n_iter': 275}",0.8618349125364433,0.8975491982507289,0.9086643586005833,0.8788093065693431,0.8985859709993127,0.889086832742856,0.016697450239233896,7,0.8963901079422514,0.8880682860041808,0.8852866031808125,0.8927592225614412,0.8878856814098224,0.8900779802197016,0.003970751962069858
0.17187399864196778,0.013975158306843842,0.009375381469726562,0.00765496691839022,0.001,275,"{'SVM__alpha': 0.001, 'SVM__n_iter': 275}",0.8618349125364433,0.8975491982507289,0.9086643586005833,0.8788093065693431,0.8985859709993127,0.889086832742856,0.016697450239233896,7,0.8963901079422514,0.8880682860041808,0.8852866031808125,0.8927592225614412,0.8878856814098224,0.8900779802197016,0.003970751962069858
0.18124947547912598,0.007654713855866252,0.0031251430511474608,0.0062502861022949215,0.00031622776601683794,275,"{'SVM__alpha': 0.00031622776601683794, 'SVM__n_iter': 275}",0.8626093294460642,0.8990980320699707,0.9086643586005833,0.8788093065693431,0.902235606035809,0.8902805927552606,0.01706706304144392,2,0.8968128715735771,0.8877500417670093,0.8852866031808125,0.8927592225614412,0.8869071353705535,0.8899031748906788,0.004262062551255118
0.1781242847442627,0.012499761605522968,0.003125,0.00625,0.0001,275,"{'SVM__alpha': 0.0001, 'SVM__n_iter': 275}",0.8618349125364433,0.8975491982507289,0.9100765306122449,0.8788093065693431,0.902235606035809,0.8900982567903051,0.01748579073485846,3,0.8963901079422514,0.8880682860041808,0.8843167935976268,0.8927592225614412,0.8869071353705535,0.8896883090952107,0.004325672159242982
0.1843745231628418,0.01530940823571651,0.0,0.0,3.1622776601683795e-05,275,"{'SVM__alpha': 3.1622776601683795e-05, 'SVM__n_iter': 275}",0.8625182215743441,0.892993804664723,0.9172740524781341,0.8785974973931179,0.902235606035809,0.8907214398600202,0.01889929643332004,1,0.8967083521794229,0.8890810850457807,0.888189104719061,0.8962631136239123,0.8869071353705535,0.8914297581877462,0.00418800899902962
0.17499914169311523,0.018221176779525332,0.006250143051147461,0.00765483065663891,1e-05,275,"{'SVM__alpha': 1e-05, 'SVM__n_iter': 275}",0.8618349125364433,0.8975491982507289,0.9121720116618077,0.8784704118873827,0.8809662531504697,0.8862025585429577,0.01723368240311806,9,0.8963901079422514,0.8880682860041808,0.8864236845429468,0.8966209569508572,0.8726905499713555,0.8880387170823184,0.008735857239526298
0.17683134078979493,0.011692653881208487,0.0,0.0,3.162277660168379e-06,275,"{'SVM__alpha': 3.162277660168379e-06, 'SVM__n_iter': 275}",0.8615615889212829,0.9022868075801749,0.9163174198250731,0.8931438998957247,0.7982259173185823,0.874336448380829,0.042062018875089036,10,0.8988698458491742,0.8906606929656207,0.886920813825084,0.891073061546201,0.798380048565179,0.8731808925502518,0.03760198705667759
0.17349061965942383,0.00323266986197355,0.0062500953674316405,0.007654772270733046,1e-06,275,"{'SVM__alpha': 1e-06, 'SVM__n_iter': 275}",0.8521774781341109,0.850081997084548,0.8674380466472303,0.7886274765380606,0.784409675624366,0.8285751278948714,0.034854868319577015,13,0.887223981190584,0.8551467142606831,0.86000044823132,0.80385094002611,0.7849247353653455,0.8382293638148084,0.03790490424973714
0.17187466621398925,0.0098823438825064,0.0031250476837158202,0.006250095367431641,3.162277660168379e-07,275,"{'SVM__alpha': 3.162277660168379e-07, 'SVM__n_iter': 275}",0.8746355685131195,0.808627915451895,0.865479227405248,0.8177398331595412,0.7509901476220092,0.823527695124202,0.04446135478122929,15,0.8967014249681144,0.80551650509965,0.8454023691062676,0.8300168840135479,0.7501871647310037,0.8255648695837167,0.048078044134712526
0.1687497615814209,0.011692806780843413,0.009375047683715821,0.007654694404046486,1e-07,275,"{'SVM__alpha': 1e-07, 'SVM__n_iter': 275}",0.8629737609329448,0.8475765306122448,0.7932306851311955,0.8946884775808134,0.7982259173185823,0.8393449852258065,0.03874055218136124,11,0.8981972951277256,0.8243208276795064,0.7857385018479356,0.8892738652170992,0.798380048565179,0.839182107687489,0.04633327356930699
