,train,test
0.1,0.3403737360000001,0.0018645839999997804
0.2,0.2950005900000008,0.003149401999998247
0.3,0.24604133599999756,0.005131444999999957
0.4,0.19505275399999888,0.0064587309999986076
0.5,0.1474415659999977,0.008267897999999718
0.6,0.10550454199999848,0.010285781000000327
0.7,0.07485923000000128,0.01215156900000025
0.8,0.04867825600000231,0.014138129999999194
0.9,0.024512757000000107,0.016216849000002753
