mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__alpha,param_SVM__gamma_frac,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
45.11996488571167,0.41728666053716545,1.69075665473938,0.015256793294416248,0.1,0.2,55,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 55}",0.7441593525355917,0.7431546627552709,0.7278823518266775,0.7172826052623267,0.7369597061876585,0.7338881946986535,0.010125382831292483,151,0.734380774390722,0.735613116056075,0.7381832777774324,0.7387274802588608,0.737695830630962,0.7369200958228104,0.0016504775726350813
43.507891750335695,0.41457140511183693,1.6782428741455078,0.021181985262460325,0.1,0.4,55,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.4, 'SVM__n_iter': 55}",0.764333670685952,0.7743897785840558,0.7517089988942623,0.7655943017783254,0.7560590891606642,0.7624175863457204,0.007902173871947308,88,0.761621255677546,0.7592572136376864,0.7637418385869009,0.7810858481569999,0.7643254624755602,0.7660063237069388,0.007747574502091625
42.77664728164673,0.4861273550377116,1.6626147747039794,0.023337659020713043,0.1,0.6000000000000001,55,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.6000000000000001, 'SVM__n_iter': 55}",0.7853121616934785,0.7942031925872945,0.7823255910644185,0.7649375638312436,0.7873534495023212,0.7828267793591442,0.009760628810035917,44,0.7831913809067693,0.7821789627553516,0.7916614305883911,0.7794040409535881,0.787126954342393,0.7847125539092985,0.004266839059362124
42.186037588119504,0.2527223650832782,1.662698745727539,0.018703551484154476,0.1,0.8,55,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.8, 'SVM__n_iter': 55}",0.7907640115805101,0.7964987429536196,0.7896209072311875,0.7780878528485844,0.7946249888028835,0.7899194068641044,0.006421915811222309,32,0.7896530141005409,0.7903276249961708,0.7984945908884638,0.7936644838061236,0.7969136749130602,0.7938106777408719,0.003493045372160223
42.342386198043826,0.5025291179906263,1.6846116065979004,0.028766405390414203,0.1,1.0,55,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.0, 'SVM__n_iter': 55}",0.7946959326642067,0.7991557237582029,0.7901861439122062,0.7825676216347116,0.796404013046617,0.7926019936201282,0.0058018959984697735,29,0.7944974600454735,0.7924264985409235,0.8000347300475474,0.7971656001165954,0.7975907398043134,0.7963430057109706,0.0026308704915899723
42.224178075790405,0.37428575693592664,1.672018814086914,0.0327834461355885,0.1,1.2,55,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.2, 'SVM__n_iter': 55}",0.79890415659477,0.8017874425882155,0.7912726719643132,0.7837236909988735,0.8014512780520707,0.79542783300354,0.006972082564205434,24,0.7962488274557472,0.7962973547546437,0.8025745776315197,0.7987211911672449,0.8008807164445095,0.798944533490733,0.0025000117190076597
42.28304286003113,0.44699058559433086,1.672039842605591,0.04635298403555163,0.1,1.4000000000000001,55,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.4000000000000001, 'SVM__n_iter': 55}",0.8009140624465485,0.8022428159944087,0.7940455683917963,0.7856762689914402,0.7994176182020329,0.7964594803141528,0.006068613695804945,22,0.7973066715682612,0.7966554728937977,0.8038377516949512,0.799175483769223,0.801182829379746,0.7996316418611957,0.0026293988454292863
42.498347473144534,0.5985302875102988,1.675147247314453,0.03882613265533391,0.1,1.6,55,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.6, 'SVM__n_iter': 55}",0.8015578480797477,0.803106328177259,0.7941680626539073,0.7845554713246365,0.798761862357138,0.7964302308816263,0.006669670393214417,23,0.7978257878031444,0.7975447177537457,0.8046654551541454,0.7994760532570966,0.8021168662572614,0.8003257760450786,0.0027109804191054222
42.15267806053161,0.43297144842670093,1.6501233577728271,0.007637241692503646,0.1,1.8,55,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 1.8, 'SVM__n_iter': 55}",0.8013474631977764,0.8029744922474683,0.7941587209862274,0.7848881834549418,0.7995179970597689,0.7965776262127094,0.006554474810977399,20,0.8002617693630669,0.7971707885502624,0.803783416585744,0.799926019106184,0.8017373582644927,0.8005758703739498,0.0021795850596815144
42.05002737045288,0.515605453713368,1.6345380306243897,0.012491445192155167,0.1,2.0,55,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 2.0, 'SVM__n_iter': 55}",0.8033606583691605,0.8058825139243477,0.7957286474475669,0.7871297787885488,0.8001186894367719,0.7984444070586669,0.006598388968064535,14,0.8003164993375642,0.7987157319037105,0.8028128377023698,0.8014192094963244,0.8009870349339133,0.8008502626747764,0.001344264318378739
43.84540600776673,0.48314941767575803,1.650136375427246,0.015937725340309756,0.03162277660168379,0.2,55,"{'SVM__alpha': 0.03162277660168379, 'SVM__gamma_frac': 0.2, 'SVM__n_iter': 55}",0.7536875904233958,0.7572712383472563,0.7387547372780958,0.73265106288891,0.7448526195983792,0.7454440628191342,0.009128136005350953,130,0.7522888695602331,0.7482904307259688,0.7540032018968276,0.754904296256686,0.7552112507593942,0.752939609839822,0.002537317583274841
