mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0031251430511474608,0.0062502861022949215,0.012500953674316407,0.006250476837158203,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.7587296308613236,0.7755237778516794,0.7996545768566494,0.7559585492227979,0.74706390328152,0.7673851604181603,0.01855307594634942,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.003121757507324219,0.006243515014648438,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.7587296308613236,0.7755237778516794,0.7996545768566494,0.7559585492227979,0.74706390328152,0.7673851604181603,0.01855307594634942,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.009371662139892578,0.007651932317975524,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.6671100764881942,0.6806617891586298,0.6485319516407599,0.6959412780656304,0.643350604490501,0.6671433286831476,0.0195923580522403,53,0.697304694599767,0.6918788021340062,0.7428940568475451,0.7346973355360698,0.7012644554581268,0.713607868915103,0.02094159543909988
0.0031250953674316407,0.006250190734863282,0.0062500953674316405,0.007654772248455406,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.7587296308613236,0.7858330562021948,0.7022452504317789,0.7881692573402419,0.7689119170984458,0.7608189431058139,0.031185543770393474,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.009374904632568359,0.007654577579510637,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.6509810442301297,0.68390422347855,0.6933506044905009,0.6996545768566494,0.7074265975820382,0.6869932725072939,0.0196441484289417,37,0.7454534763131729,0.7165278564784622,0.7483055873257932,0.7366565001906213,0.7347185156944972,0.7363323872005094,0.0111488192686942
0.003125,0.006250000000000001,0.0062500953674316405,0.007654772248455406,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.6993681410043233,0.7509976720984369,0.7151986183074267,0.7355785837651123,0.7292746113989638,0.7260803059448312,0.01766136849132524,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.006250333786010742,0.007655064267094941,0.006250238418579102,0.007654947478203555,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.6187229797140006,0.6645327569005652,0.6537132987910189,0.6651986183074267,0.6511226252158895,0.6506257762952404,0.016964905865043428,64,0.6956154512311162,0.6845124180770424,0.7062312026093954,0.6850934044986656,0.7030012284491887,0.6948907409730817,0.008928702820793938
0.0,0.0,0.009374666213989257,0.007654382911555983,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",0.6993681410043233,0.7884103757898236,0.7292746113989637,0.7766839378238343,0.7126079447322972,0.74127836857075,0.03524464733053021,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.00937495231628418,0.007654616516071979,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.6025939474559361,0.71034253408713,0.6792746113989637,0.6215025906735753,0.7126079447322972,0.6652328830068529,0.04545064914805738,54,0.7086589759763935,0.6876022366437514,0.7124899394247468,0.6919981361460582,0.7127123310882365,0.7026923238558374,0.010715140093732383
0.0062502861022949215,0.007655005854456353,0.00312190055847168,0.006243801116943359,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",0.6671100764881942,0.7935650149650814,0.7318652849740933,0.6855785837651124,0.7318652849740932,0.7220266638561685,0.044031346917738086,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.009372186660766602,0.007652360677975653,0.006249809265136718,0.007654421846137076,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.5890422347855004,0.6755071499833721,0.5985319516407599,0.593350604490501,0.7063039723661485,0.6325462086040381,0.0487086873005349,78,0.6727625543925674,0.6701752322709632,0.661795230228322,0.6589888592366672,0.6525289109162536,0.6632501574089547,0.007398147873483003
0.0,0.0,0.006249904632568359,0.007654538651365517,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",0.6832391087462588,0.8019620884602593,0.7126079447322972,0.6689119170984457,0.7344559585492227,0.720315350595352,0.046851367996196144,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.012509632110595702,0.006254848449190823,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.5941968739607582,0.6729298303957432,0.6126079447322971,0.6126079447322972,0.7151986183074267,0.641479842460566,0.04542756242086181,68,0.6666898313964056,0.6599702778698427,0.6715063328673698,0.657050874740543,0.6702143432032871,0.6650863320154896,0.0056714496133457686
