param_SVM__n_iter,train acc,test acc
100,0.82226444577224,0.8184948979591837
200,0.8008073396504423,0.7781462585034014
300,0.8743407078123387,0.8562287414965986
400,0.8249546655154473,0.8226615646258504
500,0.8289761132366268,0.8237244897959184
600,0.8640866157168584,0.843048469387755
700,0.8915778486167117,0.8765518707482993
800,0.8683975628347947,0.8488095238095238
900,0.8640866157168584,0.843048469387755
1000,0.8911469233552629,0.8728316326530611
1100,0.8249546655154473,0.8226615646258504
1200,0.8614889419311917,0.8393494897959184
1300,0.8061392902689621,0.786607142857143
1400,0.8862803094528265,0.8699192176870748
1500,0.8683975628347947,0.8488095238095238
1600,0.8862803094528265,0.8699192176870748
1700,0.8886447934947753,0.8708545918367346
1800,0.7983462689119619,0.7754676870748299
1900,0.8918836413158523,0.8772534013605442
2000,0.827561854589706,0.8032525510204082
2100,0.8381816987370997,0.8113520408163264
2200,0.888901315247507,0.8720238095238094
2300,0.8835552872157275,0.8676870748299318
2400,0.8929879361782221,0.8793792517006803
2500,0.850487052429501,0.8285714285714285
