mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.14117298126220704,0.014294177546146498,0.01250009536743164,0.006250047684625309,1,{'Boost__n_estimators': 1},0.8543640670553936,0.8878462099125364,0.9057033527696793,0.883876433785193,0.8883146214526529,0.8840190801959477,0.01663501202986305,12,0.9059883704346621,0.9001416003488054,0.8952844027725145,0.9042784375464616,0.9011554573980523,0.901369653700099,0.0036980492608967436
0.14089879989624024,0.009897962321279586,0.012499475479125976,0.0062497377748073875,2,{'Boost__n_estimators': 2},0.8543640670553936,0.8878462099125364,0.9057033527696793,0.883876433785193,0.8883146214526529,0.8840190801959477,0.01663501202986305,12,0.9059883704346621,0.9001416003488054,0.8952844027725145,0.9042784375464616,0.9011554573980523,0.901369653700099,0.0036980492608967436
0.16562433242797853,0.007654889064079717,0.00624995231628418,0.007654597055093595,5,{'Boost__n_estimators': 5},0.8579628279883382,0.8884839650145773,0.9070244169096211,0.883876433785193,0.8883146214526529,0.8851313295821767,0.015755490367682055,1,0.9047897591367879,0.9008013153551826,0.8960567868334088,0.9042784375464616,0.9011554573980523,0.9014163512539787,0.003122264698212654
0.16249938011169435,0.007654674973267055,0.00937495231628418,0.0076546165338944525,10,{'Boost__n_estimators': 10},0.8579628279883382,0.8884839650145773,0.9070244169096211,0.883876433785193,0.8883146214526529,0.8851313295821767,0.015755490367682055,1,0.9047897591367879,0.9008013153551826,0.8960567868334088,0.9042784375464616,0.9011554573980523,0.9014163512539787,0.003122264698212654
0.16249985694885255,0.012499833107335694,0.0031249523162841797,0.006249904632568359,20,{'Boost__n_estimators': 20},0.8579628279883382,0.8884839650145773,0.9070244169096211,0.883876433785193,0.8883146214526529,0.8851313295821767,0.015755490367682055,1,0.9047897591367879,0.9008013153551826,0.8960567868334088,0.9042784375464616,0.9011554573980523,0.9014163512539787,0.003122264698212654
0.17187423706054689,0.009882193090826342,0.0,0.0,30,{'Boost__n_estimators': 30},0.8579628279883382,0.8884839650145773,0.9070244169096211,0.883876433785193,0.8883146214526529,0.8851313295821767,0.015755490367682055,1,0.9047897591367879,0.9008013153551826,0.8960567868334088,0.9042784375464616,0.9011554573980523,0.9014163512539787,0.003122264698212654
0.17192602157592773,2.564479711075922e-05,0.0031249523162841797,0.006249904632568359,40,{'Boost__n_estimators': 40},0.8579628279883382,0.8884839650145773,0.9070244169096211,0.883876433785193,0.8883146214526529,0.8851313295821767,0.015755490367682055,1,0.9047897591367879,0.9008013153551826,0.8960567868334088,0.9042784375464616,0.9011554573980523,0.9014163512539787,0.003122264698212654
0.16252517700195312,0.007659955076248174,0.003124713897705078,0.006249427795410156,50,{'Boost__n_estimators': 50},0.8579628279883382,0.8884839650145773,0.9070244169096211,0.883876433785193,0.8883146214526529,0.8851313295821767,0.015755490367682055,1,0.9047897591367879,0.9008013153551826,0.8960567868334088,0.9042784375464616,0.9011554573980523,0.9014163512539787,0.003122264698212654
0.16874966621398926,0.011692781294630878,0.0,0.0,60,{'Boost__n_estimators': 60},0.8579628279883382,0.8884839650145773,0.9070244169096211,0.883876433785193,0.8883146214526529,0.8851313295821767,0.015755490367682055,1,0.9047897591367879,0.9008013153551826,0.8960567868334088,0.9042784375464616,0.9011554573980523,0.9014163512539787,0.003122264698212654
0.16562461853027344,0.0076535653313984115,0.003125619888305664,0.006251239776611328,70,{'Boost__n_estimators': 70},0.8579628279883382,0.8884839650145773,0.9070244169096211,0.883876433785193,0.8883146214526529,0.8851313295821767,0.015755490367682055,1,0.9047897591367879,0.9008013153551826,0.8960567868334088,0.9042784375464616,0.9011554573980523,0.9014163512539787,0.003122264698212654
0.1687483787536621,0.011692373503980289,0.0031251907348632812,0.0062503814697265625,80,{'Boost__n_estimators': 80},0.8579628279883382,0.8884839650145773,0.9070244169096211,0.883876433785193,0.8883146214526529,0.8851313295821767,0.015755490367682055,1,0.9047897591367879,0.9008013153551826,0.8960567868334088,0.9042784375464616,0.9011554573980523,0.9014163512539787,0.003122264698212654
0.15624938011169434,2.431401974483864e-07,0.00624995231628418,0.007654597049152754,90,{'Boost__n_estimators': 90},0.8579628279883382,0.8884839650145773,0.9070244169096211,0.883876433785193,0.8883146214526529,0.8851313295821767,0.015755490367682055,1,0.9047897591367879,0.9008013153551826,0.8960567868334088,0.9042784375464616,0.9011554573980523,0.9014163512539787,0.003122264698212654
0.150009822845459,0.01873627286997404,0.0,0.0,100,{'Boost__n_estimators': 100},0.8579628279883382,0.8884839650145773,0.9070244169096211,0.883876433785193,0.8883146214526529,0.8851313295821767,0.015755490367682055,1,0.9047897591367879,0.9008013153551826,0.8960567868334088,0.9042784375464616,0.9011554573980523,0.9014163512539787,0.003122264698212654
