param_Boost__n_estimators,train acc,test acc
1,0.8114353888381282,0.8036196664859824
2,0.8114353888381282,0.8036196664859824
5,0.8318645613483221,0.8091631859700871
10,0.8483639532431331,0.8170081383638801
20,0.8708382493473336,0.8178895192970002
30,0.8708382493473336,0.8178895192970002
40,0.8708382493473336,0.8178895192970002
50,0.8708382493473336,0.8178895192970002
