param_MLP__max_iter,train acc,test acc
1,0.6513498067816906,0.6573679332715477
2,0.6244727317259021,0.6225208526413347
4,0.5980684972514017,0.597775718257646
8,0.5812469384422794,0.5896200185356811
16,0.64703641212649,0.6102873030583873
32,0.6750904860392969,0.6184430027803522
64,0.6988209601045012,0.6367006487488415
128,0.7282391280683612,0.6662650602409639
256,0.7616509279921624,0.6828544949026877
512,0.8087376857345018,0.7030583873957368
1024,0.856341506558537,0.701112140871177
2048,0.8710505905404671,0.7116774791473586
2100,0.8710505905404671,0.7116774791473586
2200,0.8710505905404671,0.7116774791473586
2300,0.8710505905404671,0.7116774791473586
2400,0.8710505905404671,0.7116774791473586
2500,0.8710505905404671,0.7116774791473586
2600,0.8710505905404671,0.7116774791473586
2700,0.8710505905404671,0.7116774791473586
2800,0.8710505905404671,0.7116774791473586
2900,0.8710505905404671,0.7116774791473586
3000,0.8710505905404671,0.7116774791473586
