param_Boost__n_estimators,train acc,test acc
1,0.8918096045498201,0.8723001700680272
2,0.8918096045498201,0.8723001700680272
5,0.8918096045498201,0.8723001700680272
10,0.8918096045498201,0.8723001700680272
20,0.8918096045498201,0.8723001700680272
30,0.8918096045498201,0.8723001700680272
40,0.8918096045498201,0.8723001700680272
50,0.8918096045498201,0.8723001700680272
60,0.8918096045498201,0.8723001700680272
70,0.8918096045498201,0.8723001700680272
80,0.8918096045498201,0.8723001700680272
90,0.8918096045498201,0.8723001700680272
100,0.8918096045498201,0.8723001700680272
