mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.6314822673797607,0.5255762945093905,0.015625762939453124,1.1815559094776028e-06,relu,10.0,"(56,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (56,)}",0.7316115192498878,0.7352358231640728,0.7284365363938216,0.7245177779883551,0.7217260948145495,0.7283062938586129,0.004829180660710473,213,0.7354951994087814,0.7339371514635139,0.7334455524035434,0.7330736480957771,0.7167977259159343,0.73054985545751,0.006925400465549769
1.9845429420471192,0.381577552954059,0.009376192092895507,0.007655628875566353,relu,10.0,"(28,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (28,)}",0.7330781610756127,0.7211538512143378,0.7299031782195465,0.7353106541583753,0.7463058736122162,0.7331490944733917,0.008150666170413714,208,0.735554034337025,0.7223238835817349,0.7349320556940382,0.7388773372629682,0.741590337425674,0.734655529660288,0.006616169442888538
2.3063504695892334,0.16991163528114658,0.012499332427978516,0.006249666658755904,relu,10.0,"(112,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (112,)}",0.7317340135119985,0.7310149682462243,0.7309018156517931,0.7338739905450794,0.7382125976783768,0.7331470007861134,0.0027482843874472233,209,0.7378833529104255,0.733831886958228,0.7360150148842827,0.7458246382188861,0.7318506164038113,0.7370811018751267,0.004819646290593636
4.109753561019898,0.8453390518624107,0.015625476837158203,1.3486991523486091e-06,relu,10.0,"(56, 56)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (56, 56)}",0.7267814823410903,0.7352358231640728,0.7301575084114481,0.7306039883340177,0.7291522860560331,0.7303863163842412,0.0027618635196269992,211,0.732743424333001,0.7324599521864202,0.7336929026024289,0.7321816871648094,0.7239712057819363,0.7310098344137191,0.0035559123261013205
2.178359317779541,0.37802346950224824,0.015627431869506835,1.3687801451117825e-06,relu,10.0,"(28, 28)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (28, 28)}",0.7267595096861251,0.7228528505769992,0.730879842996828,0.7296142750350085,0.7370120033090773,0.7294230220845542,0.00469046258867992,212,0.7276695369753667,0.7269037697822164,0.7373116044228993,0.7363617828742285,0.7323608431766754,0.7321215074462774,0.004289968562315872
7.441515731811523,2.0473427365096657,0.03437514305114746,0.006248378762759416,relu,10.0,"(112, 112)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (112, 112)}",0.7359202647875968,0.7438846285621358,0.7371292871018147,0.736938943112543,0.7388128948630264,0.7385372496172511,0.002830571399378793,205,0.7414346150298696,0.7431443570574653,0.7480541449815699,0.7471463871950621,0.7343871528579605,0.7428333314243855,0.004883654802553177
6.11932053565979,0.781943087069905,0.018751907348632812,0.006248688825853182,relu,10.0,"(56, 56, 56)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (56, 56, 56)}",0.7354994950236541,0.7408760852781106,0.7408068779936098,0.733489160533603,0.7325318393305968,0.7366411904576301,0.0035612237409601913,206,0.735956179956039,0.7389074771724264,0.747611073220496,0.7397019785253877,0.7301461734488783,0.7384645764646455,0.005672276607831806
3.9034095287322996,1.7381608624516796,0.015626287460327147,1.2305725002826633e-06,relu,10.0,"(28, 28, 28)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (28, 28, 28)}",0.7329336941585368,0.7408760852781107,0.7269259492581663,0.7245177779883551,0.7468061871314833,0.7344112852732867,0.008384266669411966,207,0.7358478141129527,0.7370212303600998,0.7342818606355206,0.7333179204414776,0.7422372781966697,0.7365412207493442,0.0031193161247835143
9.285036325454712,1.1887802385586563,0.03125276565551758,2.596902619207402e-06,relu,10.0,"(112, 112, 112)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (112, 112, 112)}",0.7364761598009357,0.7219767074068636,0.7372424396962458,0.7262821525211367,0.7346108145704786,0.7313175867569565,0.006085750316037996,210,0.7409853405931951,0.7176889630314284,0.744134457093625,0.7342007260949411,0.7293483406881253,0.733271565500263,0.009344273882891937
3.503571319580078,0.7857656222192178,0.012500810623168945,0.006250405385021407,relu,3.1622776601683795,"(56,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (56,)}",0.7640089490544917,0.7560352436122729,0.7556897334809054,0.7573820503911475,0.7646709891928065,0.7595570398710818,0.003951187734788905,191,0.754551595747709,0.7566979024854501,0.7619334871794315,0.7724517387319716,0.7672306596075399,0.7625730767504203,0.006611383297867773
2.8877290725708007,0.5120804251167821,0.012501001358032227,0.006250500979807383,relu,3.1622776601683795,"(28,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (28,)}",0.7708488918150677,0.7501499929740133,0.7481274561349495,0.7580743232572097,0.7552880688793926,0.7564977835890844,0.008003761473755573,196,0.764040570631677,0.7519577174298575,0.7553022511171481,0.7660015454898101,0.754823173470063,0.7584250516277111,0.005540561954249185
2.700264310836792,0.1447173781926112,0.015626287460327147,2.3340679646530947e-06,relu,3.1622776601683795,"(112,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (112,)}",0.7662292397882415,0.7545592601188681,0.758754853062146,0.7504337892331828,0.7691066281661495,0.7598163505644449,0.006988642309840424,190,0.7611443077651149,0.756570624240234,0.7627274707881126,0.7635331329657393,0.7664611828300376,0.7620873437178478,0.0032543524209143688
4.28160719871521,0.6144653745019225,0.015625619888305665,1.4666134356717776e-06,relu,3.1622776601683795,"(56, 56)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (56, 56)}",0.7751356646978115,0.7729593192739919,0.761308022939978,0.7469924297461491,0.7615136657515769,0.763582729822907,0.010060700401120832,181,0.7691701915797543,0.7727929983539711,0.7717217452743098,0.7631223382141136,0.7614854972632857,0.767658554137087,0.0045572134788486015
2.728238248825073,0.4156365003034787,0.01249995231628418,0.0062499764007507225,relu,3.1622776601683795,"(28, 28)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (28, 28)}",0.7580231768090864,0.7609658021282162,0.7607427862589594,0.7377538772544932,0.7723194102676243,0.7579606371816997,0.011235353572600955,193,0.7537559092824637,0.7638355450560875,0.7682231154075088,0.7559803662811837,0.7729109272117041,0.7629411726477896,0.007223803925220377
