,0,1,2,3,4
50,0.3353174603174603,0.564102564102564,0.564102564102564,0.564102564102564,0.564102564102564
100,0.4055944055944058,0.38406900050735676,0.38406900050735676,0.38406900050735676,0.38406900050735676
454,0.8607280750137893,0.42936670978214003,0.42936670978214003,0.42936670978214003,0.42936670978214003
909,0.8942752114178327,0.41788647028154324,0.4170133192088572,0.4170133192088572,0.4170133192088572
1364,0.9042223844053113,0.8068615218005462,0.869595172823927,0.869595172823927,0.869595172823927
1818,0.9003535583941605,0.8492831074035453,0.8854894421272159,0.8830985711690305,0.8830985711690305
2273,0.9035617215332418,0.8593455341857784,0.8842761358861143,0.8909273815320471,0.8909273815320471
2728,0.8999585367935742,0.8872355016868638,0.8816203935848242,0.8918641143227719,0.8918641143227719
3182,0.8991796944722065,0.8895063601749295,0.8832036511222796,0.89644966810146,0.8926786545870202
