mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.018738508224487305,0.006255626678466797,0.0,0.0,1,{'Boost__n_estimators': 1},0.7929830395743266,0.7349517791819088,0.5,0.4999999999999999,0.4999999999999999,0.6061531136909319,0.13073273227708032,12,0.7877059433568901,0.8052398618669347,0.49999999999999994,0.5,0.5,0.6185891610447649,0.1453472652160456
0.04687333106994629,0.009882193107622492,0.0,0.0,2,{'Boost__n_estimators': 2},0.7929830395743266,0.7349517791819088,0.5,0.4999999999999999,0.4999999999999999,0.6061531136909319,0.13073273227708032,12,0.7877059433568901,0.8052398618669347,0.49999999999999994,0.5,0.5,0.6185891610447649,0.1453472652160456
0.10314102172851562,0.012507990774555146,0.003125429153442383,0.006250858306884766,5,{'Boost__n_estimators': 5},0.7465081476554706,0.7555703358829398,0.7967184801381693,0.7518998272884284,0.7785837651122626,0.7658031465346812,0.01890649665062137,10,0.8425047844076423,0.8440496936909968,0.9041068327191086,0.8874909984326683,0.8502245096793324,0.8656753637859496,0.0252830930378608
0.1718756675720215,0.02420549954420476,0.0031366825103759767,0.0062733650207519535,10,{'Boost__n_estimators': 10},0.7213169271699369,0.7593947455936149,0.7841105354058721,0.750777202072539,0.7533678756476686,0.753745422787234,0.020084804907103505,11,0.8944650551142378,0.9173179519527869,0.9454716821281822,0.8898525860973441,0.9023488795696191,0.9098912309724339,0.020087438580805198
0.27502856254577634,0.0945800441692469,0.003124856948852539,0.006249713897705078,20,{'Boost__n_estimators': 20},0.750997672098437,0.7645493847688726,0.8315198618307427,0.750777202072539,0.7585492227979276,0.7712303929665008,0.030513390503556306,1,0.9386259395079813,0.9374766125324753,0.9545156097767611,0.8898525860973441,0.9137755750413012,0.9268492645911726,0.02261297340162044
0.26563329696655275,0.08089833809440436,0.0,0.0,30,{'Boost__n_estimators': 30},0.750997672098437,0.7645493847688726,0.8315198618307427,0.750777202072539,0.7585492227979276,0.7712303929665008,0.030513390503556306,1,0.9386259395079813,0.9374766125324753,0.9545156097767611,0.8898525860973441,0.9137755750413012,0.9268492645911726,0.02261297340162044
0.28127522468566896,0.06329311801624385,0.003124904632568359,0.0062498092651367175,40,{'Boost__n_estimators': 40},0.750997672098437,0.7645493847688726,0.8315198618307427,0.750777202072539,0.7585492227979276,0.7712303929665008,0.030513390503556306,1,0.9386259395079813,0.9374766125324753,0.9545156097767611,0.8898525860973441,0.9137755750413012,0.9268492645911726,0.02261297340162044
0.2750252246856689,0.10716619280449681,0.006249809265136718,0.007654421846137076,50,{'Boost__n_estimators': 50},0.750997672098437,0.7645493847688726,0.8315198618307427,0.750777202072539,0.7585492227979276,0.7712303929665008,0.030513390503556306,1,0.9386259395079813,0.9374766125324753,0.9545156097767611,0.8898525860973441,0.9137755750413012,0.9268492645911726,0.02261297340162044
0.28127131462097166,0.11566446426784831,0.0,0.0,60,{'Boost__n_estimators': 60},0.750997672098437,0.7645493847688726,0.8315198618307427,0.750777202072539,0.7585492227979276,0.7712303929665008,0.030513390503556306,1,0.9386259395079813,0.9374766125324753,0.9545156097767611,0.8898525860973441,0.9137755750413012,0.9268492645911726,0.02261297340162044
0.2593874454498291,0.0876256160952445,0.0,0.0,70,{'Boost__n_estimators': 70},0.750997672098437,0.7645493847688726,0.8315198618307427,0.750777202072539,0.7585492227979276,0.7712303929665008,0.030513390503556306,1,0.9386259395079813,0.9374766125324753,0.9545156097767611,0.8898525860973441,0.9137755750413012,0.9268492645911726,0.02261297340162044
0.26563425064086915,0.10961787972089804,0.0,0.0,80,{'Boost__n_estimators': 80},0.750997672098437,0.7645493847688726,0.8315198618307427,0.750777202072539,0.7585492227979276,0.7712303929665008,0.030513390503556306,1,0.9386259395079813,0.9374766125324753,0.9545156097767611,0.8898525860973441,0.9137755750413012,0.9268492645911726,0.02261297340162044
0.2687678337097168,0.09653590304056776,0.0,0.0,90,{'Boost__n_estimators': 90},0.750997672098437,0.7645493847688726,0.8315198618307427,0.750777202072539,0.7585492227979276,0.7712303929665008,0.030513390503556306,1,0.9386259395079813,0.9374766125324753,0.9545156097767611,0.8898525860973441,0.9137755750413012,0.9268492645911726,0.02261297340162044
0.25625901222229003,0.09355173794358437,0.003124904632568359,0.0062498092651367175,100,{'Boost__n_estimators': 100},0.750997672098437,0.7645493847688726,0.8315198618307427,0.750777202072539,0.7585492227979276,0.7712303929665008,0.030513390503556306,1,0.9386259395079813,0.9374766125324753,0.9545156097767611,0.8898525860973441,0.9137755750413012,0.9268492645911726,0.02261297340162044
