param_SVM__n_iter,train acc,test acc
1,0.7769739328393827,0.7683706487853331
6,0.7390151047051624,0.7272796556265758
11,0.760632112053964,0.747814189043556
16,0.7374873424824566,0.727802046732135
21,0.7191165547878974,0.7094153186419505
26,0.7714089683151772,0.7556004992667149
31,0.7048303970826701,0.6981398565897978
36,0.7649156603677214,0.7487880618068988
41,0.7565494509796336,0.7385996295511598
46,0.7601929281900794,0.7480832092847927
51,0.7738816939201177,0.7693994090153252
56,0.7553202689259928,0.7473984487282848
61,0.7407546411090689,0.7394180403724115
66,0.7482606083692552,0.7411998910390636
71,0.7577437716558935,0.7533721254444883
76,0.756103781278097,0.7498729419636265
81,0.7567297804300734,0.7490806134372315
86,0.7786062212849673,0.7682697017056789
91,0.711296371857163,0.6962369382160307
96,0.7637093524736579,0.7556444092400342
101,0.7795554699527933,0.7774387461604569
106,0.7509894087429322,0.746143603727051
111,0.7676116261882836,0.7540443607670924
116,0.7603355007999006,0.7609377106646893
121,0.749662649578183,0.7379095378882305
126,0.7711305405702463,0.7702958087643849
131,0.7560073044430188,0.748073148971062
136,0.779761626935313,0.7698803837296008
141,0.7389875978044049,0.7304439825680845
146,0.7566692652484068,0.7550577582387951
151,0.7775797795672255,0.7719168663825244
156,0.7563674421605159,0.747953399709621
161,0.7534155173897468,0.7427607587459955
166,0.75702216430781,0.7499143296930476
171,0.7202376781535098,0.7201351704899298
176,0.7463634429466921,0.7412898892872506
181,0.7757256407283734,0.7624649866687946
186,0.7546359551444101,0.7405963295389613
191,0.7396898055487963,0.7307421805853257
196,0.7635340611292514,0.7615039830817052
