,train,test
0.1,0.13157317800050805,0.004743831000268983
0.2,0.12087177400007931,0.007625790000020061
0.3,0.10846932500044204,0.008075746999566036
0.4,0.09326804299962532,0.010996555999554403
0.5,0.07927688800009491,0.0121636160001799
0.6,0.06796439700065093,0.014050185999622045
0.7,0.0552749259995835,0.014822402000390866
0.8,0.04481867999948008,0.01781609599947842
0.9,0.034770829000080994,0.019504191000123683
