param_MLP__max_iter,train acc,test acc
1,0.6513498067816906,0.6573679332715477
2,0.6244727317259021,0.6225208526413347
4,0.5980684972514017,0.597775718257646
8,0.5812469384422794,0.5896200185356811
16,0.64703641212649,0.6102873030583873
32,0.6750904860392969,0.6184430027803522
64,0.6988209601045012,0.6367006487488415
128,0.7287561911500572,0.6674698795180724
256,0.7616509279921624,0.6828544949026877
512,0.8082206226528058,0.7030583873957368
1024,0.8601480433244435,0.7100092678405932
2048,0.8705335274587711,0.7128822984244672
2100,0.8705335274587711,0.7128822984244672
2200,0.8705335274587711,0.7128822984244672
2300,0.8705335274587711,0.7128822984244672
2400,0.8705335274587711,0.7128822984244672
2500,0.8705335274587711,0.7128822984244672
2600,0.8705335274587711,0.7128822984244672
2700,0.8705335274587711,0.7128822984244672
2800,0.8705335274587711,0.7128822984244672
2900,0.8705335274587711,0.7128822984244672
3000,0.8705335274587711,0.7128822984244672
