mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.15318708419799804,0.011653816341076964,0.0031248092651367187,0.006249618530273437,1,{'MLP__max_iter': 1},0.6231778425655976,0.6092838921282798,0.6188046647230321,0.6145561783107405,0.589051094890511,0.6109835899965768,0.011882339203480682,22,0.608656569237477,0.6121328068652739,0.609750661141197,0.6108157483650613,0.61353941526483,0.6109790401747678,0.0017214034214980784
0.15937457084655762,0.011691264768487638,0.006249856948852539,0.007654480245409539,2,{'MLP__max_iter': 2},0.6886388483965015,0.6864522594752185,0.6916454081632655,0.6780598279457769,0.6737226277372265,0.6837094258148119,0.006728316562455419,21,0.6835670248442396,0.6841140707960994,0.6828144037097255,0.6862096917089107,0.683126448492266,0.6839663279102481,0.0012038503920747685
0.16249995231628417,0.007654110380875381,0.00624995231628418,0.007654597064004854,4,{'MLP__max_iter': 4},0.7488611516034986,0.7570153061224489,0.7745991253644317,0.748650938477581,0.7553697096658049,0.7569017330250531,0.0094710083704528,20,0.7616320102359735,0.7554205428488767,0.7551917411341883,0.757510738354817,0.7558379120879121,0.7571185889323535,0.0023983739972032125
0.17499961853027343,0.006249952346297734,0.00937495231628418,0.007654616514586773,8,{'MLP__max_iter': 8},0.8468476676384841,0.8515397230320699,0.8689413265306123,0.8607208029197081,0.8636051193086971,0.8583280824366336,0.008052840724005552,19,0.8624522735514997,0.8606171737792828,0.8569237477028145,0.8583229632767615,0.857602631373366,0.8591837579367448,0.0020536041592810763
0.21874990463256835,0.009881966913372531,0.00624995231628418,0.007654597046182335,16,{'MLP__max_iter': 16},0.8647048104956269,0.893722667638484,0.9121720116618077,0.8823742179353493,0.9051029426205363,0.8916114298915694,0.01684606645894868,3,0.8979731794677457,0.8907106096353434,0.8864236845429468,0.893552506430793,0.8878777472527473,0.8913075454659152,0.004133823219828138
0.33130755424499514,0.03029789091599388,0.003124904632568359,0.0062498092651367175,32,{'MLP__max_iter': 32},0.8652059037900875,0.9022868075801749,0.9178662536443148,0.8754659801876955,0.9011390789172204,0.8923926804070192,0.01923365153129745,1,0.8999407112208598,0.8906606929656207,0.8867616917064981,0.8971441780703346,0.8909574208374563,0.893092938960154,0.0047721163707430386
0.5062600612640381,0.02538439071022575,0.0031249523162841797,0.006249904632568359,64,{'MLP__max_iter': 64},0.8746355685131195,0.900009110787172,0.916271865889213,0.8702294056308655,0.8995744820136821,0.8921456378951681,0.017241528176051523,2,0.8967014249681144,0.8898500055010207,0.8862808617450869,0.8978024305647491,0.8904697753372219,0.8922208996232387,0.0043634898926165795
0.7312895298004151,0.06945711964026179,0.003124856948852539,0.006249713897705078,128,{'MLP__max_iter': 128},0.8701257288629739,0.8977314139941691,0.9110331632653063,0.871646897810219,0.9010343360282806,0.8903136982174172,0.016465191122580075,4,0.8951613429010347,0.8903273718567778,0.884923128328627,0.8947796015046937,0.8874413686136139,0.8905265626409495,0.0040131310191199475
0.7062759876251221,0.08971482652737754,0.015625381469726564,8.476442735019291e-07,256,{'MLP__max_iter': 256},0.8701257288629739,0.8977314139941691,0.9110331632653063,0.871646897810219,0.9010343360282806,0.8903136982174172,0.016465191122580075,4,0.8951613429010347,0.8903273718567778,0.884923128328627,0.8947796015046937,0.8874413686136139,0.8905265626409495,0.0040131310191199475
0.6875385284423828,0.02208991298295008,0.006249141693115234,0.007653604359559845,512,{'MLP__max_iter': 512},0.8701257288629739,0.8977314139941691,0.9110331632653063,0.871646897810219,0.9010343360282806,0.8903136982174172,0.016465191122580075,4,0.8951613429010347,0.8903273718567778,0.884923128328627,0.8947796015046937,0.8874413686136139,0.8905265626409495,0.0040131310191199475
0.674997091293335,0.06202972152041993,0.003124904632568359,0.0062498092651367175,1024,{'MLP__max_iter': 1024},0.8701257288629739,0.8977314139941691,0.9110331632653063,0.871646897810219,0.9010343360282806,0.8903136982174172,0.016465191122580075,4,0.8951613429010347,0.8903273718567778,0.884923128328627,0.8947796015046937,0.8874413686136139,0.8905265626409495,0.0040131310191199475
0.7187476634979248,0.05134912035437273,0.0031250953674316407,0.006250190734863282,2048,{'MLP__max_iter': 2048},0.8701257288629739,0.8977314139941691,0.9110331632653063,0.871646897810219,0.9010343360282806,0.8903136982174172,0.016465191122580075,4,0.8951613429010347,0.8903273718567778,0.884923128328627,0.8947796015046937,0.8874413686136139,0.8905265626409495,0.0040131310191199475
0.6656944274902343,0.05287273526291393,0.009375238418579101,0.0076548501146471515,2100,{'MLP__max_iter': 2100},0.8701257288629739,0.8977314139941691,0.9110331632653063,0.871646897810219,0.9010343360282806,0.8903136982174172,0.016465191122580075,4,0.8951613429010347,0.8903273718567778,0.884923128328627,0.8947796015046937,0.8874413686136139,0.8905265626409495,0.0040131310191199475
0.7219320774078369,0.06947111162435914,0.0,0.0,2200,{'MLP__max_iter': 2200},0.8701257288629739,0.8977314139941691,0.9110331632653063,0.871646897810219,0.9010343360282806,0.8903136982174172,0.016465191122580075,4,0.8951613429010347,0.8903273718567778,0.884923128328627,0.8947796015046937,0.8874413686136139,0.8905265626409495,0.0040131310191199475
