mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__base_estimator__alpha,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.003124856948852539,0.006249713897705078,0.0,0.0,-1,1,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 1}",0.6329398071167275,0.6897239773860991,0.725215889464594,0.6111398963730568,0.6329879101899829,0.6584119711593373,0.042321514799883886,90,0.9398126864315269,0.9095934055360141,0.9370313889947897,0.9258059050281695,0.9363853941627482,0.9297257560306497,0.011136839644080996
0.009375,0.007654655465505014,0.0,0.0,-1,2,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 2}",0.6329398071167275,0.6897239773860991,0.725215889464594,0.6111398963730568,0.6329879101899829,0.6584119711593373,0.042321514799883886,90,0.9398126864315269,0.9095934055360141,0.9370313889947897,0.9258059050281695,0.9363853941627482,0.9297257560306497,0.011136839644080996
0.01874885559082031,0.0062500954656555694,0.0,0.0,-1,5,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 5}",0.6329398071167275,0.6897239773860991,0.725215889464594,0.6111398963730568,0.6329879101899829,0.6584119711593373,0.042321514799883886,90,0.9398126864315269,0.9095934055360141,0.9370313889947897,0.9258059050281695,0.9363853941627482,0.9297257560306497,0.011136839644080996
0.01875,0.00625000023283064,0.0,0.0,-1,10,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 10}",0.6329398071167275,0.6897239773860991,0.725215889464594,0.6111398963730568,0.6329879101899829,0.6584119711593373,0.042321514799883886,90,0.9398126864315269,0.9095934055360141,0.9370313889947897,0.9258059050281695,0.9363853941627482,0.9297257560306497,0.011136839644080996
0.01562509536743164,1.0512069551967909e-06,0.006250238418579102,0.007654947451471,-1,20,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 20}",0.6329398071167275,0.6897239773860991,0.725215889464594,0.6111398963730568,0.6329879101899829,0.6584119711593373,0.042321514799883886,90,0.9398126864315269,0.9095934055360141,0.9370313889947897,0.9258059050281695,0.9363853941627482,0.9297257560306497,0.011136839644080996
0.0156252384185791,3.693564745147149e-07,0.0,0.0,-1,30,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 30}",0.6329398071167275,0.6897239773860991,0.725215889464594,0.6111398963730568,0.6329879101899829,0.6584119711593373,0.042321514799883886,90,0.9398126864315269,0.9095934055360141,0.9370313889947897,0.9258059050281695,0.9363853941627482,0.9297257560306497,0.011136839644080996
0.01562509536743164,4.672030911985737e-07,0.003124904632568359,0.0062498092651367175,-1,45,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 45}",0.6329398071167275,0.6897239773860991,0.725215889464594,0.6111398963730568,0.6329879101899829,0.6584119711593373,0.042321514799883886,90,0.9398126864315269,0.9095934055360141,0.9370313889947897,0.9258059050281695,0.9363853941627482,0.9297257560306497,0.011136839644080996
0.015624761581420898,6.397441799640054e-07,0.0031247615814208986,0.006249523162841797,-1,60,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 60}",0.6329398071167275,0.6897239773860991,0.725215889464594,0.6111398963730568,0.6329879101899829,0.6584119711593373,0.042321514799883886,90,0.9398126864315269,0.9095934055360141,0.9370313889947897,0.9258059050281695,0.9363853941627482,0.9297257560306497,0.011136839644080996
0.0218752384185791,0.007654363446122002,0.0,0.0,-1,80,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 80}",0.6329398071167275,0.6897239773860991,0.725215889464594,0.6111398963730568,0.6329879101899829,0.6584119711593373,0.042321514799883886,90,0.9398126864315269,0.9095934055360141,0.9370313889947897,0.9258059050281695,0.9363853941627482,0.9297257560306497,0.011136839644080996
0.015624761581420898,0.009882193101870385,0.0031249523162841797,0.006249904632568359,-1,100,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 100}",0.6329398071167275,0.6897239773860991,0.725215889464594,0.6111398963730568,0.6329879101899829,0.6584119711593373,0.042321514799883886,90,0.9398126864315269,0.9095934055360141,0.9370313889947897,0.9258059050281695,0.9363853941627482,0.9297257560306497,0.011136839644080996
0.015625143051147462,4.6720309119857363e-07,0.0,0.0,-0.001,1,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 1}",0.6890588626538079,0.628450282673761,0.7200345423143351,0.6163212435233159,0.6381692573402419,0.6584080807215129,0.03950734247964998,110,0.8411416291576236,0.8349245720761658,0.9290570593468038,0.9143792095564874,0.897562163764985,0.8834129267804132,0.03841999885109571
0.04375014305114746,0.006250667581115459,0.0031250476837158202,0.006250095367431641,-0.001,2,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 2}",0.6890588626538079,0.628450282673761,0.7200345423143351,0.6163212435233159,0.6381692573402419,0.6584080807215129,0.03950734247964998,110,0.8411416291576236,0.8349245720761658,0.9290570593468038,0.9143792095564874,0.897562163764985,0.8834129267804132,0.03841999885109571
0.09063553810119629,0.02072978699895602,0.0062500953674316405,0.007654772248455406,-0.001,5,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 5}",0.6890588626538079,0.7729464582640505,0.7200345423143351,0.6163212435233159,0.6381692573402419,0.68746227152385,0.05633919063528941,65,0.8411416291576236,0.9343867939657661,0.9290570593468038,0.9143792095564874,0.897562163764985,0.9033053711583332,0.03361294225697257
