mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__alpha,param_DT__class_weight,param_DT__criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.14374847412109376,0.011693087180155862,0.009375286102294923,0.0076548890581391036,-1,balanced,gini,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.8543640670553936,0.8878462099125364,0.9057033527696793,0.883876433785193,0.8883146214526529,0.8840190801959477,0.01663501202986305,24,0.9059883704346621,0.9001416003488054,0.8952844027725145,0.9042784375464616,0.9011554573980523,0.901369653700099,0.0036980492608967436
0.14374923706054688,0.011692819572737259,0.0031253814697265623,0.006250762939453125,-1,balanced,entropy,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.8543640670553936,0.8878462099125364,0.9057033527696793,0.883876433785193,0.8883146214526529,0.8840190801959477,0.01663501202986305,24,0.9059883704346621,0.9001416003488054,0.8952844027725145,0.9042784375464616,0.9011554573980523,0.901369653700099,0.0036980492608967436
0.1624993324279785,0.007654811240462957,0.0031250953674316407,0.006250190734863281,-0.001,balanced,gini,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.8592383381924198,0.9024234693877552,0.9149963556851312,0.8799726277372263,0.9012438218061601,0.8915732213293514,0.019702468749582213,8,0.9012171517751997,0.9001265234771342,0.8912658052475664,0.9003847274015933,0.895261802770689,0.8976512021344364,0.0038157016575876483
0.17499852180480957,0.015308979966216506,0.0,0.0,-0.001,balanced,entropy,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.8592383381924198,0.8977314139941691,0.914768586005831,0.8709593326381647,0.8988445550063827,0.8883076263622144,0.020232541185213202,19,0.9012171517751997,0.890886031074655,0.8871809917321697,0.8974024281207422,0.890629679118275,0.8934632563642083,0.005094665195688821
0.16879782676696778,0.011692462722982324,0.0062503814697265625,0.00765512264928863,-0.00031622776601683794,balanced,gini,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.8592383381924198,0.9024234693877552,0.9149963556851312,0.8799726277372263,0.9012438218061601,0.8915732213293514,0.019702468749582213,8,0.9012171517751997,0.9001265234771342,0.8912658052475664,0.9003847274015933,0.895261802770689,0.8976512021344364,0.0038157016575876483
0.1656351089477539,0.012492967062124783,0.006249570846557617,0.0076541298430911585,-0.00031622776601683794,balanced,entropy,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.8592383381924198,0.8977314139941691,0.914768586005831,0.8709593326381647,0.8988445550063827,0.8883076263622144,0.020232541185213202,19,0.9012171517751997,0.890886031074655,0.8871809917321697,0.8974024281207422,0.890629679118275,0.8934632563642083,0.005094665195688821
0.16874899864196777,0.018221839200116313,0.0062504768371582035,0.007655239463427198,-0.01,balanced,gini,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.8503097667638485,0.8995080174927114,0.9149963556851312,0.8755083420229405,0.9012438218061601,0.8883103893656883,0.02286445629655427,18,0.8991648635543112,0.9005260605764255,0.8897489497125208,0.8999847249575864,0.895261802770689,0.8969372803143065,0.004039992860253965
0.16874971389770507,0.006250214635608951,0.0031251430511474608,0.0062502861022949215,-0.01,balanced,entropy,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.8503097667638485,0.8977769679300293,0.9098032069970847,0.8740484880083419,0.8988445550063827,0.8861536790156486,0.02139053280010915,21,0.8991648635543112,0.8965539161155459,0.8917780114013749,0.9012134493693446,0.890629679118275,0.8958679839117704,0.0041007714291104586
0.17812485694885255,0.007654480249865237,0.0,0.0,-0.0031622776601683794,balanced,gini,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.8524963556851312,0.9024234693877552,0.9149963556851312,0.8755083420229405,0.9012438218061601,0.8893314707694397,0.022454557719320884,14,0.89931237240688,0.9001265234771342,0.8912658052475664,0.8999847249575864,0.895261802770689,0.8971902457719712,0.003456939399864207
0.16874990463256836,0.02499951125377914,0.0031246662139892576,0.006249332427978514,-0.0031622776601683794,balanced,entropy,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.8524963556851312,0.8977769679300293,0.9141763848396502,0.8664950469238789,0.8988445550063827,0.8859564742233293,0.022809869416134762,23,0.89931237240688,0.8965539161155459,0.8934307625229719,0.8970024256767355,0.890629679118275,0.8953858311680817,0.0030278309753966792
0.1687626838684082,0.018235035582354363,0.006250619888305664,0.007655414654561995,-0.1,balanced,gini,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.8543640670553936,0.8878462099125364,0.9057033527696793,0.883876433785193,0.8883146214526529,0.8840190801959477,0.01663501202986305,24,0.9059883704346621,0.9001416003488054,0.8952844027725145,0.9042784375464616,0.9011554573980523,0.901369653700099,0.0036980492608967436
