mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.30937514305114744,0.03336648585122233,0.006250524520874023,0.0076552978686399865,relu,10.0,"(11,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,)}",0.8638392857142858,0.8977314139941691,0.9110331632653063,0.871689259645464,0.8995744820136821,0.888772527378991,0.01792465577234806,49,0.9007862384835112,0.8903273718567778,0.884923128328627,0.8968437689028651,0.8904697753372219,0.8926700565818007,0.005543222705909999
0.3124975681304932,0.050389066581067884,0.0031249523162841797,0.006249904632568359,relu,10.0,"(5,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (5,)}",0.8319970845481051,0.8587372448979591,0.8647048104956269,0.8349908759124088,0.8701122712840823,0.8521043030299681,0.015646071251998298,128,0.8718765407951623,0.8427798084014847,0.8412861793984736,0.8530320959191198,0.84427121308786,0.8506491675204201,0.01137145888755585
0.33437433242797854,0.027243763824368075,0.012499475479125976,0.0062497377693501895,relu,10.0,"(22,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22,)}",0.8666636297376095,0.896865889212828,0.9079810495626823,0.8678701772679875,0.898687440672973,0.887613108558302,0.017041310459195803,51,0.8993472122049313,0.8831542445468584,0.8803725617234902,0.8904099210382143,0.8827164763553981,0.8872000831737784,0.006941792164369276
0.325,0.01822184734755592,0.0,0.0,relu,10.0,"(11, 11)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11, 11)}",0.8666636297376095,0.896865889212828,0.9035167638483966,0.8678701772679875,0.8934208372884684,0.8856679632156298,0.015377291777810163,66,0.8993472122049313,0.8831542445468584,0.8773736904514504,0.8904099210382143,0.8769202694521119,0.8854410675387132,0.008496899400064555
0.3781248092651367,0.026882150067028713,0.003124856948852539,0.006249713897705078,relu,10.0,"(5, 5)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (5, 5)}",0.8521774781341109,0.8878917638483965,0.9035167638483966,0.8670978884254432,0.8844522274229977,0.8790274617077046,0.017730095679182767,110,0.887223981190584,0.8782854337045503,0.8773736904514504,0.8864874938136079,0.8685161661502006,0.8795773530620787,0.006857054868803884
0.37820234298706057,0.03188882202704708,0.00625004768371582,0.007654713849925503,relu,10.0,"(22, 22)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22, 22)}",0.8148688046647231,0.8729500728862973,0.8841107871720116,0.8551225234619395,0.88215770351216,0.8618345202361785,0.02563145438301235,127,0.8563815915471722,0.863143568491783,0.8603502724023977,0.8711505365613232,0.8644052555856465,0.8630862449176645,0.004882904817240112
0.6031619548797608,0.052813535318483026,0.006250190734863281,0.007654889047743031,relu,10.0,"(11, 11, 11)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11, 11, 11)}",0.8521774781341109,0.8878917638483965,0.8938137755102041,0.8655956725755997,0.8934208372884684,0.8785762332411519,0.016762876737637728,111,0.887223981190584,0.8782854337045503,0.8698939321703769,0.8838646671975594,0.8769202694521119,0.8792376567430364,0.005979511775866729
0.2468742847442627,0.011692488189470813,0.006250238418579102,0.007654947448500716,relu,10.0,"(5, 5, 5)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (5, 5, 5)}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.0,141,0.49999999999999994,0.5,0.5000000000000001,0.5000000000000001,0.4999999999999999,0.5,8.95090418262362e-17
0.2937492847442627,0.026881823021102896,0.009374380111694336,0.007654149327833961,relu,10.0,"(22, 22, 22)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22, 22, 22)}",0.8581450437317785,0.896865889212828,0.9079810495626823,0.8670978884254432,0.898687440672973,0.8857538774557774,0.0194709753298491,65,0.8928454131674062,0.8831542445468584,0.8803725617234902,0.8864874938136079,0.8827164763553981,0.8851152379213522,0.0043296934106564645
0.32187328338623045,0.021194556247217965,0.00937495231628418,0.007654616513101567,relu,3.1622776601683795,"(11,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (11,)}",0.8638392857142858,0.902377915451895,0.917911807580175,0.8785551355578729,0.9011390789172204,0.8927640861750882,0.019153829434593726,1,0.9007862384835112,0.8901833266098635,0.8862959386167581,0.8961449866292462,0.8909574208374563,0.8928735822353671,0.005049490291433588
0.2812494277954102,0.03423246396385718,0.0031250953674316407,0.006250190734863281,relu,3.1622776601683795,"(5,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (5,)}",0.8319970845481051,0.8729500728862973,0.8923104956268222,0.8491560218978104,0.8844522274229977,0.8661688829318025,0.022456215636438546,126,0.8718765407951623,0.863143568491783,0.8665303635970971,0.8675808609828575,0.8685161661502006,0.8675295000034202,0.0028322281145308032
