param_Boost__n_estimators,train acc,test acc
1,0.9415378544603494,0.7772937905468027
2,0.9415378544603494,0.7772937905468027
5,0.9415378544603494,0.7772937905468027
10,0.9415378544603494,0.7772937905468027
20,0.9415378544603494,0.7772937905468027
30,0.9415378544603494,0.7772937905468027
40,0.9415378544603494,0.7772937905468027
50,0.9415378544603494,0.7772937905468027
60,0.9415378544603494,0.7772937905468027
70,0.9415378544603494,0.7772937905468027
80,0.9415378544603494,0.7772937905468027
90,0.9415378544603494,0.7772937905468027
100,0.9415378544603494,0.7772937905468027
