param_SVM__n_iter,train acc,test acc
100,0.6302998965873837,0.6127896200185357
200,0.7255925815054699,0.7032437442075995
300,0.7741931094540903,0.7222428174235404
400,0.7873510041909324,0.7186283595922149
500,0.7442136559081262,0.7035217794253938
600,0.8010701845098787,0.7368860055607044
700,0.7981583029445382,0.7410565338276182
800,0.6959669079627715,0.6689527340129751
900,0.8166262994611658,0.7303985171455051
1000,0.7192347466390899,0.6680259499536608
1100,0.6208634953464323,0.5636700648748841
1200,0.8831981712295216,0.7961075069508804
1300,0.8390062863985196,0.7416126042632067
1400,0.8778404452185271,0.7997219647822057
1500,0.8581036031132641,0.7730305838739574
1600,0.8709859576552551,0.7695088044485635
1700,0.853626925379633,0.7652455977757183
1800,0.7900791922930388,0.6833178869323447
1900,0.8074654384150656,0.7357738646895273
2000,0.8619203450715724,0.7349397590361446
2100,0.8314374353671149,0.7461538461538463
2200,0.8816571871768356,0.764967562557924
2300,0.9021424100582377,0.7805375347544021
2400,0.7580314864202906,0.6686746987951807
2500,0.7678999074729222,0.6934198331788692
