param_MLP__max_iter,train acc,test acc
1,0.789812416835057,0.765860127588854
2,0.7813392490349709,0.7566114318182445
4,0.7743972021949463,0.7511729580601285
8,0.7807540759146451,0.7516602097222873
16,0.7768281752200001,0.7478029535934639
32,0.8095034778567132,0.780954610845282
64,0.7943762459902176,0.7614134115962686
128,0.7843830178996378,0.7529520285261199
256,0.7843830178996378,0.7529520285261199
512,0.7843830178996378,0.7529520285261199
1024,0.7843830178996378,0.7529520285261199
2048,0.7843830178996378,0.7529520285261199
2100,0.7843830178996378,0.7529520285261199
2200,0.7843830178996378,0.7529520285261199
2300,0.7843830178996378,0.7529520285261199
2400,0.7843830178996378,0.7529520285261199
2500,0.7843830178996378,0.7529520285261199
2600,0.7843830178996378,0.7529520285261199
2700,0.7843830178996378,0.7529520285261199
2800,0.7843830178996378,0.7529520285261199
2900,0.7843830178996378,0.7529520285261199
3000,0.7843830178996378,0.7529520285261199
