param_MLP__max_iter,train acc,test acc
1,0.7924980748064931,0.7690592500314134
2,0.7869800167867376,0.7619414204268737
4,0.7819922339043224,0.7485284999802807
8,0.797195095270585,0.7582399988443538
16,0.8029134035278555,0.7484356928695707
32,0.86279534738436,0.7738969711519501
64,0.8953107625410909,0.7675921639385159
128,0.9195672741773205,0.7625311955711233
256,0.9221463791016117,0.7414442047548425
512,0.9221463791016117,0.7414442047548425
1024,0.9221463791016117,0.7414442047548425
2048,0.9221463791016117,0.7414442047548425
2100,0.9221463791016117,0.7414442047548425
2200,0.9221463791016117,0.7414442047548425
2300,0.9221463791016117,0.7414442047548425
2400,0.9221463791016117,0.7414442047548425
2500,0.9221463791016117,0.7414442047548425
2600,0.9221463791016117,0.7414442047548425
2700,0.9221463791016117,0.7414442047548425
2800,0.9221463791016117,0.7414442047548425
2900,0.9221463791016117,0.7414442047548425
3000,0.9221463791016117,0.7414442047548425
