param_SVM__n_iter,train acc,test acc
1,0.7272318433318119,0.7295992028333512
4,0.7857347938667602,0.7840354457813865
7,0.7453034717646586,0.7360634273258987
10,0.763366008442939,0.7673362135065702
13,0.8093219902209783,0.7987740920151262
16,0.7494628626147862,0.7356953230260691
19,0.7372866868800884,0.7216596949552371
22,0.798299888223537,0.7782863060958508
25,0.8124376244832031,0.8053529352957308
28,0.7445420228424254,0.7292917470345291
31,0.8058231124446199,0.7881990972201203
34,0.8044247195193716,0.7982617325614351
37,0.8072814993681521,0.8039247146883562
40,0.8110142147555817,0.8009557470015106
43,0.7663610177066842,0.7460900347060762
46,0.7829543384289239,0.761240007328265
49,0.8041589739034215,0.7902939067631908
52,0.8105335678581341,0.8010300672109211
55,0.8106305658765951,0.8042856248607035
58,0.7747182511587354,0.7541629348921718
61,0.7667831762467314,0.7469300279097753
64,0.8068488013419197,0.7993509979831221
67,0.8102703123405685,0.8026651978035383
70,0.8109768632798163,0.8022353271900644
73,0.7905490805919763,0.788459289607713
