mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.12187733650207519,0.006250095367431641,0.009375286102294923,0.007654889047743031,1,{'SVM__n_iter': 1},0.8157798833819243,0.8954537172011662,0.9057944606413995,0.8855480969760167,0.8708421982913817,0.8746829716107454,0.03163814999662637,9,0.8246863399467826,0.8872610621452349,0.8846733412385039,0.8897431145200481,0.8424036345763242,0.8657534984853786,0.026936091315861586
0.12187275886535645,0.006248641260398362,0.0031247615814208986,0.006249523162841797,2,{'SVM__n_iter': 2},0.8688046647230322,0.893722667638484,0.9102587463556852,0.7915471845672577,0.8679323099080227,0.8664689377173468,0.04069512457975715,10,0.8996096312686169,0.8907106096353434,0.8832355374089784,0.8071202064371066,0.8598827860528097,0.868111754160571,0.03322420250555373
0.1249997615814209,0.01397542486832193,0.006250238418579102,0.007654947448500716,4,{'SVM__n_iter': 4},0.8579628279883382,0.892993804664723,0.8305849125364433,0.8855480969760167,0.857765703250303,0.864969712959077,0.022330216069171058,11,0.893366787689123,0.8890810850457807,0.8076814623750557,0.8897431145200481,0.853227859226082,0.8666200617712179,0.03288668444852539
0.12187485694885254,0.011692577391457586,0.003125,0.006250000000000001,8,{'SVM__n_iter': 8},0.8611971574344025,0.9000546647230321,0.8856140670553936,0.8536203076120958,0.8975450885404733,0.8796040816357639,0.018920508383224795,8,0.8972356352049028,0.889340040503812,0.8757916376335017,0.8679808634268643,0.8834708315973125,0.8827638016732786,0.010201246088901043
0.12187519073486328,0.011692156835511086,0.003125,0.006250000000000001,16,{'SVM__n_iter': 16},0.8468476676384841,0.8697157434402332,0.8899872448979592,0.8922868873826902,0.7937743445386404,0.8585434313636963,0.03627077678133712,12,0.8624522735514997,0.8680667783170136,0.8807150512002412,0.8925600360083668,0.7777978279126087,0.8563183933979459,0.040619654870778114
0.1281252384185791,0.011692615635812205,0.006249761581420899,0.00765436346245981,32,{'SVM__n_iter': 32},0.8630193148688047,0.8970481049562683,0.902286807580175,0.8816768769551615,0.9004647965696705,0.8888956814111015,0.014843861669346361,7,0.8986084454930341,0.8896698980070006,0.8883586176546092,0.8737393507495973,0.8878344145487214,0.8876421452905927,0.007977587572369457
0.13437442779541015,0.007654188256473836,0.006249713897705078,0.007654305057246432,64,{'SVM__n_iter': 64},0.8535896501457728,0.8954992711370262,0.9121720116618077,0.8823742179353493,0.9036430886059377,0.8894509649300674,0.02045111109820451,6,0.8910543215611489,0.892928947186126,0.8864236845429468,0.893552506430793,0.8864306790661944,0.8900780277574418,0.0030922571056251954
0.1469170093536377,0.012532232682932168,0.0062502861022949215,0.007655005861882005,128,{'SVM__n_iter': 128},0.8625182215743441,0.8954992711370262,0.909302113702624,0.8807872784150157,0.9004647965696705,0.889711570970144,0.016447432075919585,3,0.8967083521794229,0.892928947186126,0.8849997351360382,0.8973213685623335,0.8878344145487214,0.8919585635225283,0.004851715406028558
0.16569032669067382,0.01595918992779356,0.0031248092651367187,0.006249618530273437,256,{'SVM__n_iter': 256},0.8635204081632655,0.9000546647230321,0.902286807580175,0.8787669447340981,0.9036430886059377,0.8896506242449915,0.015907373485106294,5,0.8952530265801172,0.889340040503812,0.8883586176546092,0.8921533125456979,0.8864306790661944,0.8903071352700861,0.003086393275948315
0.20002036094665526,0.011699156297953515,0.0,0.0,512,{'SVM__n_iter': 512},0.8661625364431487,0.8975491982507289,0.9107142857142858,0.8787669447340981,0.9036430886059377,0.8913645823155741,0.016478199040711832,1,0.8979383396696944,0.8880682860041808,0.8864585243409981,0.8921533125456979,0.8864306790661944,0.8902098283253531,0.0043919807088317235
0.29999918937683107,0.04352604907503239,0.0,0.0,1024,{'SVM__n_iter': 1024},0.8618349125364433,0.8990980320699707,0.9086643586005833,0.8788093065693431,0.902235606035809,0.8901256071850483,0.017319293773849546,2,0.8963901079422514,0.8877500417670093,0.8852866031808125,0.8927592225614412,0.8869071353705535,0.8898186221644137,0.004126173343484019
0.39689483642578127,0.060573518957778696,0.0,0.0,2048,{'SVM__n_iter': 2048},0.8618349125364433,0.896000364431487,0.9094387755102041,0.8787669447340981,0.902235606035809,0.8896521818339371,0.017221728623508042,4,0.8963901079422514,0.8878394842894922,0.8851623208602782,0.8921533125456979,0.8869071353705535,0.8896904722016545,0.0040651685414917855
