mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.05311708450317383,0.012498117394101626,0.0031250953674316407,0.006250190734863282,100,{'SVM__n_iter': 100},0.4457931493182573,0.4102095111406717,0.4592400690846286,0.7549222797927462,0.7549222797927462,0.5645276772088436,0.15582180118710637,17,0.47405728459474206,0.38020805491110105,0.42897233871309354,0.7683631973567161,0.7690303723471852,0.5641262495845675,0.1696486550318281
0.06251344680786133,0.00990867602882532,0.0031251430511474608,0.0062502861022949215,200,{'SVM__n_iter': 200},0.38626538077818423,0.4999999999999999,0.4629533678756476,0.7197754749568221,0.7157167530224525,0.5565353695717061,0.13629908876715177,19,0.39954347663391543,0.5000000000000001,0.4669695429321811,0.7654191553352819,0.7458380988689794,0.5755540547540716,0.15068121787828243
0.0531404972076416,0.007643514490234997,0.003125,0.006250000000000001,300,{'SVM__n_iter': 300},0.5500498836049218,0.516045892916528,0.5,0.455181347150259,0.765630397236615,0.5572945207467374,0.10832615461884378,18,0.5510033891781512,0.507189975730491,0.5,0.4848985470411319,0.7348455966450628,0.5555875017189673,0.09228618300366143
0.06564030647277833,0.0062423055863846545,0.003125,0.00625,400,{'SVM__n_iter': 400},0.49999999999999994,0.4839541070834718,0.5206390328151985,0.7575129533678757,0.7157167530224525,0.5951942832320051,0.11646183514595453,7,0.5000000000000001,0.49281002426950926,0.5547612996145211,0.7739547591815986,0.7458380988689794,0.6134728363869216,0.12178477214477407
0.08126530647277833,0.006242183808550354,0.00625004768371582,0.007654713849925503,500,{'SVM__n_iter': 500},0.4864482873295643,0.49999999999999994,0.5,0.6541450777202074,0.6933506044905009,0.5665258282235389,0.08829812573181935,15,0.48192616509681085,0.5000000000000001,0.5,0.7423539628076418,0.6098297115262421,0.5668219678861389,0.09879149292295583
0.07500128746032715,0.011692322507247433,0.003124570846557617,0.006249141693115233,600,{'SVM__n_iter': 600},0.5686730961090788,0.49742268041237103,0.4392055267702936,0.7197754749568221,0.7157167530224525,0.5879617060111528,0.11334935794172789,9,0.569440732148012,0.5000000000000001,0.38469521752022706,0.7654191553352819,0.7458380988689794,0.5930786407745001,0.14538413955877455
0.0749995231628418,0.011693698875091396,0.006250190734863281,0.007654889084871864,700,{'SVM__n_iter': 700},0.5526272031925507,0.5134685733288992,0.5130397236614853,0.4999999999999999,0.6918825561312609,0.5541279875881221,0.07095686191734561,21,0.5516502197085522,0.5058963146696889,0.46310416401914684,0.5,0.6709026983521836,0.5383106793499143,0.07201806159311626
0.08125042915344238,0.0062499046453014795,0.0,0.0,800,{'SVM__n_iter': 800},0.4672430994346525,0.48012969737279676,0.5,0.7371329879101899,0.7700345423143351,0.5904890424680476,0.13358399842081203,8,0.49233960206558125,0.4928795184587259,0.49999999999999994,0.7540665904180963,0.7054263565891473,0.5889424135063102,0.11602192784161465
0.09062566757202148,0.011692539175369105,0.003124427795410156,0.006248855590820312,900,{'SVM__n_iter': 900},0.49999999999999994,0.5969404722314599,0.5556131260794474,0.7575129533678757,0.4999999999999999,0.5818934065851935,0.09494507383382388,11,0.5000000000000001,0.6017501844268869,0.6224319057906553,0.7733087643495572,0.5,0.59949817091342,0.10053946705760737
0.09687552452087403,0.006250810756847327,0.0031249523162841797,0.006249904632568359,1000,{'SVM__n_iter': 1000},0.5597771865646823,0.5571998669770534,0.4715889464594128,0.714594127806563,0.7275474956822107,0.6059711833291653,0.09901059215432907,4,0.5438134134476603,0.5470101461516257,0.4426759012157411,0.7565976193501928,0.7634811708391579,0.6107156502008755,0.1275856661122299
0.09687390327453613,0.006251025204209528,0.0031249523162841797,0.006249904632568359,1100,{'SVM__n_iter': 1100},0.5526272031925507,0.5629364815430661,0.5785837651122625,0.6835060449050085,0.6750431778929188,0.6103507465321591,0.0567772699140765,3,0.5522970502389534,0.5465824896026003,0.6276210446054135,0.7365929597153388,0.6916168932943619,0.6309420874913335,0.07504152427443815
0.09999980926513671,0.0076546165873618765,0.0,0.0,1200,{'SVM__n_iter': 1200},0.5996009311606252,0.6299467908214167,0.5556131260794474,0.6835060449050085,0.5129533678756476,0.5963900032276698,0.05881859255920646,5,0.5830615932344735,0.5555686228389982,0.6224319057906553,0.7365929597153388,0.5142118863049095,0.602373393576875,0.0758331318189914
0.09687471389770508,0.015309758641747584,0.003124856948852539,0.006249713897705078,1300,{'SVM__n_iter': 1300},0.4884436315264382,0.5858829398071166,0.448013816925734,0.7052677029360968,0.6396373056994821,0.5733193714479201,0.09463301376706824,13,0.4983802508205661,0.6021511124415982,0.39143050790019907,0.7497246579404413,0.5701380946329478,0.5623649247471505,0.11837199490072903
0.0968747615814209,0.015309651627328044,0.0,0.0,1400,{'SVM__n_iter': 1400},0.3773694712337878,0.40098104423012965,0.5441278065630398,0.4999999999999999,0.7430915371329879,0.5126709380014259,0.13038098364571477,23,0.4299712400970781,0.4518351811660057,0.4783644681662218,0.5019379844961239,0.772302706824247,0.5268823161499353,0.12508492998309323
0.10312485694885254,0.012500643745055783,0.006250333786010742,0.007655064267094942,1500,{'SVM__n_iter': 1500},0.49999999999999994,0.49999999999999994,0.48626943005181344,0.6835060449050085,0.7001727115716754,0.573725152453847,0.09642701051571155,12,0.5000000000000001,0.5000000000000001,0.5152179438302199,0.7365929597153388,0.732494599059601,0.5968611005210319,0.11256215085226559
