params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.423461953,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",1.2105893719999998,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",1.241178509,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",0.6661487459999993,100,8.771929824561403e-05,0.0,0.0,0.008771929824561403,0.0008727959974619475
"{""discount_factor"": 0.4}",0.6632842710000002,100,4.8543689320388346e-05,0.0,0.0,0.0048543689320388345,0.0004830036102459322
"{""discount_factor"": 0.5}",0.682835045,100,0.002126797356406264,0.0,0.0,0.038461538461538464,0.006256029345398219
"{""discount_factor"": 0.6}",0.6481071600000003,100,0.010127806821764293,0.006757065242204264,0.0,0.047619047619047616,0.01183866544742204
"{""discount_factor"": 0.7}",0.8607291630000002,100,0.011774572697356076,0.010890151515151516,0.0,0.045454545454545456,0.01134337475578477
"{""discount_factor"": 0.8}",0.6686587380000013,100,0.011392252713713788,0.009391534391534392,0.0,0.05555555555555555,0.011813559947905977
"{""discount_factor"": 0.9}",0.7394499159999999,100,0.01311988458341523,0.013799010277883519,0.0,0.041666666666666664,0.009460458172457161
