params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.4187160359999993,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",1.4835924389999988,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.2}",0.8766580059999995,100,5.337254901960787,5.337254901960785,4.9411764705882355,5.733333333333333,0.3960784313725489
"{""discount_factor"": 0.3}",0.872914098999999,100,5.289725490196079,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39321632572394555
"{""discount_factor"": 0.4}",0.8611411699999962,100,5.384784313725491,5.733333333333333,4.9411764705882355,5.733333333333333,0.39321632572394555
"{""discount_factor"": 0.5}",0.9339984080000008,100,5.4006274509803935,5.733333333333333,4.9411764705882355,5.733333333333333,0.3909757586210383
"{""discount_factor"": 0.6}",1.0296256789999987,100,5.289725490196079,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39321632572394555
"{""discount_factor"": 0.7}",0.9361629530000002,100,5.353098039215688,5.733333333333333,4.9411764705882355,5.733333333333333,0.39576144178085526
"{""discount_factor"": 0.8}",1.0290666969999975,100,5.345176470588237,5.733333333333333,4.9411764705882355,5.733333333333333,0.3959992077631211
"{""discount_factor"": 0.9}",1.2594086309999994,100,5.361019607843138,5.733333333333333,4.9411764705882355,5.733333333333333,0.39536484739144956
