k,Wine Quality sse (left)
2,5484.036241367639
3,4309.249045505736
4,3334.2072651790018
5,2744.3407267751704
6,2373.7809638200974
7,2089.2080153790484
8,1887.0814212617831
9,1730.015681732315
10,1603.9253272378453
15,1252.6179583554294
20,1043.1191770623875
25,905.0187710790518
30,798.1657165137087
35,699.915826841909
40,638.3422161768017
