k,Wine Quality BIC
2,20651.235927354635
3,19362.569041324743
4,19202.283846920178
5,18931.7887093308
6,18946.41718443086
7,18935.421790005417
8,18985.21895789438
9,18933.20835686328
10,19011.716123395305
15,19211.96124502185
20,19556.851677857238
25,19702.36961169773
30,20002.593624078232
35,20287.495365148854
40,20704.253639993116
