k,Wine Quality log-likelihood
2,-3.2209295864842207
3,-3.0057630971506457
4,-2.9679035989586997
5,-2.9127263849928995
6,-2.9023517500166394
7,-2.887950737050829
8,-2.8831022951589342
9,-2.8622564037195763
10,-2.8619193695340086
15,-2.830018342064124
20,-2.8208459932882763
25,-2.7803454705660267
30,-2.76415451392486
35,-2.7455559093720217
40,-2.747676433319126
