iterations,fitness,time,fevals
0,15.0,1.71679999994e-05,11
10,16.0,3.2829999995e-05,21
20,14.0,4.30699999896e-05,31
30,15.0,5.27079999983e-05,41
40,15.0,6.29480000072e-05,51
50,15.0,9.75829999987e-05,61
60,18.0,0.000114448999994,71
70,21.0,0.000127399999997,81
80,21.0,0.000141253999999,91
90,21.0,0.000154203999998,101
100,21.0,0.000175586999987,111
110,22.0,0.000191247999979,121
120,23.0,0.000203294999977,131
130,23.0,0.000214738999972,141
140,24.0,0.000241542999973,151
150,24.0,0.000259311999983,161
160,24.0,0.000271960999996,171
170,24.0,0.000284007999994,181
180,24.0,0.000311416000002,191
190,24.0,0.000330992000002,201
200,25.0,0.000342437,211
210,27.0,0.000352074999995,221
220,27.0,0.000363519999993,231
230,27.0,0.000381289999993,241
240,27.0,0.000391830999988,251
250,27.0,0.000400866999996,261
260,27.0,0.000418033999992,271
270,27.0,0.000437911999981,281
280,27.0,0.000454476999991,291
290,27.0,0.000469535999983,301
300,27.0,0.000499352999981,311
310,28.0,0.000518627999995,321
320,29.0,0.000530071999989,331
330,29.0,0.00053940799998,341
340,29.0,0.00055808099998,351
350,29.0,0.000572838999972,361
360,30.0,0.000583379999981,371
370,30.0,0.000592113999971,381
380,30.0,0.00062132799998,391
390,30.0,0.000638796999979,401
400,30.0,0.000652951999982,411
410,30.0,0.000664395999976,421
420,30.0,0.000694814999974,431
430,31.0,0.000707463999973,441
440,31.0,0.000719510999971,451
450,32.0,0.00073125699997,461
460,32.0,0.000761072999964,471
470,32.0,0.000777938999974,481
480,32.0,0.000791792999976,491
490,32.0,0.000804140999975,501
500,32.0,0.000822512999974,511
510,32.0,0.000836366999977,521
520,32.0,0.000849015999989,531
530,32.0,0.000860761999988,541
540,32.0,0.00087371299999,551
550,33.0,0.000898409999991,561
560,40.0,0.000914673999986,571
570,40.0,0.000927624999974,581
580,40.0,0.000940273999973,591
590,41.0,0.000960150999973,601
600,41.0,0.000971294999971,611
610,41.0,0.000985751999963,621
620,41.0,0.000997798999961,631
630,41.0,0.00101647199996,641
640,41.0,0.00103183199997,651
650,41.0,0.00104448099997,661
660,41.0,0.00105652799998,671
670,41.0,0.00107971899997,681
680,41.0,0.00109568099998,691
690,41.0,0.00110893299998,701
700,42.0,0.00112098,711
710,42.0,0.00114808599999,721
720,42.0,0.00116976999999,731
730,42.0,0.001185431,741
740,42.0,0.001216152,751
750,42.0,0.00123693399999,761
760,42.0,0.00125470399999,771
770,42.0,0.00127397899999,781
780,42.0,0.00129475999998,791
790,42.0,0.00131011999997,801
800,42.0,0.00132427499997,811
810,43.0,0.00133662299997,821
820,43.0,0.00135619899997,831
830,43.0,0.00136794499997,841
840,43.0,0.00137938899996,851
850,43.0,0.00138872599997,861
860,43.0,0.00140830199997,871
870,44.0,0.00142095099999,881
880,44.0,0.00143209499998,891
890,44.0,0.00144444399999,901
900,44.0,0.001469441,911
910,44.0,0.001482392,921
920,44.0,0.00149172799999,931
930,44.0,0.00150528099998,941
940,44.0,0.00153720599998,951
950,52.0,0.00154955399998,961
960,52.0,0.00155979399997,971
970,52.0,0.00157244399998,981
980,52.0,0.00159834599998,991
990,53.0,0.00161641699998,1001
1000,57.0,0.00162966799998,1011
1010,57.0,0.00165346199998,1021
1020,58.0,0.00167213499998,1031
1030,58.0,0.00168598899998,1041
1040,58.0,0.00170285499998,1051
1050,59.0,0.00172484099998,1061
1060,59.0,0.00174080299999,1071
1070,59.0,0.00175766799998,1081
1080,59.0,0.00178085899998,1091
1090,59.0,0.00179712199997,1101
1100,59.0,0.00180706099997,1111
1110,59.0,0.00181971099997,1121
1120,60.0,0.00184320299996,1131
1130,60.0,0.00185826199996,1141
1140,60.0,0.00187060999995,1151
1150,60.0,0.00189259599996,1161
1160,60.0,0.00190976299996,1171
1170,60.0,0.00192120799996,1181
1180,60.0,0.00193325499995,1191
