iterations,fitness,time,fevals
1800,57.0,8.218823593,199000
1810,56.0,8.262693725,200100
1820,57.0,8.306022039,201200
1830,57.0,8.350176784,202300
1840,56.0,8.397582741,203400
1850,56.0,8.442300688,204500
1860,55.0,8.486918644,205600
1870,53.0,8.531494134,206700
1880,52.0,8.574906476,207800
1890,56.0,8.618485671,208900
1900,56.0,8.661333908,210000
1910,53.0,8.707560153,211100
1920,52.0,8.752132029,212200
1930,56.0,8.797031285,213300
1940,56.0,8.842023003,214400
1950,53.0,8.887548106,215500
1960,52.0,8.932862987,216600
1970,55.0,8.977408359,217700
1980,56.0,9.022222081,218800
1990,54.0,9.067266504,219900
2000,56.0,9.110831242,221000
2010,56.0,9.155138684,222100
2020,60.0,9.198597408,223200
2030,56.0,9.242747033,224300
2040,55.0,9.2868816,225400
2050,61.0,9.33212721,226500
2060,54.0,9.376951473,227600
2070,53.0,9.42340601,228700
2080,53.0,9.4675978,229800
2090,53.0,9.511131818,230900
2100,52.0,9.554287256,232000
2110,56.0,9.597021045,233100
2120,58.0,9.641834767,234200
2130,54.0,9.686349118,235300
2140,62.0,9.733259337,236400
2150,53.0,9.777965237,237500
2160,59.0,9.822441338,238600
2170,53.0,9.866944545,239700
2180,52.0,9.910901416,240800
2190,62.0,9.95457518,241900
2200,59.0,9.999288911,243000
2210,52.0,10.044930269,244100
2220,52.0,10.090056613,245200
2230,53.0,10.134086671,246300
2240,53.0,10.17807366,247400
2250,53.0,10.221894098,248500
2260,53.0,10.265988608,249600
2270,54.0,10.309940961,250700
2280,62.0,10.354064685,251800
2290,58.0,10.398672401,252900
2300,55.0,10.444731793,254000
2310,52.0,10.488816062,255100
2320,52.0,10.533756579,256200
2330,57.0,10.577227952,257300
2340,54.0,10.621876327,258400
2350,62.0,10.667090012,259500
2360,52.0,10.711236023,260600
2370,53.0,10.757285778,261700
2380,54.0,10.802150098,262800
2390,52.0,10.846835217,263900
2400,58.0,10.892515728,265000
2410,53.0,10.937097844,266100
2420,55.0,10.980353574,267200
2430,56.0,11.024794739,268300
2440,53.0,11.070834856,269400
2450,53.0,11.117564669,270500
2460,52.0,11.162034747,271600
2470,52.0,11.205688333,272700
2480,52.0,11.24832424,273800
2490,52.0,11.292405799,274900
2500,57.0,11.338074564,276000
2510,59.0,11.383918012,277100
2520,54.0,11.429022972,278200
2530,53.0,11.475333848,279300
2540,56.0,11.52039815,280400
2550,54.0,11.566156365,281500
2560,53.0,11.611113748,282600
2570,52.0,11.655513351,283700
2580,52.0,11.698924188,284800
2590,59.0,11.744154137,285900
2600,54.0,11.790340626,287000
2610,59.0,11.835836816,288100
2620,53.0,11.879058212,289200
2630,62.0,11.922803356,290300
2640,54.0,11.966899673,291400
2650,52.0,12.010798417,292500
2660,58.0,12.054478808,293600
2670,60.0,12.098706438,294700
2680,55.0,12.145252835,295800
2690,58.0,12.189925304,296900
2700,52.0,12.234012284,298000
2710,53.0,12.278432367,299100
2720,55.0,12.322531997,300200
2730,53.0,12.366811731,301300
2740,52.0,12.411152905,302400
2750,53.0,12.456274129,303500
2760,53.0,12.500031018,304600
2770,52.0,12.545206153,305700
2780,53.0,12.591017074,306800
2790,52.0,12.634938105,307900
2800,57.0,12.679036529,309000
2810,52.0,12.722544646,310100
2820,55.0,12.7659088,311200
2830,53.0,12.810769505,312300
2840,53.0,12.853622862,313400
2850,58.0,12.897593287,314500
2860,53.0,12.942810888,315600
2870,52.0,12.988822393,316700
2880,53.0,13.034246301,317800
2890,54.0,13.078352557,318900
2900,53.0,13.121871516,320000
2910,54.0,13.166700598,321100
2920,52.0,13.209866276,322200
2930,55.0,13.255947353,323300
2940,53.0,13.299107008,324400
2950,53.0,13.342688914,325500
2960,54.0,13.385835316,326600
2970,62.0,13.430922808,327700
2980,60.0,13.476199138,328800
2990,55.0,13.522181429,329900
3000,52.0,13.567481853,331000
3010,54.0,13.613329518,332100
3020,52.0,13.673298497,333200
3030,60.0,13.717032497,334300
3040,54.0,13.761032437,335400
3050,53.0,13.803787911,336500
3060,54.0,13.84871879,337600
3070,55.0,13.892121194,338700
3080,56.0,13.938417312,339800
3090,60.0,13.98354456,340900
3100,52.0,14.026418096,342000
3110,54.0,14.069676837,343100
3120,55.0,14.113927959,344200
3130,56.0,14.158439299,345300
3140,55.0,14.204198116,346400
3150,53.0,14.249039546,347500
3160,55.0,14.294420687,348600
3170,55.0,14.339063641,349700
3180,56.0,14.383621361,350800
3190,53.0,14.42773876,351900
3200,54.0,14.472603983,353000
3210,57.0,14.516103366,354100
3220,54.0,14.560597538,355200
3230,55.0,14.60507635,356300
3240,55.0,14.648754934,357400
3250,57.0,14.694238475,358500
3260,65.0,14.73972563,359600
3270,65.0,14.784151736,360700
3280,60.0,14.829366024,361800
3290,52.0,14.875523298,362900
3300,55.0,14.919500951,364000
3310,55.0,14.963920733,365100
3320,56.0,15.008728732,366200
3330,55.0,15.053446679,367300
3340,56.0,15.098516402,368400
3350,63.0,15.143606604,369500
3360,53.0,15.187252962,370600
3370,56.0,15.233789721,371700
3380,54.0,15.278388704,372800
3390,54.0,15.322264559,373900
3400,54.0,15.367470414,375000
3410,59.0,15.413148816,376100
3420,65.0,15.457334884,377200
3430,65.0,15.503801167,378300
3440,67.0,15.549803938,379400
3450,66.0,15.596738854,380500
3460,69.0,15.642162159,381600
3470,70.0,15.686414486,382700
3480,65.0,15.732094695,383800
3490,65.0,15.77686324,384900
3500,65.0,15.819439514,386000
3510,65.0,15.862429606,387100
3520,65.0,15.909893088,388200
3530,65.0,15.959870199,389300
3540,65.0,16.003148216,390400
3550,66.0,16.045960613,391500
3560,65.0,16.088844087,392600
3570,65.0,16.131775147,393700
3580,65.0,16.175823275,394800
3590,64.0,16.219040454,395900
3600,65.0,16.264404427,397000
3610,66.0,16.307842068,398100
3620,65.0,16.352385332,399200
3630,64.0,16.396866553,400300
3640,65.0,16.44105774,401400
3650,65.0,16.485339883,402500
3660,65.0,16.528709759,403600
3670,65.0,16.57154625,404700
3680,65.0,16.616289195,405800
3690,67.0,16.659335907,406900
3700,65.0,16.702406714,408000
3710,66.0,16.746440084,409100
3720,65.0,16.788668196,410200
3730,66.0,16.831754062,411300
3740,65.0,16.874692351,412400
3750,65.0,16.917385782,413500
3760,65.0,16.96271271,414600
3770,66.0,17.005539563,415700
3780,65.0,17.063707499,416800
3790,65.0,17.107720088,417900
3800,65.0,17.151423066,419000
3810,65.0,17.19471825,420100
3820,65.0,17.237476736,421200
3830,65.0,17.280855046,422300
3840,65.0,17.323852064,423400
3850,65.0,17.367096349,424500
3860,65.0,17.410949615,425600
3870,65.0,17.453841221,426700
3880,66.0,17.497064123,427800
3890,65.0,17.540618019,428900
3900,65.0,17.587093036,430000
3910,66.0,17.633026838,431100
3920,68.0,17.676897272,432200
3930,65.0,17.720834868,433300
3940,67.0,17.764520379,434400
3950,66.0,17.807953201,435500
3960,67.0,17.851082436,436600
3970,66.0,17.894015905,437700
3980,66.0,17.937336087,438800
3990,66.0,17.983656901,439900
4000,66.0,18.027311992,441000
4010,65.0,18.070203297,442100
4020,67.0,18.113084663,443200
4030,66.0,18.156550614,444300
4040,66.0,18.199348554,445400
4050,65.0,18.242580792,446500
4060,66.0,18.288048671,447600
4070,67.0,18.33225552,448700
4080,67.0,18.378587478,449800
4090,66.0,18.422514834,450900
4100,66.0,18.465515165,452000
4110,67.0,18.509246153,453100
4120,67.0,18.553585219,454200
4130,65.0,18.596833119,455300
4140,68.0,18.642022409,456400
4150,67.0,18.685362468,457500
4160,66.0,18.728094752,458600
4170,66.0,18.771889589,459700
4180,66.0,18.815645575,460800
4190,66.0,18.85915339,461900
4200,66.0,18.90200253,463000
4210,66.0,18.945920851,464100
