steps,time,reward,delta,converged
1,0.0035038689999282724,0.0,3.007275148035103e-05,False
2,0.005416932999992241,0.0,6.978238408827837e-05,False
3,0.003979425000011361,0.0,6.978238408827837e-05,False
4,0.0018347579999726804,0.0,6.978238408827837e-05,False
5,0.001651644000048691,0.0,6.978238408827837e-05,False
6,0.0008450970000239977,0.0,6.978238408827837e-05,False
7,0.003970088999949439,0.0,6.978238408827837e-05,False
8,0.0006384910000178934,0.0,6.978238408827837e-05,False
9,0.0012284929999850647,0.0,6.978238408827837e-05,False
10,0.0019401690000222516,0.0,6.978238408827837e-05,False
11,0.00060204800001884,0.0,6.978238408827837e-05,False
12,0.0010309220000408459,0.0,6.978238408827837e-05,False
13,0.0017931959999941682,0.0,6.978238408827837e-05,False
14,0.002382895999971879,0.0,8.378571086882428e-05,False
15,0.003922202000012476,0.0,8.378571086882428e-05,False
16,0.0006975219999958426,0.0,8.378571086882428e-05,False
17,0.0012676459999738654,0.0,8.378571086882428e-05,False
18,0.0029448889999912353,0.0,8.378571086882428e-05,False
19,0.003926116999991791,0.0,8.378571086882428e-05,False
20,0.0017441040000676367,0.0,8.378571086882428e-05,False
21,0.0031406529999458144,0.0,8.378571086882428e-05,False
22,0.0003659279999510545,0.0,8.378571086882428e-05,False
23,0.001648933000069519,0.0,8.378571086882428e-05,False
24,0.004011651000041638,0.0,8.378571086882428e-05,False
25,0.004123989000049733,0.0,8.405196665425817e-05,False
26,0.0021750859999656313,0.0,8.405196665425817e-05,False
27,0.004875720999962141,0.0,8.405196665425817e-05,False
28,0.0010321259999273025,0.0,8.405196665425817e-05,False
29,0.004014059999917663,0.0,8.405196665425817e-05,False
30,0.0009288230000947806,0.0,8.405196665425817e-05,False
31,0.002024196999968808,0.0,8.405196665425817e-05,False
32,0.002338623000014195,0.0,8.405196665425817e-05,False
33,0.0016106839999565636,0.0,8.405196665425817e-05,False
34,0.0007496249999121574,0.0,8.405196665425817e-05,False
35,0.00046049700006278727,0.0,8.405196665425817e-05,False
36,0.0005053719999068562,0.0,8.405196665425817e-05,False
37,0.001757656999984647,0.0,8.405196665425817e-05,False
38,0.0013218569999935426,0.0,8.405196665425817e-05,False
39,0.0024609010000631315,0.0,8.405196665425817e-05,False
40,0.0006905939999342081,0.0,8.405196665425817e-05,False
41,0.0014634089999390198,0.0,8.405196665425817e-05,False
42,0.002647026000090591,0.0,8.405196665425817e-05,False
43,0.0009920699999383942,0.0,8.405196665425817e-05,False
44,0.000508082999999715,0.0,8.405196665425817e-05,False
45,0.002645520999976725,0.0,8.405196665425817e-05,False
46,0.0005104910000000018,0.0,8.405196665425817e-05,False
