episode,length,time,reward,delta
0,17.0,0.001033029999973678,0.0,-0.0009349374982386533
1,7.0,0.00041833200003793536,0.0,-0.00019574605258995383
2,18.0,0.0009399670000220794,0.0,-0.00047267935227435096
3,80.0,0.0039285270000277706,0.0,-0.00043043767843529025
4,48.0,0.002410905999965962,0.0,-0.000649887917873033
5,13.0,0.0006987259999959861,0.0,-0.00022072687550844257
6,50.0,0.0025012579999952322,0.0,-0.00014716834776284682
7,92.0,0.004584786999998869,0.0,-8.98147550796854e-05
8,10.0,0.0005481379999991987,0.0,-0.00010112405300893114
9,8.0,0.00045417199999064906,0.0,-0.000407531062827907
10,7.0,0.00040447800000720235,0.0,-0.0007414215882285849
11,15.0,0.0007896810000147525,0.0,-0.0003683271746957095
12,14.0,0.0007366739999952188,0.0,-0.00018929352802030767
13,20.0,0.0010218870000358038,0.0,-5.056202650446557e-05
14,30.0,0.0015411120000408118,0.0,-0.00015156961892372374
15,29.0,0.0014474469999754547,0.0,-8.225492872407763e-05
16,84.0,0.004180006999945363,0.0,-0.000854394488706567
17,22.0,0.0011664510000173323,0.0,-0.00014365808051229742
18,21.0,0.0010676649999936672,0.0,-0.0003529946082724089
19,24.0,0.001207711000006384,0.0,-0.000700077850215446
20,13.0,0.0007333609999591317,0.0,5.8187099120259964e-05
21,34.0,0.0016847729999653893,0.0,-0.00015508084298007917
22,7.0,0.00040026200002785117,0.0,-6.285357138552887e-06
23,55.0,0.0027211150000425732,0.0,-0.00019598617174185293
24,9.0,0.0004960349999691971,0.0,-7.75404214900396e-05
25,20.0,0.001059834999978193,0.0,-3.1426785692764437e-06
26,18.0,0.0009246070000017426,0.0,1.0576690830627338e-05
27,65.0,0.0032505820000210406,0.0,-9.464676401015382e-05
28,48.0,0.0023533809999776167,0.0,-1.571339284638215e-06
29,29.0,0.0014510610000115776,0.0,-7.578480946186188e-05
30,9.0,0.0004954329999691254,0.0,3.453761713243402e-05
31,15.0,0.0007797420000201782,0.0,-0.00012376398861809913
32,12.0,0.0006782460000067658,0.0,1.726880856621701e-05
33,12.0,0.0006336729999816271,0.0,-3.789240473093095e-05
34,29.0,0.0014417250000064996,0.0,1.1141383725727565e-05
35,60.0,0.0029945830000315254,0.0,3.485437615318221e-05
36,17.0,0.0008758160000184034,0.0,-2.2579300013229986e-05
37,13.0,0.0006860760000222399,0.0,-9.63810171007742e-05
38,9.0,0.000493624999990061,0.0,2.1779753965087293e-05
39,7.0,0.0004008640000279229,0.0,-4.819050855038709e-05
40,11.0,0.0005869899999879635,0.0,4.6254673356946496e-05
41,18.0,0.0009652659999801472,0.0,1.912279402313439e-05
42,22.0,0.0011161549999769704,0.0,-0.0007478044489247847
43,7.0,0.0004020680000280663,0.0,8.634404283108509e-06
44,12.0,0.0006369849999714461,0.0,4.317202141554254e-06
45,8.0,0.0004891079999538306,0.0,2.1586010707771238e-06
46,11.0,0.0005912070000135827,0.0,2.312733667847325e-05
47,18.0,0.0009246079999911672,0.0,1.1563668339236626e-05
48,8.0,0.00044603999998571453,0.0,-1.2480707722748938e-05
49,25.0,0.0013004740000042148,0.0,5.781834169618313e-06
50,47.0,0.0023660300000187817,0.0,4.929456620772408e-05
51,10.0,0.0005854839999983596,0.0,-6.188199430904955e-05
52,5.0,0.00030629499997303355,0.0,2.8909170848091565e-06
