steps,time,reward,delta,converged
1,0.02531616600003872,-3.37125748502994,0,False
2,0.024968007000097714,-3.37125748502994,0,False
3,0.025062877999971533,-2.7784431137724552,0,False
4,0.02489331700007824,-2.7784431137724552,0,False
5,0.00458026899991637,-0.9782608695652174,100.00011317056044,False
6,0.020511823000106233,-2.6731234866828086,100.00011317056044,False
7,0.006836972999963109,-1.6978417266187051,100.00011317056044,False
8,0.02239266099991255,-2.5253863134657837,100.00011317056044,False
9,0.01628965000008975,-2.201219512195122,100.00011317056044,False
10,0.0067324649999136454,-2.4518518518518517,100.00011317056044,False
11,0.017300996000130908,-1.8404558404558404,100.00011317056044,False
12,0.009437618999982078,-2.560846560846561,100.00011317056044,False
13,0.0031936589998622367,0.578125,100.00011317056044,False
14,0.0023738610000236804,1.1041666666666667,100.00011317056044,False
15,0.0037824559999535268,-2.276315789473684,100.00011317056044,False
16,0.004162841000152184,-0.9746835443037974,100.00011317056044,False
17,0.0031433629999355617,-0.9682539682539683,100.00011317056044,False
18,0.004063152000071568,-2.182926829268293,100.00011317056044,False
19,0.007385713999838117,-2.315436241610738,100.00011317056044,False
20,0.0024178329999813286,1.1041666666666667,100.00011317056044,False
21,0.002116054999987682,1.3488372093023255,100.00011317056044,False
22,0.0049543290001565765,-0.98,100.00011317056044,False
23,0.002896099000054164,-0.9661016949152542,100.00011317056044,False
24,0.002325372000086645,1.2444444444444445,100.00011317056044,False
25,0.0031963699998414086,-0.96875,100.00011317056044,False
26,0.0019407720001254347,1.5897435897435896,100.00011317056044,False
27,0.006006934999959412,-1.7950819672131149,100.00011317056044,False
28,0.0017392849999851023,1.9705882352941178,100.00011317056044,False
29,0.005059438999978738,-0.98,100.00011317056044,False
30,0.003348162000065713,-2.4477611940298507,100.00011317056044,False
31,0.004259818999798881,-2.127906976744186,100.00011317056044,False
32,0.0009574350001457788,4.315789473684211,100.00011317056044,False
33,0.0009005129998058692,4.611111111111111,100.00011317056044,False
34,0.0023889199999302946,1.1956521739130435,100.00011317056044,False
35,0.0012275889998818457,4.05,100.00011317056044,False
36,0.0017296470000474073,1.8857142857142857,100.00011317056044,False
37,0.0011010959999566694,3.590909090909091,100.00011317056044,False
38,0.0033144300000458315,-0.9701492537313433,100.00011317056044,False
39,0.0012824039999941306,3.04,100.00011317056044,False
40,0.00124144400001569,3.04,100.00011317056044,False
41,0.0007996199999524833,5.3125,100.00011317056044,False
42,0.0012821020000046701,3.04,100.00011317056044,False
43,0.001432388000011997,3.391304347826087,100.00011317056044,False
44,0.0036586740000075224,-0.972972972972973,100.00011317056044,False
45,0.0009511099999599537,4.315789473684211,100.00011317056044,False
46,0.0011357309999766585,3.590909090909091,100.00011317056044,False
47,0.001578157000039937,2.15625,100.00011317056044,False
48,0.0020151610001448717,-0.95,100.00011317056044,False
49,0.001001407000103427,4.05,100.00011317056044,False
50,0.000995081999917602,4.05,100.00011317056044,False
51,0.0008535300000858115,4.9411764705882355,100.00011317056044,False
52,0.00121403699995426,3.590909090909091,100.00011317056044,False
53,0.0016359820001525804,2.0606060606060606,100.00011317056044,False
54,0.0008574450000651268,5.3125,100.00011317056044,False
55,0.0009092469999814057,4.611111111111111,100.00011317056044,False
56,0.0009977919999073492,4.05,100.00011317056044,False
57,0.0017624760000671813,-0.9428571428571428,100.00011317056044,False
58,0.0009517119999600254,4.315789473684211,100.00011317056044,False
59,0.001139344999955938,3.391304347826087,100.00011317056044,False
60,0.0017558510000981187,-0.9428571428571428,100.00011317056044,False
61,0.0009508089999599179,4.315789473684211,100.00011317056044,False
62,0.0013992589999816119,-4.592592592592593,100.00011317056044,False
63,0.0011453679999249289,3.391304347826087,100.00011317056044,False
64,0.0007511300000260235,5.733333333333333,100.00011317056044,False
65,0.001094770999998218,3.590909090909091,100.00011317056044,False
66,0.0008902729998681025,4.9411764705882355,100.00011317056044,False
67,0.0022994700000253943,-0.9574468085106383,100.00011317056044,False
68,0.0007969089999733114,5.733333333333333,100.00011317056044,False
69,0.0011899419998826488,3.2083333333333335,100.00011317056044,False
70,0.0010375470001235954,3.8095238095238093,100.00011317056044,False
71,0.0008342539999830478,5.3125,100.00011317056044,False
72,0.0008484089999001299,4.9411764705882355,100.00011317056044,False
73,0.0010092370000620576,4.315789473684211,100.00011317056044,False
74,0.0008999110000331711,5.3125,100.00011317056044,False
75,0.0008962970000538917,4.9411764705882355,100.00011317056044,False
76,0.0017639819998294115,-0.9444444444444444,100.00011317056044,False
77,0.0007978129999628436,5.3125,100.00011317056044,False
78,0.0010489930000403547,4.05,100.00011317056044,False
79,0.0010526060000302095,3.8095238095238093,100.00011317056044,False
80,0.0008538309998584737,4.9411764705882355,100.00011317056044,False
81,0.0015272580001237657,-0.9333333333333333,100.00011317056044,False
82,0.0008005229999525909,5.3125,100.00011317056044,False
83,0.0008514219998687622,4.9411764705882355,100.00011317056044,False
84,0.0007929930000045715,5.733333333333333,100.00011317056044,False
85,0.004722423999965031,-0.9789473684210527,100.00011317056044,False
86,0.000754744000005303,5.733333333333333,100.00011317056044,False
87,0.0008481089998895186,4.9411764705882355,100.00011317056044,False
88,0.0011363329999767302,3.590909090909091,100.00011317056044,False
89,0.0007490220000363479,5.733333333333333,100.00011317056044,False
90,0.0007535400000051595,5.733333333333333,100.00011317056044,False
91,0.0007505280000259518,5.733333333333333,100.00011317056044,False
92,0.0032508830001916067,-0.9696969696969697,100.00011317056044,False
93,0.0008499149998897337,4.9411764705882355,100.00011317056044,False
94,0.0008017279999421589,5.3125,100.00011317056044,False
95,0.000800221999952555,5.3125,100.00011317056044,False
96,0.0008149800000865071,5.733333333333333,100.00011317056044,False
97,0.0007884760000251845,5.733333333333333,100.00011317056044,False
98,0.0007499250000364555,5.733333333333333,100.00011317056044,False
99,0.0008459999999104184,4.9411764705882355,100.00011317056044,False
100,0.0007523350000155915,5.733333333333333,100.00011317056044,False
101,0.0007960049999837793,5.733333333333333,100.00011317056044,False
