steps,time,reward,delta,converged
1,0.02171110199992654,0.0,0,False
2,0.003945391999991443,0.0,0,False
3,0.007102006999957666,0.0,0,False
4,0.009646633999977894,0.0,0,False
5,0.005942785000002004,0.0,0,False
6,0.024465347000045767,0.0,0,False
7,0.012439731000085885,0.0,0,False
8,0.007622738000009122,0.0,0,False
9,0.005732563999913509,0.0,0,False
10,0.015381909000097949,0.0,0,False
11,0.0038755199999513934,0.0,0,False
12,0.007827537000025586,0.0,0,False
13,0.006872812999972666,0.0,0,False
14,0.010204109000028438,0.0,0,False
15,0.0033487650000552094,0.0,0,False
16,0.008011254000052759,0.0,0,False
17,0.004440523999960533,0.0,0,False
18,0.0028753170000754835,0.0,0,False
19,0.0038378729999521966,0.0,0,False
20,0.016871219999984532,0.0,0,False
21,0.005604263999998693,0.0,0,False
22,0.002413014000012481,0.0,0,False
23,0.008052816000031271,0.0,0,False
24,0.004514009999979862,0.0,0,False
25,0.010812482999995154,0.0,0,False
26,0.006642413999998098,0.0,0,False
27,0.007239342999923792,0.0,0,False
28,0.008976519999919219,0.0,0,False
29,0.02143070700003591,0.0,0,False
30,0.004367639000065537,0.0,0,False
31,0.004355291000024408,0.0,0,False
32,0.005448256000022411,0.0,0,False
33,0.01638903899993238,0.0,0,False
34,0.004400468000085311,0.0,0,False
35,0.003675540000017463,0.0,0,False
36,0.005543728000020565,0.0,0,False
37,0.011355200000025434,0.0,0,False
38,0.006546038000010412,0.0,0,False
39,0.022730880000040088,0.0,0,False
40,0.0013643219999721623,0.0,0,False
41,0.0030668639999476,0.0,0,False
42,0.005647632999966845,0.0,0,False
43,0.005192858999976124,0.0,0,False
44,0.004109231000029467,0.0,0,False
45,0.01433171200005745,0.0,0,False
46,0.01015893299995696,0.0,0,False
47,0.013805558999933965,0.0,0,False
48,0.008845810000025267,0.0,0,False
49,0.008118471999978283,0.0,0,False
50,0.0071794089999457356,0.0,0,False
51,0.002228693999995812,0.0,0,False
52,0.010501970999939658,0.0,0,False
53,0.010546244000011029,0.0,0,False
54,0.00855547799994838,0.0,0,False
55,0.007019485000000714,0.0,0,False
56,0.010625452999988738,0.0,0,False
57,0.01884813200001645,0.0,0,False
58,0.011070287999928041,0.0,0,False
59,0.001839576999941528,0.0,0,False
60,0.01904600400007439,0.0,0,False
61,0.017694331000029706,0.0,0,False
62,0.006314735000046312,0.0,0,False
63,0.024194590999968568,0.0,0,False
64,0.013848628000005192,0.0,0,False
65,0.00303132600004119,0.0,0,False
66,0.002370246999930714,0.0,0,False
67,0.002175988999965739,0.0,0,False
68,0.0034454410000535063,0.0,0,False
69,0.00550517800002126,0.0,0,False
70,0.0026518459999351762,0.0,0,False
71,0.01763108399995872,0.0,0,False
72,0.005081725999957598,0.0,0,False
73,0.0026946120000275187,0.0,0,False
74,0.006168666000007761,0.0,0,False
75,0.00484048399994208,0.0,0,False
76,0.006574347999958263,0.0,0,False
77,0.0023109160000558404,0.0,0,False
78,0.0019302300000845207,0.0,0,False
79,0.006597840000040378,0.0,0,False
80,0.009053922000020975,0.0,0,False
81,0.004013156999917555,0.0,0,False
82,0.00961139700007152,0.0,0,False
83,0.009913776999951551,0.0,0,False
84,0.002460298999949373,0.0,0,False
85,0.024263861000008546,0.0,0,False
86,0.0038258259999111033,0.0,0,False
87,0.010433303000013439,0.0,0,False
88,0.0074405279999609775,0.0,0,False
89,0.001881139000033727,0.0,0,False
90,0.017060659000094347,0.0,0,False
91,0.009969795999950293,0.0,0,False
92,0.004793500999994649,0.0,0,False
93,0.01270084999998744,0.0,0,False
94,0.002852728999982901,0.0,0,False
95,0.004025203999958649,0.0,0,False
96,0.007130919000019276,0.0,0,False
97,0.004625745999987885,0.0,0,False
98,0.0067252369999550865,0.0,0,False
99,0.006467430999919088,0.0,0,False
100,0.013602568000010251,0.0,0,False
101,0.009762286000068343,0.0,0,False
102,0.011494041999981164,0.0,0,False
