steps,time,reward,delta,converged
1,0.013414935999890076,0.0,0,False
2,0.007959753000022829,0.0,0,False
3,0.0018004229998496157,0.0,0,False
4,0.0058816460000343795,0.0,0,False
5,0.0014236539998364606,0.0,0,False
6,0.01363388999993731,0.0,0,False
7,0.004468834999897808,0.0,0,False
8,0.002181109000048309,0.0,0,False
9,0.0158396960000573,0.0,0,False
10,0.01701548300002287,0.0,0,False
11,0.0012703560000772995,0.0,0,False
12,0.01871411000001899,0.0,0,False
13,0.003063551999957781,0.0,0,False
14,0.005560593999916819,0.0,0,False
15,0.012716208999790979,0.0,0,False
16,0.008518131999835532,0.0,0,False
17,0.006750233999810007,0.0,0,False
18,0.0057373829999960435,0.0,0,False
19,0.006722827999965375,0.0,0,False
20,0.019071603999918807,0.0,0,False
21,0.0049287280000953615,0.0,0,False
22,0.017722641000091244,0.0,0,False
23,0.004222172000027058,0.0,0,False
24,0.004158924999956071,0.0,0,False
25,0.0021753859998625558,0.0,0,False
26,0.007013160999804313,0.0,0,False
27,0.0024973429999590735,0.0,0,False
28,0.007413723000126993,0.0,0,False
29,0.009454183999878296,0.0,0,False
30,0.008597943000040686,0.0,0,False
31,0.007650447000060012,0.0,0,False
32,0.00831694599992261,0.0,0,False
33,0.007059239999989586,0.0,0,False
34,0.01157114200009346,0.0,0,False
35,0.011609090999854743,0.0,0,False
36,0.014745225000069695,0.0,0,False
37,0.005208820999996533,0.0,0,False
38,0.0015483409999887954,0.0,0,False
39,0.0051714759999867965,0.0,0,False
40,0.0035592849999375176,0.0,0,False
41,0.012277097000151116,0.0,0,False
42,0.010882054000148855,0.0,0,False
43,0.005338024999900881,0.0,0,False
44,0.011478379999971366,0.0,0,False
45,0.0017091680001612986,0.0,0,False
46,0.003799924999839277,0.0,0,False
47,0.004429981999919619,0.0,0,False
48,0.004860965000034412,0.0,0,False
49,0.0044691349999084196,0.0,0,False
50,0.022482109000065975,0.0,0,False
51,0.014880151999932423,0.0,0,False
52,0.00662735499986411,0.0,0,False
53,0.008992783000167037,0.0,0,False
54,0.007109234999916225,0.0,0,False
55,0.007699236999997083,0.0,0,False
56,0.002503667999917525,0.0,0,False
57,0.006371356000045125,0.0,0,False
58,0.004987759000186998,0.0,0,False
59,0.01197140399995078,0.0,0,False
60,0.01258941500009314,0.0,0,False
61,0.008938572000033673,0.0,0,False
62,0.024293978000059724,0.0,0,False
63,0.007130317000019204,0.0,0,False
64,0.0025551690000611416,0.0,0,False
65,0.007063455999968937,0.0,0,False
66,0.00255276000007143,0.0,0,False
67,0.0028735109999615815,0.0,0,False
68,0.009902634000127364,0.0,0,False
69,0.019877849000067727,0.0,0,False
70,0.004561597000019901,0.0,0,False
71,0.004776634999871021,0.0,0,False
72,0.0031316179999976157,0.0,0,False
73,0.00604909900016537,0.0,0,False
74,0.007073697000123502,0.0,0,False
75,0.003136737999966499,0.0,0,False
76,0.0041920549999758805,0.0,0,False
77,0.02427138999996714,0.0,0,False
78,0.0025976340000397613,0.0,0,False
79,0.004404081999837217,0.0,0,False
80,0.005022694999979649,0.0,0,False
81,0.011996402000022499,0.0,0,False
82,0.0013137250000454515,0.0,0,False
83,0.00557655599982354,0.0,0,False
84,0.013158936999843718,0.0,0,False
85,0.007852234000210956,0.0,0,False
86,0.0027756280001085543,0.0,0,False
87,0.009036754999897312,0.0,0,False
88,0.0029846439999801078,0.0,0,False
89,0.0021293069999046565,0.0,0,False
90,0.013372770999922068,0.0,0,False
