step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0625,0.002403846153846154,0.0,0.01201923076923077,0.0625,0.0
26,0.0,0.0023148148148148147,0.0,0.011803285911094408,0.0625,0.0
27,0.0,0.002232142857142857,0.0,0.01159855451497016,0.0625,0.0
28,0.0,0.0021551724137931034,0.0,0.011404100478726685,0.0625,0.0
29,0.0,0.0020833333333333333,0.0,0.011219093348196882,0.0625,0.0
30,0.0,0.0020161290322580645,0.0,0.011042793498088028,0.0625,0.0
31,0.0,0.001953125,0.0,0.010874539771152386,0.0625,0.0
32,0.0,0.001893939393939394,0.0,0.010713739108887085,0.0625,0.0
33,0.0,0.001838235294117647,0.0,0.010559857806136082,0.0625,0.0
34,0.0,0.0017857142857142857,0.0,0.010412414097938038,0.0625,0.0
35,0.0,0.001736111111111111,0.0,0.010270971845659053,0.0625,0.0
36,0.0,0.0016891891891891893,0.0,0.010135135135135136,0.0625,0.0
37,0.0,0.001644736842105263,0.0,0.010004543635358916,0.0625,0.0
38,0.0,0.0016025641025641025,0.0,0.009878868594501567,0.0625,0.0
39,0.0,0.0015625,0.0,0.009757809372497497,0.0625,0.0
40,0.0,0.001524390243902439,0.0,0.00964109042734262,0.0625,0.0
41,0.0,0.001488095238095238,0.0,0.009528458686656024,0.0625,0.0
42,0.0,0.0014534883720930232,0.0,0.009419681247685843,0.0625,0.0
43,0.0,0.0014204545454545455,0.0,0.009314543358383524,0.0625,0.0
44,0.0,0.001388888888888889,0.0,0.00921284663987611,0.0625,0.0
45,0.0,0.001358695652173913,0.0,0.009114407516982836,0.0625,0.0
46,0.0,0.0013297872340425532,0.0,0.009019055828624027,0.0625,0.0
47,0.0,0.0013020833333333333,0.0,0.008926633594272194,0.0625,0.0
48,0.0,0.0012755102040816326,0.0,0.00883699391616774,0.0625,0.0
49,0.0,0.00125,0.0,0.008749999999999999,0.0625,0.0
50,0.0,0.0012254901960784314,0.0,0.008665524279246906,0.0625,0.0
51,0.0,0.001201923076923077,0.0,0.008583447630460157,0.0625,0.0
52,0.0,0.0011792452830188679,0.0,0.008503658668547144,0.0625,0.0
53,0.0,0.0011574074074074073,0.0,0.008426053112593193,0.0625,0.0
54,0.0,0.0011363636363636363,0.0,0.008350533214033562,0.0625,0.0
55,0.0,0.0011160714285714285,0.0,0.008277007240062124,0.0625,0.0
56,0.0,0.0010964912280701754,0.0,0.008205389006083204,0.0625,0.0
57,0.0,0.0010775862068965517,0.0,0.008135597451800376,0.0625,0.0
58,0.0,0.001059322033898305,0.0,0.008067556256211769,0.0625,0.0
59,0.0,0.0010416666666666667,0.0,0.008001193487363134,0.0625,0.0
60,0.0,0.0010245901639344263,0.0,0.007936441283211922,0.0625,0.0
61,0.0,0.0010080645161290322,0.0,0.007873235560389776,0.0625,0.0
62,0.0,0.000992063492063492,0.0,0.00781151574802759,0.0625,0.0
63,0.0,0.0009765625,0.0,0.007751224544134543,0.0625,0.0
64,0.0,0.0009615384615384616,0.0,0.007692307692307693,0.0625,0.0
65,0.0,0.000946969696969697,0.0,0.007634713776797868,0.0625,0.0
66,0.0,0.0009328358208955224,0.0,0.007578394034175334,0.0625,0.0
67,0.0,0.0009191176470588235,0.0,0.007523302180029828,0.0625,0.0
68,0.0,0.0009057971014492754,0.0,0.007469394249307354,0.0625,0.0
69,0.0,0.0008928571428571428,0.0,0.007416628449033996,0.0625,0.0
70,0.0,0.0008802816901408451,0.0,0.007364965022307002,0.0625,0.0
71,0.0,0.0008680555555555555,0.0,0.007314366122548924,0.0625,0.0
72,0.0,0.0008561643835616438,0.0,0.007264795697122063,0.0625,0.0
73,0.0,0.0008445945945945946,0.0,0.00721621937949116,0.0625,0.0
