steps,time,reward,delta,converged
1,0.004529069000000163,0.0,0,False
2,0.0032156449999831693,0.0,0,False
3,0.001382092000000057,0.0,0,False
4,0.0016188150000004953,0.0,0,False
5,0.0011321170000258007,0.0,0,False
6,0.0018034359999887783,0.0,0,False
7,0.0012766810000073292,0.0,0,False
8,0.0037231250000218097,0.0,0,False
9,0.0007381799999848226,0.0,0,False
10,0.0008475059999852874,0.0,0,False
11,0.001135128000015584,0.0,0,False
12,0.005301583000004939,0.0,0,False
13,0.0005098889999999301,0.0,0,False
14,0.0010381499999994048,0.0,0,False
15,0.001761571999992384,0.0,0,False
16,0.004439920999999458,0.0,0,False
17,0.0030885489999832316,0.0,0,False
18,0.0012664399999948728,0.0,0,False
19,0.00031322200001682177,0.0,0,False
20,0.001037848999999369,0.0,0,False
21,0.002339828000003763,0.0,0,False
22,0.005531680999979471,0.0,0,False
23,0.004191451999986384,0.0,0,False
24,0.0006981230000064897,0.0,0,False
25,0.007421253000018169,0.0,0,False
26,0.002512703000007832,0.0,0,False
27,0.002269353999992063,0.0,0,False
28,0.006308110000020406,0.0,0,False
29,0.0006520439999917471,0.0,0,False
30,0.0012670430000127908,0.0,0,False
31,0.003404783000007683,0.0,0,False
32,0.0017971110000019053,0.0,0,False
33,0.0025729380000143465,0.0,0,False
34,0.007164049000010664,0.0,0,False
35,0.0036622880000152236,0.0,0,False
36,0.0008917789999998149,0.0,0,False
37,0.00045688299999824267,0.0,0,False
38,0.004224582000006194,0.0,0,False
39,0.00702520699999809,0.0,0,False
40,0.006091865999991342,0.0,0,False
41,0.0028912800000000516,0.0,0,False
42,0.0013275789999909193,0.0,0,False
43,0.0017112759999804439,0.0,0,False
44,0.001987453999987565,0.0,0,False
45,0.004659478000007766,0.0,0,False
46,0.002137138000023242,0.0,0,False
47,0.0006484289999946213,0.0,0,False
48,0.0008947909999790227,0.0,0,False
49,0.0025057759999924656,0.0,0,False
50,0.0009896609999771044,0.0,0,False
51,0.001419437999999218,0.0,0,False
52,0.002085937999993348,0.0,0,False
53,0.0034198410000101376,0.0,0,False
54,0.0023271790000194414,0.0,0,False
55,0.006723730999993904,0.0,0,False
56,0.006220468000009305,0.0,0,False
57,0.005366636999980301,0.0,0,False
58,0.004424260999996932,0.0,0,False
59,0.00666349599998739,0.0,0,False
60,0.00504919900001255,0.0,0,False
61,0.004134228999987499,0.0,0,False
62,0.0053061010000021724,0.0,0,False
63,0.0037686029999974835,0.0,0,False
64,0.003373761999995395,0.0,0,False
65,0.0019329410000068492,0.0,0,False
66,0.004727845000019215,0.0,0,False
67,0.003206911000006585,0.0,0,False
68,0.0037291480000192223,0.0,0,False
69,0.004749228000008543,0.0,0,False
70,0.001267947000002323,0.0,0,False
71,0.012255412000001797,0.0,0,False
72,0.006081023000007235,0.0,0,False
73,0.0048103670000045895,0.0,0,False
74,0.0012296980000030544,0.0,0,False
75,0.003708668999991005,0.0,0,False
76,0.0060036220000085905,0.0,0,False
77,0.00358759599998848,0.0,0,False
78,0.004415828000020383,0.0,0,False
79,0.002748523000008163,0.0,0,False
80,0.0015179220000050009,0.0,0,False
81,0.0034839920000138136,0.0,0,False
82,0.01304690000000619,0.0,0,False
83,0.0007469140000182506,0.0,0,False
84,0.0016164059999823621,0.0,0,False
85,0.009352387000006956,0.0,0,False
86,0.003043373999986443,0.0,0,False
87,0.0013046900000119876,0.0,0,False
88,0.00818262300001038,0.0,0,False
89,0.0022786890000077165,0.0,0,False
90,0.0013260730000013154,0.0,0,False
91,0.0037701079999976628,0.0,0,False
92,0.0037475199999903452,0.0,0,False
93,0.0021437639999817293,0.0,0,False
94,0.009112350000009428,0.0,0,False
95,0.0020937679999804004,0.0,0,False
96,0.0029096510000101716,0.0,0,False
97,0.005374767999995811,0.0,0,False
98,0.009626757000006592,0.0,0,False
99,0.0035059769999747914,0.0,0,False
100,0.007098693999978423,0.0,0,False
101,0.0013757680000026085,0.0,0,False
102,0.004754348000005848,0.0,0,False
103,0.0020841310000037083,0.0,0,False
104,0.0008920799999998508,0.0,0,False
105,0.003451765999983536,0.0,0,False
106,0.0032487740000135545,0.0,0,False
107,0.004622734000008677,0.0,0,False
108,0.003668311000012636,0.0,0,False
109,0.0016688099999839778,0.0,0,False
110,0.007175493999994842,0.0,0,False
111,0.000986046999997825,0.0,0,False
112,0.0040270099999872855,0.0,0,False
113,0.010734778999989203,0.0,0,False
114,0.0023172399999964455,0.0,0,False
115,0.005682871000004752,0.0,0,False
116,0.007742304999993621,0.0,0,False
