steps,time,reward,delta,converged
1,0.0014905150000004141,0.0,0,False
2,0.015543941000032646,0.0,0,False
3,0.004609783999967476,0.0,0,False
4,0.0032984679999685795,0.0,0,False
5,0.0021500880000075995,0.0,0,False
6,0.0033433429999831787,0.0,0,False
7,0.01145820200002845,0.0,0,False
8,0.00318853900000704,0.0,0,False
9,0.01742116499997337,0.0,0,False
10,0.0035147119999692222,0.0,0,False
11,0.0022042990000272766,0.0,0,False
12,0.012831258999995043,0.0,0,False
13,0.024415652000016053,0.0,0,False
14,0.0057235300000115785,0.0,0,False
15,0.01005683500000032,0.0,0,False
16,0.0033824959999719795,0.0,0,False
17,0.0008484100000032413,0.0,0,False
18,0.0023325999999883607,0.0,0,False
19,0.007029423999995288,0.0,0,False
20,0.002662688000043545,0.0,0,False
21,0.02478519400000323,0.0,0,False
22,0.0057060610000121414,0.0,0,False
23,0.004879035000044496,0.0,0,False
24,0.002202793999970254,0.0,0,False
25,0.01450127399999701,0.0,0,False
26,0.0026401000000078056,0.0,0,False
27,0.0038926870000182134,0.0,0,False
28,0.003993579999985286,0.0,0,False
29,0.008865386000024955,0.0,0,False
30,0.005390429000044605,0.0,0,False
31,0.004184524999971018,0.0,0,False
32,0.016335129000026427,0.0,0,False
33,0.01428774099997554,0.0,0,False
34,0.0031819129999917095,0.0,0,False
35,0.01932489300003226,0.0,0,False
36,0.01101969100000133,0.0,0,False
37,0.0012860169999839854,0.0,0,False
38,0.024691829999994752,0.0,0,False
39,0.0016326690000028066,0.0,0,False
40,0.01420823000000837,0.0,0,False
41,0.018453292000003785,0.0,0,False
42,0.004217353000001367,0.0,0,False
43,0.007509195000011459,0.0,0,False
44,0.02469785400001001,0.0,0,False
45,0.004470942000011746,0.0,0,False
46,0.008304899999984627,0.0,0,False
47,0.0038300420000041413,0.0,0,False
48,0.015448168000034457,0.0,0,False
49,0.006117766999977903,0.0,0,False
50,0.003611690000013823,0.0,0,False
51,0.02586580999997068,0.0,0,False
52,0.006898714000044492,0.0,0,False
53,0.01700403800003869,0.0,0,False
54,0.004079414999978326,0.0,0,False
55,0.013625456999989183,0.0,0,False
56,0.010355601000014758,0.0,0,False
57,0.0014718420000008337,0.0,0,False
58,0.0020826250000141044,0.0,0,False
59,0.012308418999964488,0.0,0,False
60,0.00790283100002398,0.0,0,False
61,0.0021832169999811413,0.0,0,False
62,0.010557688999995207,0.0,0,False
63,0.02455509699996128,0.0,0,False
64,0.007389327999987927,0.0,0,False
65,0.0047160990000065794,0.0,0,False
66,0.0031475789999717563,0.0,0,False
67,0.005323266999994303,0.0,0,False
68,0.019030041999997138,0.0,0,False
69,0.02449817499996243,0.0,0,False
70,0.024635811999985435,0.0,0,False
71,0.024524678000034328,0.0,0,False
72,0.004834160000029897,0.0,0,False
73,0.01649565499997152,0.0,0,False
74,0.019718528000055358,0.0,0,False
75,0.009217760999945313,0.0,0,False
76,0.02447980300001973,0.0,0,False
77,0.00857836599999473,0.0,0,False
78,0.02454786900000272,0.0,0,False
79,0.01507862699997986,0.0,0,False
80,0.007521242999985134,0.0,0,False
81,0.0094710490000125,0.0,0,False
82,0.024494561000039994,0.0,0,False
83,0.01313725200003546,0.0,0,False
84,0.014814195000042218,0.0,0,False
85,0.013354400000025635,0.0,0,False
86,0.02446203400000968,0.0,0,False
87,0.024450589000025502,0.0,0,False
88,0.024413544999958958,0.0,0,False
