episode,length,time,reward,delta
0,500.0,0.025223704999916663,-3471.0,-0.27245630783466535
1,500.0,0.024901749000036943,-3372.0,-0.08668659397960843
2,500.0,0.0250821529998575,-2679.0,-0.0653825323752093
3,171.0,0.008516323999856468,-1061.0,99.99982900678037
4,433.0,0.021627976999980092,-2511.0,49.99991450339018
5,51.0,0.002564505000009376,-50.0,24.999957251695093
6,38.0,0.001973598999938986,-37.0,12.499978625847547
7,195.0,0.00967795700012175,-1481.0,6.249989312923773
8,41.0,0.002086840999936612,-40.0,3.124994656461894
9,135.0,0.00671499700001732,-1124.0,1.562497328230947
10,37.0,0.0019395670001358667,-135.0,0.7812486641154806
11,14.0,0.0008014269999421231,86.0,0.3906243320577403
12,23.0,0.0011941590000787983,77.0,0.19531216602887014
13,179.0,0.008846412000139026,-970.0,0.09765608301444217
14,41.0,0.0021151519999875745,-337.0,0.04882804150722109
15,162.0,0.008107631000029869,-755.0,0.024414020753610544
16,57.0,0.002893689000075028,-155.0,0.012207010376812377
17,32.0,0.0016251399999873684,-31.0,0.006103505188406189
18,80.0,0.004099293000081161,-277.0,0.0030517525942030943
19,58.0,0.0029427810000015597,-354.0,0.0015258762971086526
20,82.0,0.004091762999905768,-279.0,0.0007629381485543263
21,69.0,0.0034713430000010703,-266.0,0.00038146907428426857
22,31.0,0.001582674000019324,69.0,0.00019073453714213429
23,85.0,0.004574545999957991,-282.0,9.536726857106714e-05
24,21.0,0.00115018700012115,79.0,4.7683634278428144e-05
25,34.0,0.0017859669999324979,-231.0,2.3841817139214072e-05
26,76.0,0.0041438660000494565,-273.0,1.1920908576712463e-05
27,40.0,0.0020091389999379317,-138.0,5.960454288356232e-06
28,14.0,0.000748721000036312,86.0,2.980227151283543e-06
29,20.0,0.0010872420000396232,80.0,1.4901135756417716e-06
30,64.0,0.003527962999896772,-360.0,7.450567807154584e-07
31,34.0,0.0017260340000575525,-33.0,3.725283903577292e-07
32,94.0,0.004719712999985859,-390.0,1.8626420228429197e-07
33,20.0,0.001046885000050679,80.0,9.313210114214598e-08
34,88.0,0.004476062000094316,-384.0,4.6566043465645635e-08
35,41.0,0.002118765999966854,-139.0,2.3283021732822817e-08
36,36.0,0.0018335530000967992,-35.0,1.1641503760984051e-08
37,20.0,0.0010700749999159598,80.0,5.8207518804920255e-09
38,58.0,0.002974705000042377,-255.0,2.9103830456733704e-09
39,21.0,0.0012022900000374648,79.0,1.4551915228366852e-09
40,99.0,0.005290138999953342,-593.0,7.275957614183426e-10
41,26.0,0.0014088959999298822,74.0,3.637978807091713e-10
42,16.0,0.0009860469999694033,-15.0,1.8189894035458565e-10
43,54.0,0.002930131000084657,-53.0,9.094947017729282e-11
44,87.0,0.004760371000202213,-284.0,4.547473508864641e-11
45,56.0,0.00309427100000903,-253.0,2.2737367544323206e-11
46,78.0,0.0042519880000781995,-374.0,1.1368683772161603e-11
47,22.0,0.0012601160001395328,78.0,5.6843418860808015e-12
48,31.0,0.0017166979998819443,-30.0,2.8421709430404007e-12
49,108.0,0.005485600999918461,-503.0,1.4210854715202004e-12
50,19.0,0.0010203809999893565,81.0,7.105427357601002e-13
51,30.0,0.001596227999925759,-29.0,3.552713678800501e-13
52,18.0,0.0009727950000524288,82.0,1.7053025658242404e-13
53,14.0,0.0007704060001287871,86.0,8.526512829121202e-14
54,34.0,0.0017916900001182512,66.0,4.263256414560601e-14
55,49.0,0.00252143700004126,-147.0,2.842170943040401e-14
56,89.0,0.004629360999842902,-286.0,1.4210854715202004e-14
57,41.0,0.002113344999997935,-40.0,0.0
58,50.0,0.0025428209999063256,-148.0,0.0
59,14.0,0.0007508290000259876,86.0,0.0
60,19.0,0.001036343000123452,81.0,0.0
61,16.0,0.0008493139998790866,84.0,0.0
62,62.0,0.0031114389998947445,-358.0,0.0
63,21.0,0.0010884460000397667,79.0,0.0
64,24.0,0.0012324080000780668,76.0,0.0
65,58.0,0.002971693000063169,-156.0,0.0
66,78.0,0.0039149729998371186,-374.0,0.0
67,24.0,0.0012860169999839854,76.0,0.0
68,30.0,0.0015287639998859959,-29.0,0.0
69,80.0,0.003994182000042201,-277.0,0.0
70,40.0,0.0020507010001438175,-39.0,0.0
71,43.0,0.002213334999851213,-42.0,0.0
72,47.0,0.0023952439998993214,-46.0,0.0
73,19.0,0.0009944790001554793,-18.0,0.0
74,76.0,0.003811068000004525,-372.0,0.0
75,19.0,0.0010351379999065102,81.0,0.0
76,51.0,0.0025473380001130863,-248.0,0.0
77,54.0,0.002805143999921711,-152.0,0.0
78,16.0,0.0008520240000962076,84.0,0.0
79,35.0,0.001808857000014541,-133.0,0.0
80,17.0,0.0008929840000746481,83.0,0.0
81,26.0,0.0013721529999202176,74.0,0.0
82,24.0,0.0012351180000678141,76.0,0.0
83,23.0,0.0011836169999241974,77.0,0.0
84,18.0,0.0009884569999485393,82.0,0.0
85,31.0,0.0015721330000815215,-30.0,0.0
86,14.0,0.0007487209998089384,86.0,0.0
87,18.0,0.00098303599997962,82.0,0.0
88,35.0,0.0018374679998487409,-34.0,0.0
89,27.0,0.0013893199998165073,73.0,0.0
90,52.0,0.002591309999843361,-150.0,0.0
91,32.0,0.001679051000110121,-31.0,0.0
92,50.0,0.002519027000062124,-148.0,0.0
93,29.0,0.001535089000071821,71.0,0.0
94,16.0,0.0008481089998895186,84.0,0.0
95,34.0,0.0017657880000570003,-132.0,0.0
96,15.0,0.0007981139999628795,85.0,0.0
97,31.0,0.0015856859999985318,69.0,0.0
98,16.0,0.0008929840000746481,84.0,0.0
99,32.0,0.001623935999987225,-31.0,0.0
100,21.0,0.0010926630000085424,79.0,0.0
101,29.0,0.0015179219999481575,-28.0,0.0
102,19.0,0.0009929739999279263,81.0,0.0
103,29.0,0.0015194269999483367,-28.0,0.0
104,24.0,0.0012351190000572387,76.0,0.0
105,20.0,0.0010387519998857897,80.0,0.0
106,42.0,0.0022220690000267496,-41.0,0.0
107,73.0,0.003659276000007594,-171.0,0.0
108,27.0,0.001384199999847624,73.0,0.0
109,18.0,0.0009833359999902314,82.0,0.0
110,130.0,0.006419846000198959,-624.0,0.0
111,36.0,0.0019097499998679268,-35.0,0.0
112,18.0,0.0009459910002078686,82.0,0.0
113,15.0,0.0007969089999733114,85.0,0.0
114,33.0,0.001715793999892412,-32.0,0.0
115,48.0,0.0023916300001474156,-47.0,0.0
116,15.0,0.0008450969999103108,85.0,0.0
117,16.0,0.0008541320000858832,84.0,0.0
118,15.0,0.0008005229999525909,85.0,0.0
119,21.0,0.0011312130000078469,79.0,0.0
120,34.0,0.0017257330000575166,-33.0,0.0
121,16.0,0.0008502170001065679,84.0,0.0
122,19.0,0.0011128409998946154,-18.0,0.0
123,19.0,0.0009926729999278905,81.0,0.0
124,25.0,0.0012863179999840213,75.0,0.0
125,14.0,0.0007938979999835283,86.0,0.0
126,29.0,0.0014811790001658665,-28.0,0.0
127,78.0,0.0038978069999302534,-275.0,0.0
128,19.0,0.0009923720001552283,81.0,0.0
129,16.0,0.0008872619998783193,84.0,0.0
130,17.0,0.0008923810000851518,83.0,0.0
131,16.0,0.0008426879999205994,84.0,0.0
132,46.0,0.0024081950000436336,-243.0,0.0
133,14.0,0.0007493230000363837,86.0,0.0
134,24.0,0.0012339130000782461,76.0,0.0
135,20.0,0.001040860000102839,80.0,0.0
136,18.0,0.0009396660000220436,82.0,0.0
137,46.0,0.002348561999951926,-45.0,0.0
138,17.0,0.0008972000000539992,83.0,0.0
139,16.0,0.0008496150001064962,84.0,0.0
140,33.0,0.0017194079998716916,-32.0,0.0
141,17.0,0.0009020190000228467,83.0,0.0
142,50.0,0.002655158000152369,-148.0,0.0
143,26.0,0.0013317959999312734,74.0,0.0
144,34.0,0.0017691020000256685,-33.0,0.0
145,42.0,0.0021067190000394476,-41.0,0.0
146,15.0,0.0007981129999734549,85.0,0.0
147,44.0,0.0022018899999238783,-241.0,0.0
148,38.0,0.0019558300000426243,-37.0,0.0
149,37.0,0.0018736100000751321,-36.0,0.0
150,16.0,0.0009065360000022338,84.0,0.0
151,54.0,0.002699431000110053,-152.0,0.0
152,16.0,0.0008441939999102033,84.0,0.0
153,49.0,0.002450962000011714,-147.0,0.0
154,31.0,0.0016194170000289887,-30.0,0.0
155,17.0,0.0008896710000954045,83.0,0.0
156,26.0,0.001331493999941813,-25.0,0.0
157,31.0,0.001608275000080539,-30.0,0.0
158,35.0,0.0017925940001077834,-34.0,0.0
159,42.0,0.002161532999934934,-239.0,0.0
160,18.0,0.0009499059999598103,82.0,0.0
161,19.0,0.0010011060001033911,81.0,0.0
162,16.0,0.0008463010001378279,84.0,0.0
163,31.0,0.0015712299998540402,-30.0,0.0
164,17.0,0.0008965980000539275,83.0,0.0
165,18.0,0.0009423760000117909,82.0,0.0
166,14.0,0.0007529369997882895,86.0,0.0
167,73.0,0.003641506999883859,-270.0,0.0
168,43.0,0.002244958000119368,-42.0,0.0
169,16.0,0.0008396759999413916,84.0,0.0
170,14.0,0.0007445050000569609,86.0,0.0
171,57.0,0.002871702999982517,-155.0,0.0
172,16.0,0.0008447960001376487,84.0,0.0
173,24.0,0.001279692000025534,76.0,0.0
174,20.0,0.0010426679998545296,80.0,0.0
175,31.0,0.0015691210001023137,-30.0,0.0
176,15.0,0.0008345559999725083,85.0,0.0
177,17.0,0.0008908760000849725,83.0,0.0
178,15.0,0.0008300380000036967,85.0,0.0
179,35.0,0.0018103630000041449,-133.0,0.0
180,14.0,0.000747516000046744,86.0,0.0
181,14.0,0.0007466130000466364,86.0,0.0
182,18.0,0.0009438829999908194,82.0,0.0
183,52.0,0.002625343000090652,-150.0,0.0
184,32.0,0.0016636909999760974,-31.0,0.0
185,22.0,0.001137838999966334,78.0,0.0
186,72.0,0.003653855000038675,-368.0,0.0
187,15.0,0.0008005240001693892,85.0,0.0
188,91.0,0.004516419999845311,-486.0,0.0
189,21.0,0.0011282020000180637,79.0,0.0
190,30.0,0.0015269570001237298,-29.0,0.0
191,32.0,0.0016670029999659164,-31.0,0.0
192,14.0,0.0007508290000259876,86.0,0.0
193,14.0,0.0007457090000571043,86.0,0.0
194,17.0,0.0008914780000850442,-16.0,0.0
195,20.0,0.001076700999874447,80.0,0.0
196,36.0,0.0018736090000857075,-134.0,0.0
197,20.0,0.0010757970001122885,80.0,0.0
198,20.0,0.0010372469998856104,80.0,0.0
199,16.0,0.0008478070001274318,84.0,0.0
200,16.0,0.0008441929999207787,84.0,0.0
201,44.0,0.002239236000150413,-241.0,0.0
202,14.0,0.0007514320000154839,86.0,0.0
203,29.0,0.0015188259999376896,-28.0,0.0
204,14.0,0.0007475170000361686,86.0,0.0
205,34.0,0.0017215160000887408,-132.0,0.0
206,34.0,0.0017790399999739748,-33.0,0.0
207,27.0,0.0013829950000854296,-26.0,0.0
208,17.0,0.0009372560000429075,83.0,0.0
209,14.0,0.0007484200000362762,86.0,0.0
210,29.0,0.0014775649999592133,-28.0,0.0
211,16.0,0.000888467000095261,84.0,0.0
212,16.0,0.0008502169998791942,84.0,0.0
213,16.0,0.000844194000137577,84.0,0.0
214,16.0,0.0008472049998999864,84.0,0.0
215,20.0,0.0010836269998435455,80.0,0.0
216,20.0,0.0010495950000404264,80.0,0.0
217,18.0,0.0009493040001871123,82.0,0.0
218,16.0,0.0009854449999693315,84.0,0.0
219,28.0,0.0014582889998564497,-27.0,0.0
220,35.0,0.0018160849999731,-34.0,0.0
221,14.0,0.0007484200000362762,86.0,0.0
222,33.0,0.0016676059999554127,-32.0,0.0
223,15.0,0.0008417839999310672,-14.0,0.0
224,21.0,0.0010842300000604155,79.0,0.0
225,16.0,0.000840278000168837,84.0,0.0
226,20.0,0.0010776039998745546,80.0,0.0
227,56.0,0.0027801470000667905,-253.0,0.0
228,19.0,0.0012043980000271404,81.0,0.0
229,15.0,0.0008050399999319779,85.0,0.0
230,16.0,0.0008496149998791225,84.0,0.0
231,15.0,0.000795704999973168,85.0,0.0
232,44.0,0.0022512830000778195,-142.0,0.0
233,17.0,0.0008959960000538558,-16.0,0.0
234,31.0,0.0016191160000289528,-30.0,0.0
235,46.0,0.002300074000004315,-144.0,0.0
236,34.0,0.0017660900000464608,-132.0,0.0
237,14.0,0.0007538410000051954,86.0,0.0
238,43.0,0.002318746000128158,-141.0,0.0
239,27.0,0.00138269399985802,-26.0,0.0
240,35.0,0.0018118689999937487,-133.0,0.0
241,32.0,0.0016411019998940901,-31.0,0.0
242,16.0,0.0008538310000858473,84.0,0.0
243,15.0,0.000800221999952555,85.0,0.0
244,19.0,0.0009902629999487544,81.0,0.0
245,32.0,0.0016519440000593022,-31.0,0.0
246,19.0,0.0009893599999486469,81.0,0.0
247,17.0,0.000890574000095512,83.0,0.0
248,17.0,0.0009483999999702064,83.0,0.0
249,18.0,0.000986648999969475,82.0,0.0
250,14.0,0.0007472150000467082,86.0,0.0
251,18.0,0.0009369560000322963,82.0,0.0
252,16.0,0.0008812380001472775,84.0,0.0
253,41.0,0.002059736000092016,-40.0,0.0
254,55.0,0.002769002999912118,-153.0,0.0
255,15.0,0.0007981139999628795,-14.0,0.0
256,14.0,0.0007481190000362403,86.0,0.0
257,22.0,0.0011772929999551707,78.0,0.0
258,34.0,0.0017197089998717274,-33.0,0.0
259,28.0,0.001540811000040776,-27.0,0.0
260,42.0,0.002108827000029123,-140.0,0.0
261,23.0,0.0012275889998818457,-22.0,0.0
262,16.0,0.0008432899999206711,84.0,0.0
263,20.0,0.0010330299999168346,80.0,0.0
264,28.0,0.0014703360000112298,-126.0,0.0
265,21.0,0.0010872419998122496,79.0,0.0
266,38.0,0.0019224000000122032,-37.0,0.0
267,46.0,0.002309408999963125,-144.0,0.0
268,18.0,0.000950507999959882,82.0,0.0
269,15.0,0.0008414829999310314,-14.0,0.0
270,18.0,0.0009426770000118267,82.0,0.0
271,14.0,0.0007490220000363479,86.0,0.0
272,23.0,0.0012287939998714137,77.0,0.0
273,15.0,0.0007987159999629512,85.0,0.0
274,14.0,0.0007454079998296947,86.0,0.0
275,20.0,0.0010387520001131634,80.0,0.0
276,14.0,0.0007920900000044639,86.0,0.0
277,17.0,0.00089177900008508,83.0,0.0
278,42.0,0.0021515939999972034,-140.0,0.0
279,16.0,0.0008441929999207787,84.0,0.0
280,16.0,0.0008999100000437465,84.0,0.0
281,15.0,0.0007966080002006493,85.0,0.0
282,16.0,0.0008914769998682459,84.0,0.0
283,24.0,0.0012336130000676349,76.0,0.0
284,33.0,0.001674231000151849,-32.0,0.0
285,17.0,0.00089569500005382,-16.0,0.0
286,50.0,0.002497040999969613,-148.0,0.0
287,49.0,0.0024901150000005146,-48.0,0.0
288,16.0,0.0008490119998896262,84.0,0.0
289,33.0,0.0017188059998716199,-131.0,0.0
290,21.0,0.0011315140000078827,79.0,0.0
291,18.0,0.0009941780001554434,82.0,0.0
292,31.0,0.0015926139999464795,-30.0,0.0
293,16.0,0.0008490130001064244,-15.0,0.0
294,16.0,0.0008875619998889306,84.0,0.0
295,16.0,0.0008423859999311389,84.0,0.0
296,14.0,0.0007499260000258801,86.0,0.0
297,41.0,0.002096478999874307,-238.0,0.0
298,15.0,0.0007941989999835641,85.0,0.0
299,17.0,0.0008887679998679232,83.0,0.0
300,14.0,0.0007499260000258801,86.0,0.0
301,14.0,0.0007881750000251486,86.0,0.0
302,50.0,0.0025205340000411525,-148.0,0.0
303,15.0,0.0008405789999414992,85.0,0.0
304,14.0,0.0007457099998191552,86.0,0.0
305,21.0,0.0010815200000706682,79.0,0.0
306,18.0,0.0009393650000220077,82.0,0.0
307,16.0,0.0008457000001271808,84.0,0.0
308,18.0,0.0009402680000221153,82.0,0.0
309,18.0,0.0009399670000220794,82.0,0.0
310,16.0,0.0008887669998784986,84.0,0.0
311,14.0,0.0007481190000362403,86.0,0.0
312,38.0,0.0019139670000640763,-37.0,0.0
313,36.0,0.0018943909999507014,-35.0,0.0
314,14.0,0.0007508300000154122,86.0,0.0
315,25.0,0.0013272780001898354,-24.0,0.0
316,14.0,0.0007556479999948351,86.0,0.0
317,17.0,0.000904729000012594,83.0,0.0
318,32.0,0.0016751350001413812,-130.0,0.0
319,14.0,0.0007493240000258083,86.0,0.0
320,14.0,0.0007526360000156274,86.0,0.0
321,18.0,0.0009405700000115758,82.0,0.0
322,14.0,0.0007908860000043205,86.0,0.0
323,18.0,0.0009402680000221153,82.0,0.0
324,24.0,0.0012296969998715213,76.0,0.0
325,60.0,0.0030710810001437494,-59.0,0.0
326,20.0,0.0010381510001025163,80.0,0.0
327,20.0,0.0010800139998536906,80.0,0.0
328,19.0,0.0009920710001551925,81.0,0.0
329,15.0,0.0007917890000044281,85.0,0.0
330,35.0,0.0018070500000249012,-34.0,0.0
331,35.0,0.001760668999850168,-34.0,0.0
332,15.0,0.0008387720001792331,85.0,0.0
333,14.0,0.0007432999998400192,86.0,0.0
334,21.0,0.0010920599997916725,79.0,0.0
335,16.0,0.0008562409998376097,84.0,0.0
336,21.0,0.00119867700004761,79.0,0.0
337,20.0,0.0010441730000820826,80.0,0.0
338,14.0,0.0007499260000258801,86.0,0.0
339,14.0,0.0007878730000356882,86.0,0.0
340,14.0,0.0007466130000466364,86.0,0.0
341,16.0,0.0008475069998894469,84.0,0.0
342,14.0,0.0007532390000051237,86.0,0.0
343,15.0,0.000843590999920707,85.0,0.0
344,19.0,0.0009923719999278546,-18.0,0.0
