episode,length,time,reward,delta
0,302.0,0.015358116000015798,-1093.0,100.0
1,500.0,0.02496650199987016,-1689.0,0.0
2,500.0,0.02474031999986437,-2382.0,-0.036752298849999976
3,65.0,0.0032987699999011966,35.0,50.0
4,200.0,0.009923113000013473,-496.0,25.0
5,44.0,0.002265739999984362,56.0,12.5
6,343.0,0.017001627999889024,-1332.0,6.25
7,45.0,0.0022542949998296535,55.0,3.125
8,112.0,0.005613599999833241,-507.0,1.5625
9,80.0,0.003997495000021445,-178.0,0.78125
10,41.0,0.0021552089999659074,59.0,0.390625
11,67.0,0.003384604000075342,-66.0,0.1953125
12,21.0,0.0010998909999671014,79.0,0.09765625
13,25.0,0.0012929439999425085,75.0,0.048828125
14,38.0,0.0019251100000019505,62.0,0.0244140625
15,18.0,0.0009914679999383225,82.0,0.01220703125
16,22.0,0.0011414529999456136,78.0,0.006103515625
17,17.0,0.0009074399999917659,83.0,0.0030517578125
18,22.0,0.0011797019999448821,78.0,0.00152587890625
19,14.0,0.0007586599999740429,86.0,0.000762939453125
20,25.0,0.0012989670001388731,75.0,0.0003814697265625
21,16.0,0.0008944890000748273,84.0,0.00019073486328125
22,16.0,0.0008517219998793735,84.0,9.5367431640625e-05
23,14.0,0.0007496249997984705,86.0,4.76837158203125e-05
24,40.0,0.0020519049999165873,-39.0,2.384185791015625e-05
25,17.0,0.0008890680001059081,83.0,1.1920928955078125e-05
26,15.0,0.0007905840000148601,85.0,5.9604644775390625e-06
27,18.0,0.0009776140000212763,82.0,2.9802322387695312e-06
28,14.0,0.0007432999998400192,86.0,1.4901161193847656e-06
29,14.0,0.0007469130000572477,86.0,7.450580596923828e-07
30,15.0,0.0008005230001799646,85.0,3.725290298461914e-07
31,29.0,0.001564603999895553,-28.0,1.862645149230957e-07
32,16.0,0.000847506000127396,84.0,9.313225746154785e-08
33,16.0,0.0008438919999207428,84.0,4.6566128730773926e-08
34,15.0,0.000836362999962148,85.0,2.3283064365386963e-08
35,14.0,0.0007442029998401267,86.0,1.1641532182693481e-08
36,14.0,0.0007405900000776455,86.0,5.820766091346741e-09
37,18.0,0.0009390640000219719,82.0,2.9103830456733704e-09
38,18.0,0.0009884559999591147,82.0,1.4551915228366852e-09
39,16.0,0.0008460000001377921,84.0,7.275957614183426e-10
40,32.0,0.00162574199998744,-31.0,3.637978807091713e-10
41,14.0,0.0007905840000148601,86.0,1.8189894035458565e-10
42,33.0,0.0016636909999760974,-32.0,9.094947017729282e-11
43,14.0,0.0007448060000569967,86.0,4.547473508864641e-11
44,14.0,0.0008384709999518236,86.0,2.2737367544323206e-11
45,14.0,0.0007469140000466723,86.0,1.1368683772161603e-11
46,14.0,0.0007469140000466723,86.0,5.6843418860808015e-12
47,42.0,0.0021386440000696894,-41.0,2.8421709430404007e-12
48,34.0,0.001710071999923457,-132.0,1.4210854715202004e-12
49,18.0,0.0009381600000324397,82.0,7.105427357601002e-13
50,14.0,0.0007523350000155915,86.0,3.552713678800501e-13
51,14.0,0.000742999000067357,86.0,1.7053025658242404e-13
52,74.0,0.003673430999924676,-73.0,8.526512829121202e-14
53,15.0,0.0007899820000147884,85.0,4.263256414560601e-14
54,15.0,0.0007899810000253638,85.0,2.842170943040401e-14
55,27.0,0.0014275700000325742,-26.0,1.4210854715202004e-14
56,16.0,0.0008502170001065679,84.0,0.0
57,16.0,0.0008429889999206353,84.0,0.0
58,19.0,0.0010306210001544969,81.0,0.0
59,14.0,0.0007487209998089384,86.0,0.0
60,14.0,0.0007445049998295872,86.0,0.0
61,14.0,0.000741794000077789,86.0,0.0
62,14.0,0.0007887770000252203,86.0,0.0
63,14.0,0.0007484200000362762,86.0,0.0
64,14.0,0.0007439030000568891,86.0,0.0
65,18.0,0.000938159999805066,82.0,0.0
66,14.0,0.0007432989998505946,86.0,0.0
67,29.0,0.0014658190000318427,-28.0,0.0
68,33.0,0.001741091999974742,-32.0,0.0
69,14.0,0.0007399869998607755,86.0,0.0
70,14.0,0.0007429980000779324,86.0,0.0
71,14.0,0.0007426970000778965,86.0,0.0
72,14.0,0.0007878740000251128,86.0,0.0
73,16.0,0.0008417839999310672,84.0,0.0
74,14.0,0.000741794000077789,86.0,0.0
75,14.0,0.000741190999860919,86.0,0.0
76,16.0,0.0008830449999095435,84.0,0.0
77,14.0,0.0007432990000779682,86.0,0.0
78,14.0,0.0007387829998606321,86.0,0.0
79,16.0,0.0008405800001582975,84.0,0.0
80,14.0,0.0007941989999835641,86.0,0.0
81,16.0,0.0008450969999103108,84.0,0.0
82,17.0,0.0008944900000642519,-16.0,0.0
83,14.0,0.0008167870000761468,86.0,0.0
84,15.0,0.0007914880000043922,85.0,0.0
85,25.0,0.0012815000000045984,-24.0,0.0
86,18.0,0.0009411710000222229,82.0,0.0
87,14.0,0.0007869700000355806,86.0,0.0
88,14.0,0.0007439020000674645,86.0,0.0
89,16.0,0.0008381699999517878,84.0,0.0
90,14.0,0.0007445050000569609,86.0,0.0
91,14.0,0.0007884760000251845,86.0,0.0
92,14.0,0.0007420950000778248,86.0,0.0
93,14.0,0.0007432999998400192,86.0,0.0
94,58.0,0.00290965099998175,-57.0,0.0
95,14.0,0.0007984139999734907,86.0,0.0
96,14.0,0.0007439019998400909,86.0,0.0
97,18.0,0.0009520139999494859,82.0,0.0
98,14.0,0.0007387820000985812,86.0,0.0
99,16.0,0.0008360609999726876,84.0,0.0
100,16.0,0.0008806360001472058,84.0,0.0
101,31.0,0.0015567739999369223,-30.0,0.0
102,15.0,0.0007890780000252562,85.0,0.0
103,16.0,0.0008517230000961717,84.0,0.0
104,17.0,0.0008827439999095077,-16.0,0.0
105,26.0,0.001330288999952245,-124.0,0.0
106,14.0,0.0007496240000364196,86.0,0.0
107,14.0,0.0007896810000147525,86.0,0.0
108,34.0,0.001810062000004109,-33.0,0.0
109,16.0,0.0008426879999205994,84.0,0.0
110,14.0,0.0007517329997881461,86.0,0.0
111,16.0,0.0008387729999412841,84.0,0.0
112,14.0,0.000746311000057176,86.0,0.0
113,14.0,0.0007457089998297306,86.0,0.0
114,14.0,0.0007466129998192628,86.0,0.0
115,14.0,0.0007505280000259518,86.0,0.0
116,16.0,0.0008450970001376845,84.0,0.0
117,18.0,0.000984238999990339,82.0,0.0
118,27.0,0.0013763699998889933,-26.0,0.0
119,14.0,0.0007520340000155556,86.0,0.0
120,28.0,0.001475756999980149,-27.0,0.0
121,14.0,0.000752033000026131,86.0,0.0
122,14.0,0.0007896800000253279,86.0,0.0
123,15.0,0.0007960059999732039,85.0,0.0
124,14.0,0.0007857650000460126,86.0,0.0
125,16.0,0.0008420859999205277,84.0,0.0
126,14.0,0.0007472150000467082,86.0,0.0
127,15.0,0.0008023310001590289,-14.0,0.0
128,16.0,0.0008875629998783552,84.0,0.0
129,17.0,0.0008929840000746481,83.0,0.0
130,14.0,0.0007508290000259876,86.0,0.0
131,14.0,0.0007511300000260235,86.0,0.0
132,15.0,0.0008029319999423024,85.0,0.0
133,14.0,0.0007436010000674287,86.0,0.0
134,14.0,0.0007439020000674645,86.0,0.0
135,14.0,0.0007414929998503794,86.0,0.0
136,14.0,0.0007610689999637543,86.0,0.0
137,16.0,0.0009541230001559597,84.0,0.0
138,14.0,0.0007472150000467082,86.0,0.0
139,14.0,0.0007460109998191911,86.0,0.0
140,31.0,0.0015621949999058415,-30.0,0.0
141,14.0,0.0007493230000363837,86.0,0.0
142,15.0,0.0007960049999837793,85.0,0.0
143,14.0,0.0007752249998702609,86.0,0.0
144,14.0,0.0007420950000778248,86.0,0.0
145,14.0,0.000747516000046744,86.0,0.0
146,18.0,0.0009342450000531244,82.0,0.0
147,14.0,0.0007429989998399833,86.0,0.0
148,14.0,0.0007445040000675363,86.0,0.0
149,18.0,0.0009414730000116833,82.0,0.0
150,14.0,0.0007881750000251486,86.0,0.0
151,15.0,0.0007981139999628795,85.0,0.0
152,14.0,0.0007538410000051954,86.0,0.0
153,14.0,0.0007439020000674645,86.0,0.0
154,15.0,0.0008342549999724724,85.0,0.0
155,16.0,0.0008496150001064962,84.0,0.0
156,14.0,0.0007466129998192628,86.0,0.0
157,14.0,0.0007429989998399833,86.0,0.0
158,14.0,0.0007902830000148242,86.0,0.0
159,15.0,0.0007929939999939961,85.0,0.0
160,15.0,0.0007941989999835641,85.0,0.0
161,14.0,0.0007408899998608831,86.0,0.0
162,17.0,0.0009342450000531244,83.0,0.0
163,14.0,0.000744204000056925,86.0,0.0
164,33.0,0.0016600760000073933,-32.0,0.0
165,14.0,0.0007869700000355806,86.0,0.0
166,14.0,0.0007800439998391084,86.0,0.0
167,14.0,0.0007469140000466723,86.0,0.0
168,16.0,0.0008472050001273601,84.0,0.0
169,14.0,0.0007878730000356882,86.0,0.0
170,14.0,0.0007454079998296947,86.0,0.0
171,16.0,0.0008438919999207428,84.0,0.0
172,15.0,0.0007896800000253279,85.0,0.0
173,14.0,0.0007872710000356165,86.0,0.0
174,25.0,0.00127999300002557,-24.0,0.0
175,14.0,0.0007448060000569967,86.0,0.0
176,15.0,0.0007896810000147525,85.0,0.0
177,15.0,0.0007926920000045357,85.0,0.0
178,14.0,0.0007411919998503436,86.0,0.0
179,14.0,0.0007439019998400909,86.0,0.0
180,14.0,0.0007484200000362762,86.0,0.0
181,15.0,0.0008562410000649834,85.0,0.0
182,14.0,0.0007454080000570684,86.0,0.0
183,29.0,0.001468830000021626,-28.0,0.0
184,15.0,0.0008366639999621839,85.0,0.0
185,14.0,0.0007454080000570684,86.0,0.0
186,14.0,0.0007484200000362762,86.0,0.0
187,14.0,0.0007457090000571043,86.0,0.0
188,14.0,0.0007890790000146808,86.0,0.0
189,14.0,0.000744204000056925,86.0,0.0
190,14.0,0.0007432999998400192,86.0,0.0
191,30.0,0.0015606880001541867,-29.0,0.0
192,14.0,0.000743600999840055,86.0,0.0
193,16.0,0.0008438919999207428,84.0,0.0
194,52.0,0.002688588999944841,-51.0,0.0
195,16.0,0.0008405790001688729,84.0,0.0
196,16.0,0.0008393749999413558,84.0,0.0
197,16.0,0.0008821409999200114,84.0,0.0
198,14.0,0.0007420950000778248,86.0,0.0
199,18.0,0.0009357500000533037,82.0,0.0
200,18.0,0.0009357510000427283,82.0,0.0
201,14.0,0.0007429980000779324,86.0,0.0
202,14.0,0.0007423960000778607,86.0,0.0
203,51.0,0.002568420999978116,-50.0,0.0
204,16.0,0.0008402779999414633,-15.0,0.0
205,17.0,0.0008999100000437465,-16.0,0.0
206,14.0,0.0008466030001272884,86.0,0.0
207,32.0,0.0016317659999458556,-130.0,0.0
208,14.0,0.0007460110000465647,86.0,0.0
209,14.0,0.0007420950000778248,86.0,0.0
210,17.0,0.0008887670001058723,83.0,0.0
211,14.0,0.0007423969998399116,86.0,0.0
212,16.0,0.00083515799997258,84.0,0.0
213,14.0,0.0007854649998080276,86.0,0.0
214,17.0,0.0008929840000746481,83.0,0.0
215,16.0,0.0008463020001272525,84.0,0.0
216,14.0,0.000748721000036312,86.0,0.0
217,14.0,0.0007863679998081352,86.0,0.0
218,16.0,0.0008411819999309955,84.0,0.0
219,14.0,0.0007442030000675004,86.0,0.0
220,14.0,0.000743600999840055,86.0,0.0
221,14.0,0.0007905840000148601,86.0,0.0
222,14.0,0.000745106000067608,86.0,0.0
223,14.0,0.0007454080000570684,86.0,0.0
224,16.0,0.0008378689999517519,84.0,0.0
225,16.0,0.0008818400001473492,84.0,0.0
226,14.0,0.000742395999850487,86.0,0.0
227,14.0,0.000741794000077789,86.0,0.0
228,14.0,0.0007426980000673211,86.0,0.0
229,14.0,0.0007851630000459409,86.0,0.0
230,14.0,0.0007469140000466723,86.0,0.0
231,15.0,0.0008020289999421948,85.0,0.0
232,14.0,0.0007442030000675004,86.0,0.0
233,15.0,0.0008354589999726159,-14.0,0.0
234,16.0,0.0008396759999413916,84.0,0.0
235,14.0,0.0007463120000466006,86.0,0.0
236,14.0,0.0008276290000139852,86.0,0.0
237,14.0,0.0007875720000356523,86.0,0.0
238,16.0,0.0008432900001480448,84.0,0.0
239,19.0,0.0009893599999486469,81.0,0.0
240,14.0,0.0007466130000466364,86.0,0.0
241,17.0,0.0008932850000746839,83.0,0.0
242,14.0,0.0007442029998401267,86.0,0.0
243,16.0,0.0008463019998998789,84.0,0.0
244,14.0,0.0007761280000977422,86.0,0.0
245,14.0,0.000746311000057176,86.0,0.0
246,17.0,0.0008896709998680308,-16.0,0.0
247,14.0,0.0007502270000259159,86.0,0.0
248,14.0,0.0007881750000251486,86.0,0.0
249,14.0,0.0007478180000362045,86.0,0.0
250,17.0,0.0008938870000747556,83.0,0.0
251,14.0,0.0007833560000563011,86.0,0.0
252,14.0,0.0007929939999939961,86.0,0.0
253,14.0,0.000744204000056925,86.0,0.0
254,16.0,0.0008423859999311389,84.0,0.0
255,14.0,0.0007514320000154839,86.0,0.0
256,14.0,0.0007938969999941037,86.0,0.0
257,15.0,0.0007981139999628795,85.0,0.0
258,14.0,0.0007490230000257725,86.0,0.0
259,14.0,0.0007478170000467799,86.0,0.0
260,14.0,0.0007863680000355089,86.0,0.0
261,41.0,0.0020470859999477398,-139.0,0.0
262,14.0,0.0007463120000466006,86.0,0.0
263,14.0,0.0007872710000356165,86.0,0.0
264,14.0,0.0007478180000362045,86.0,0.0
265,15.0,0.0008577460000651627,-14.0,0.0
266,15.0,0.0007944999999836,85.0,0.0
267,17.0,0.000935148000053232,83.0,0.0
268,16.0,0.0008432899999206711,84.0,0.0
269,14.0,0.000744805999829623,86.0,0.0
270,14.0,0.0007481190000362403,86.0,0.0
271,14.0,0.000748721000036312,86.0,0.0
272,14.0,0.0007423970000672853,86.0,0.0
273,27.0,0.0013706470001579873,-26.0,0.0
274,15.0,0.0008396759999413916,85.0,0.0
275,16.0,0.0008420849999311031,84.0,0.0
276,14.0,0.0007451070000570326,86.0,0.0
277,14.0,0.0007405890000882209,86.0,0.0
278,14.0,0.000786067000035473,86.0,0.0
279,15.0,0.0007878740000251128,85.0,0.0
280,14.0,0.0007670929999221698,86.0,0.0
281,14.0,0.0007496249997984705,86.0,0.0
282,16.0,0.000885453999899255,84.0,0.0
283,17.0,0.0008923820000745764,83.0,0.0
284,16.0,0.0008414829999310314,84.0,0.0
285,14.0,0.0007408910000776814,86.0,0.0
286,14.0,0.0007426970000778965,86.0,0.0
287,19.0,0.0009908659999382508,81.0,0.0
288,14.0,0.0007478170000467799,86.0,0.0
289,14.0,0.0007878740000251128,86.0,0.0
290,37.0,0.001851924999982657,-135.0,0.0
291,16.0,0.0008384709999518236,84.0,0.0
292,30.0,0.0015546660001746204,-29.0,0.0
293,14.0,0.0008044389999213308,86.0,0.0
294,14.0,0.0007414930000777531,86.0,0.0
295,15.0,0.0008393749999413558,85.0,0.0
296,14.0,0.0007514320000154839,86.0,0.0
297,14.0,0.000742999000067357,86.0,0.0
298,14.0,0.0007442030000675004,86.0,0.0
299,16.0,0.0008845509998991474,84.0,0.0
300,16.0,0.0008420849999311031,84.0,0.0
301,14.0,0.0007442029998401267,86.0,0.0
302,16.0,0.0008408810001583333,84.0,0.0
303,14.0,0.000784258999829035,86.0,0.0
304,14.0,0.0007432999998400192,86.0,0.0
305,16.0,0.000849916000106532,84.0,0.0
306,15.0,0.0007941989999835641,85.0,0.0
307,56.0,0.002874714999961725,-55.0,0.0
308,17.0,0.0008881650001058006,83.0,0.0
309,14.0,0.0007854650000354013,86.0,0.0
310,14.0,0.0007454080000570684,86.0,0.0
311,36.0,0.0017968100000871345,-134.0,0.0
312,14.0,0.0007833559998289275,86.0,0.0
313,16.0,0.0008366640001895576,84.0,0.0
