episode,length,time,reward,delta
0,500.0,0.02604109399999288,-2481.0,-0.44101764853726966
1,464.0,0.02319529200008219,-1453.0,100.00043752330659
2,150.0,0.007545939000010549,-347.0,50.000218761653294
3,87.0,0.004370351000034134,-185.0,25.000109380826643
4,68.0,0.003422854000064035,32.0,12.500054690413322
5,20.0,0.0012703560000772995,80.0,6.250027345206661
6,74.0,0.003870700999868859,-73.0,3.1250136726033304
7,40.0,0.0021278010001424263,60.0,1.5625068363016652
8,25.0,0.0014977440000620845,75.0,0.7812534181508255
9,40.0,0.0020284140000512707,60.0,0.39062670907541985
10,56.0,0.0028418869999313756,-55.0,0.19531335453770282
11,41.0,0.002157617000193568,-40.0,0.09765667726885852
12,18.0,0.0009547239999392332,82.0,0.04882833863443636
13,23.0,0.0011956650000684022,77.0,0.024414169317211076
14,28.0,0.0014766609999696811,72.0,0.012207084658612644
15,15.0,0.0008002220001799287,85.0,0.006103542329313427
16,16.0,0.0008520239998688339,84.0,0.003051771164663819
17,25.0,0.0013333009999314527,75.0,0.001525885582324804
18,19.0,0.000991769999927783,81.0,0.0007629427911552966
19,18.0,0.000948097999980746,82.0,0.00038147139558475374
20,19.0,0.0010387519998857897,81.0,0.00019073569778527144
21,19.0,0.0009899629999381432,81.0,9.536784888553029e-05
22,14.0,0.0007414919998609548,86.0,4.7683924449870574e-05
23,14.0,0.0007929939999939961,86.0,2.3841962232040714e-05
24,16.0,0.0009387620000325114,84.0,1.1920981123125785e-05
25,14.0,0.0007475159998193703,86.0,5.960490554457465e-06
26,42.0,0.0020934669998950994,-140.0,2.980245270123305e-06
27,18.0,0.0013034850001076848,82.0,1.49012264216708e-06
28,14.0,0.0010508000000299944,86.0,7.450613139781126e-07
29,14.0,0.0008975010000540351,86.0,3.7253066409448365e-07
30,14.0,0.0007830549998288916,86.0,1.8626532494181447e-07
31,14.0,0.0007749229998808005,86.0,9.313266957633459e-08
32,16.0,0.0008803349999197962,84.0,4.6566341893594654e-08
33,15.0,0.0008411809999415709,85.0,2.328316384136997e-08
34,16.0,0.0008453980001377204,84.0,1.1641574815257627e-08
35,15.0,0.0009387620000325114,85.0,5.820780302201456e-09
36,18.0,0.000980626000000484,82.0,2.9103972565280856e-09
37,14.0,0.0007812480000666255,86.0,1.4552057336914004e-09
38,16.0,0.0008469039998999506,84.0,7.276099722730578e-10
39,16.0,0.000849916000106532,84.0,3.638120915638865e-10
40,14.0,0.0007511300000260235,86.0,1.8191315120930085e-10
41,14.0,0.0007511300000260235,86.0,9.096368103200803e-11
42,15.0,0.0008017269999527343,85.0,4.5488945943361614e-11
43,14.0,0.0007496240000364196,86.0,2.2751578399038408e-11
44,27.0,0.0014245580000533664,-125.0,1.1382894626876805e-11
45,16.0,0.0008456989999103826,84.0,5.6985527407960035e-12
46,14.0,0.0007490219998089742,86.0,2.8563817977556027e-12
47,19.0,0.0010489919998235564,81.0,1.4352963262354024e-12
48,17.0,0.0008993089998057258,83.0,7.247535904753022e-13
49,14.0,0.000909248000198204,86.0,3.552713678800501e-13
50,14.0,0.0008935860000747198,86.0,1.8474111129762605e-13
51,17.0,0.0010553170000093814,83.0,9.947598300641403e-14
52,16.0,0.001047186000050715,84.0,4.263256414560601e-14
53,20.0,0.0012586099999225553,-19.0,1.4210854715202004e-14
54,93.0,0.004667309000069508,-191.0,1.4210854715202004e-14
55,16.0,0.0008417839999310672,84.0,1.4210854715202004e-14
56,15.0,0.0007960060002005775,85.0,1.4210854715202004e-14
57,14.0,0.0007469139998192986,86.0,1.4210854715202004e-14
58,15.0,0.0008420849999311031,85.0,1.4210854715202004e-14
59,14.0,0.0007481190000362403,86.0,1.4210854715202004e-14
60,17.0,0.0013423370000964496,83.0,1.4210854715202004e-14
61,129.0,0.0072266930001205765,-227.0,1.4210854715202004e-14
62,19.0,0.0010643529999470047,-18.0,1.4210854715202004e-14
63,14.0,0.0007517330000155198,86.0,1.4210854715202004e-14
64,14.0,0.0007535400000051595,86.0,1.4210854715202004e-14
65,21.0,0.001085133000060523,-20.0,1.4210854715202004e-14
66,14.0,0.0007896810000147525,86.0,1.4210854715202004e-14
67,15.0,0.0008670830000028218,85.0,1.4210854715202004e-14
68,17.0,0.0009733980000419251,-16.0,1.4210854715202004e-14
69,16.0,0.0008773229999405885,84.0,1.4210854715202004e-14
70,14.0,0.0007426979998399474,86.0,1.4210854715202004e-14
71,17.0,0.0008917789998577064,83.0,1.4210854715202004e-14
72,14.0,0.0007460100000571401,86.0,1.4210854715202004e-14
73,20.0,0.0010827240000708116,80.0,1.4210854715202004e-14
74,18.0,0.0009339430000636639,82.0,1.4210854715202004e-14
75,15.0,0.0007902830000148242,85.0,1.4210854715202004e-14
76,16.0,0.0008378689999517519,84.0,1.4210854715202004e-14
77,16.0,0.0008842500001264852,84.0,1.4210854715202004e-14
78,14.0,0.0007393839998712792,86.0,1.4210854715202004e-14
79,14.0,0.0007414930000777531,86.0,1.4210854715202004e-14
80,16.0,0.0008354589999726159,84.0,1.4210854715202004e-14
81,25.0,0.001330591000169079,-24.0,1.4210854715202004e-14
82,16.0,0.0008438919999207428,84.0,1.4210854715202004e-14
83,14.0,0.0007402890000776097,86.0,1.4210854715202004e-14
84,20.0,0.0011164549998738948,80.0,1.4210854715202004e-14
85,16.0,0.0008438930001375411,84.0,1.4210854715202004e-14
86,14.0,0.0007490220000363479,86.0,1.4210854715202004e-14
87,18.0,0.0009893599999486469,82.0,1.4210854715202004e-14
88,28.0,0.0014245580000533664,-27.0,1.4210854715202004e-14
89,18.0,0.0009426780000012513,82.0,1.4210854715202004e-14
90,15.0,0.0007917890000044281,85.0,1.4210854715202004e-14
91,14.0,0.0007393850000880775,86.0,1.4210854715202004e-14
92,14.0,0.0007393850000880775,86.0,1.4210854715202004e-14
93,14.0,0.0007381799998711358,86.0,1.4210854715202004e-14
94,16.0,0.0008336519999829761,84.0,1.4210854715202004e-14
95,14.0,0.0007770309998704761,86.0,1.4210854715202004e-14
96,14.0,0.000739083000098617,86.0,1.4210854715202004e-14
97,16.0,0.0008396759999413916,84.0,1.4210854715202004e-14
98,15.0,0.0008393740001793049,-14.0,1.4210854715202004e-14
99,14.0,0.000744805999829623,86.0,1.4210854715202004e-14
100,14.0,0.000742999000067357,86.0,1.4210854715202004e-14
101,14.0,0.0007375780000984378,86.0,1.4210854715202004e-14
102,18.0,0.0009779150000213122,82.0,1.4210854715202004e-14
103,14.0,0.0007448050000675721,86.0,1.4210854715202004e-14
104,14.0,0.0007439019998400909,86.0,1.4210854715202004e-14
105,14.0,0.0007469140000466723,86.0,1.4210854715202004e-14
106,28.0,0.0014609990000735706,-27.0,1.4210854715202004e-14
107,14.0,0.0007463120000466006,86.0,1.4210854715202004e-14
108,14.0,0.0007426980000673211,86.0,1.4210854715202004e-14
109,16.0,0.0008411819999309955,84.0,1.4210854715202004e-14
110,27.0,0.0014200400000845548,-26.0,1.4210854715202004e-14
111,14.0,0.0007532390000051237,86.0,1.4210854715202004e-14
112,14.0,0.0007439030000568891,86.0,1.4210854715202004e-14
113,14.0,0.0007869700000355806,86.0,1.4210854715202004e-14
114,14.0,0.000744805999829623,86.0,1.4210854715202004e-14
115,20.0,0.0010523060000195983,80.0,1.4210854715202004e-14
116,14.0,0.0007396850000986888,86.0,1.4210854715202004e-14
117,16.0,0.000882141999909436,84.0,1.4210854715202004e-14
118,16.0,0.0008390740001686936,84.0,1.4210854715202004e-14
119,15.0,0.0007935959999940678,85.0,1.4210854715202004e-14
120,29.0,0.0015070790000208945,-28.0,1.4210854715202004e-14
121,14.0,0.0007396849998713151,86.0,1.4210854715202004e-14
122,27.0,0.0013649250001890323,-26.0,1.4210854715202004e-14
123,14.0,0.0009101509999709378,86.0,1.4210854715202004e-14
124,14.0,0.0007481180000468157,86.0,1.4210854715202004e-14
125,16.0,0.0008438929999101674,84.0,1.4210854715202004e-14
126,14.0,0.0007457090000571043,86.0,1.4210854715202004e-14
127,14.0,0.0007881750000251486,86.0,1.4210854715202004e-14
128,16.0,0.0008402779999414633,84.0,1.4210854715202004e-14
129,14.0,0.0007405890000882209,86.0,1.4210854715202004e-14
