steps,time,reward,delta,converged
1,0.0028810399999201763,0.0,0,False
2,0.019670339999947828,0.0,0,False
3,0.003670720999934929,0.0,0,False
4,0.005603661999884935,0.0,0,False
5,0.011521146999939447,0.0,0,False
6,0.0133911430000353,0.0,0,False
7,0.005377478999889718,0.0,0,False
8,0.020971414999849003,0.0,0,False
9,0.0016597750000073574,0.0,0,False
10,0.005317546000014772,0.0,0,False
11,0.004926620000105686,0.0,0,False
12,0.008325079000087499,0.0,0,False
13,0.013874226999860184,0.0,0,False
14,0.012034651000021768,0.0,0,False
15,0.013553174999969997,0.0,0,False
16,0.007765194000057818,0.0,0,False
17,0.002843090999931519,0.0,0,False
18,0.013124001000051067,0.0,0,False
19,0.02008445599994957,0.0,0,False
20,0.011914783000065654,0.0,0,False
21,0.009627057999978206,0.0,0,False
22,0.0024127130000124453,0.0,0,False
23,0.004890178000096057,0.0,0,False
24,0.023757886000112194,0.0,0,False
25,0.016654675000154384,0.0,0,False
26,0.0030138580000311777,0.0,0,False
27,0.010161643999936132,0.0,0,False
28,0.00873708600011014,0.0,0,False
29,0.004549248000103034,0.0,0,False
30,0.0029352519998155913,0.0,0,False
31,0.006348466999952507,0.0,0,False
32,0.0065234500000315165,0.0,0,False
33,0.009431896000023698,0.0,0,False
34,0.021602678999897762,0.0,0,False
35,0.013246578999996927,0.0,0,False
36,0.004012554000155433,0.0,0,False
37,0.007519436000166024,0.0,0,False
38,0.012323478000098476,0.0,0,False
39,0.001270054000087839,0.0,0,False
40,0.0020817219999571535,0.0,0,False
41,0.004270961999964129,0.0,0,False
42,0.004048995999937688,0.0,0,False
43,0.006413823000002594,0.0,0,False
44,0.008686488999956055,0.0,0,False
45,0.003523144999917349,0.0,0,False
46,0.0035288669998863043,0.0,0,False
47,0.0035490459999891755,0.0,0,False
48,0.009702652999976635,0.0,0,False
49,0.01159041799996885,0.0,0,False
50,0.003570128999854205,0.0,0,False
51,0.013685390000091502,0.0,0,False
52,0.010417943000220475,0.0,0,False
