k,Pen Digits sse (left)
2,2.9133405000179637
3,2.4193520240802817
4,2.0142327820413817
5,1.7263028216881318
6,1.5080273011072352
7,1.3328817658634804
8,1.20912736049643
9,1.1183032054237139
10,1.0379528754955794
15,0.8006054204280773
20,0.6642411854788561
25,0.5765958631940629
30,0.5079151281014389
35,0.461936510015682
40,0.4246258009895747
