k,Wine Quality BIC
2,-111215.16275523337
3,-111874.22985063562
4,-112602.04067614787
5,-113205.06575725303
6,-113468.25910253084
7,-113439.91541533935
8,-113514.5298256028
9,-113251.37557634257
10,-113397.8283181024
15,-113054.27030436652
20,-112284.4800372305
25,-111908.10668649065
30,-111429.44656268688
35,-110799.72657434219
40,-109911.81044819766
