,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.35936174392700193,0.022097626403985063,0.0,0.0,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.9706541932059448,0.9685708598726115,0.9748805732484078,0.9737980769230771,0.9748005995396394,0.9725390451291716,0.002509694042969001,64,0.9756321100413389,0.970438127552456,0.9721766694913985,0.9706286418115495,0.9669445275119618,0.9711640152817409,0.002814496548816881
1,0.5312397480010986,0.07460658498830174,0.009374713897705078,0.007654421875841955,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.8993696921443738,0.9716958598726113,0.9644639065817411,0.9532852564102565,0.9245623895937051,0.9426834712747687,0.026963595999969125,282,0.9257654662389059,0.9745899005572325,0.9615622820059035,0.9439259715445226,0.940434360047847,0.9492555960788824,0.017036941066984605
2,0.6499952793121337,0.08420130193613218,0.003125,0.00625,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.9674694798301486,0.939609872611465,0.9736597664543526,0.9595352564102566,0.9500562068411758,0.9580706892387807,0.012157518590536723,243,0.9703869327575098,0.9458575502749534,0.9535842183512112,0.9506371689800557,0.9573925937001595,0.955571692812778,0.008312294028701097
3,0.693788719177246,0.1481691802975519,0.009375047683715821,0.007654694398105721,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.9576167728237793,0.9522890127388535,0.9724389596602973,0.9348557692307694,0.9412638509715756,0.9517047194546593,0.01310054730224423,265,0.9755513637793913,0.9699432445346433,0.96172960157963,0.9147046283575724,0.9482306618819777,0.9540319000266428,0.021706227099157434
4,0.7220476150512696,0.09657276814466959,0.0,0.0,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.9713972929936308,0.9427348726114649,0.966129246284501,0.9830929487179487,0.9788287564905519,0.9684254855844717,0.014126122728068827,164,0.9718353708584243,0.9595598579531739,0.9665560637112979,0.9760054952863706,0.9704607755183414,0.9688835126655215,0.005554663215338407
5,0.7501276016235352,0.15536261313665192,0.003124856948852539,0.006249713897705078,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.9693139596602972,0.9395501592356688,0.9554737261146496,0.9713141025641028,0.9467038702424925,0.9564726379970189,0.012393898252357774,255,0.9718865656533703,0.946780305237519,0.9492617960299476,0.967707297045494,0.959980562200957,0.9591233052334575,0.009868329485324201
6,0.7469131469726562,0.0929267556000017,0.0,0.0,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.9513070594479831,0.9724986730360934,0.9639264861995754,0.9808493589743591,0.9765938654247633,0.9690266248126662,0.010480532332989732,153,0.9691786523532123,0.9803778259110592,0.9657061468716235,0.9759581221280023,0.9788589015151516,0.9740159297558098,0.005659539797802606
7,0.8562865734100342,0.06510919801492171,0.0031249523162841797,0.006249904632568359,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.9747014331210193,0.9511876326963905,0.966069532908705,0.9808493589743591,0.9487915529147263,0.9643244675666495,0.012627044531280706,216,0.9841279486953236,0.9619730890190078,0.9633270456690869,0.9862617840731439,0.9559447268740032,0.970326918866113,0.012409838821674858
8,0.9499931812286377,0.1423156925486621,0.0031249523162841797,0.006249904632568359,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.9693139596602974,0.9703556263269639,0.9777667197452229,0.9797275641025641,0.9723448958835181,0.9739009008192513,0.004121742937305181,47,0.9793185514953041,0.9777211074058472,0.9835897790216217,0.969254820218864,0.9706078050239235,0.976098412633112,0.005405636540400881
9,1.215864658355713,0.11884584077050807,0.0062500953674316405,0.0076547722469702305,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.9693139596602974,0.9713972929936306,0.9852375265392782,0.9850961538461541,0.9508792355869601,0.9723943559993545,0.012638922016873335,67,0.9795961687979794,0.9758631109453638,0.9844055659979987,0.9695153725898904,0.9514528508771931,0.972166613841685,0.011443280857297986
