k,Wine Quality sse (left)
2,3.592281583718191
3,3.108775608182442
4,2.7506895971785283
5,2.4656623607844983
6,2.2331750279769995
7,2.049373895553328
8,1.9192773071797509
9,1.8316764719739396
10,1.7594204195320504
15,1.5095282425455863
20,1.3460006190502214
25,1.2297390179652663
30,1.1393626956536533
35,1.0579952418923668
40,1.00370114049097
