k,Pen Digits BIC
2,-168708.7233824513
3,-171539.43194141463
4,-177941.57009896077
5,-181043.30004438423
6,-183017.58916624417
7,-183900.25763034573
8,-186372.76379614108
9,-187711.76942492853
10,-188281.93677159943
15,-190530.51414736977
20,-191553.88230354508
25,-191607.2749663793
30,-191848.487766478
35,-191620.3456915589
40,-191259.5303922284
