k,Wine Quality log-likelihood
2,17.545372775254986
3,17.684419683056902
4,17.834268559763593
5,17.964509368524485
6,18.04135109874556
7,18.07238248445544
8,18.119592075296513
9,18.11372676677811
10,18.172224593240866
15,18.295665686187096
20,18.352131252200557
25,18.47041594398337
30,18.572627918439988
35,18.65110327056145
40,18.689007262249252
