,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.1751967906951903,0.5532109403999361,0.0,0.0,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.09999999999999999,0.19017857142857147,0.2,0.1,0.26544729542302353,0.1710293544764635,0.0635600824033026,292,0.09999999999999999,0.18796979398663696,0.19910913140311803,0.1,0.26804072311601124,0.17102392970115327,0.06415137762497704
1,2.606506681442261,1.943280752114629,0.009375429153442383,0.007655006054948987,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.558683628318584,0.10000000000000002,0.2482142857142857,0.4402825936199723,0.20178571428571426,0.3099810006068509,0.1665789191027798,249,0.573366010792018,0.09999999999999999,0.24279714838058508,0.45135052950480503,0.196875,0.3128777377354816,0.17361665234083976
2,4.388163042068482,2.7335429073338573,0.0,0.0,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.5108358455703589,0.5699555905259789,0.27589285714285716,0.2857142857142857,0.4359567698766727,0.41590561123558667,0.11808086541159606,216,0.5294813625888136,0.5708142016179353,0.2875144169583201,0.2836464826136132,0.43960894166330017,0.42221308108839645,0.11936148921249909
3,2.8661399841308595,1.6182100335913858,0.0031251430511474608,0.0062502861022949215,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.34898072060682683,0.3089285714285715,0.6261875866851595,0.638618238557559,0.29869691119691116,0.4440850163471532,0.1544923889937017,207,0.339402564717162,0.3140769169583201,0.6147489249158934,0.6299463573143481,0.2835601932866688,0.4363469914384785,0.1529705612274524
4,3.5661147117614744,1.216076130374014,0.009375,0.007654655477386602,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.6531471846737333,0.32589285714285726,0.5521757975034673,0.6397884882108184,0.6469997563444164,0.5635251610270906,0.12451974454004423,180,0.6685618571631305,0.33505209990454976,0.5364741472187097,0.6417521768823433,0.6577786894674101,0.5679237941272287,0.12559526926541478
5,3.5724331378936767,2.0083426032723315,0.009375381469726562,0.0076549669451227076,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.6422906739278421,0.32678571428571435,0.6381154646324549,0.6662274618585299,0.3311212998712998,0.5209569576497299,0.15701264464741443,188,0.6785467443535036,0.3281722279669106,0.640886439345959,0.6614506816037264,0.3344177537384665,0.5286947694017132,0.16162893668208597
6,4.035068607330322,2.19496923248871,0.0,0.0,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.31256321112515806,0.6841379494292117,0.7344920249653261,0.31071428571428567,0.6828514107033523,0.5447274727850554,0.19144248262209107,181,0.3127297059763503,0.6746191553117848,0.7228359735668743,0.31323500796486065,0.6821918586899014,0.5411223403019543,0.18699608808968177
7,3.172300624847412,1.9445889209108171,0.0031248092651367187,0.006249618530273437,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.7469531022075271,0.3089285714285715,0.6271671289875174,0.6120232316227462,0.3141489703989704,0.522017236216249,0.17806347011779314,187,0.7710444138989341,0.30402034282532614,0.6416372682723996,0.6144988835769973,0.3268518334393891,0.5316105484026092,0.18440627113409044
8,3.969869518280029,1.2455361267361997,0.0,0.0,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.7288741126130506,0.6698589032326898,0.6486303744798891,0.6793429264909848,0.6993989828941285,0.6852637609298748,0.027284407838101356,123,0.7536866186302102,0.6664182420017911,0.6363252019029305,0.6827398541948396,0.7073828617628359,0.6893105556985215,0.039612032481434106
9,7.4326831817626955,1.4675447486619786,0.0031250476837158202,0.0062500953674316405,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.771683847126325,0.826445641736904,0.8035714285714286,0.833001040221914,0.8014422536267195,0.8071979859559412,0.021674845195888658,46,0.7851542394502521,0.8316609100511401,0.7927896784746054,0.842250548167106,0.8028513681850855,0.8109413488656377,0.022223735572654276
10,7.5762182712554935,1.5486946624722695,0.003125619888305664,0.006251239776611328,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.7319890839249248,0.8571962018563961,0.8498179611650486,0.8221307212205271,0.8364468924541738,0.8194272398644562,0.045449106655817424,38,0.7325521739282489,0.8602086445917119,0.8481660793246791,0.8281100268999422,0.8414872843678906,0.8221048418224945,0.04596196153220121
