k,Pen Digits log-likelihood
2,15.697397368488813
3,15.976982083748306
4,16.588175861086054
5,16.892925050482976
6,17.092990783653015
7,17.191698981283746
8,17.438024421411576
9,17.579103757824655
10,17.648796067114564
15,17.94133752465192
20,18.12011768046272
25,18.20883511637184
30,18.314991747941544
35,18.377568539676723
40,18.427826554772036
