k,Pen Digits log-likelihood
2,-7.166449676209825
3,-6.792023333209
4,-6.4295328019077544
5,-6.2901735938752745
6,-6.215211935906403
7,-6.090078347950577
8,-5.959564607325877
9,-5.890549684396617
10,-5.847120437998378
15,-5.5629108387309865
20,-5.453146060708783
25,-5.3846374559925545
30,-5.307580099836845
35,-5.2561554397013355
40,-5.2184789869546435
