k,Pen Digits BIC
2,77431.81281787793
3,73528.11169260292
4,69752.95925933236
5,68380.93117766641
6,67702.46471018552
7,66483.64655674512
8,65206.884159060966
9,64592.46402795669
10,64253.601633091515
15,61837.01719320099
20,61299.203478121155
25,61205.71874954665
30,61020.163967968954
35,61110.6733225288
40,61349.25087066622
