,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.3374830722808838,0.02119534364427646,0.0062503814697265625,0.00765512264928863,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.968391719745223,0.9736597664543525,0.9810708598726114,0.9841346153846154,0.9788287564905519,0.9772139566951914,0.005584020140135531,172,0.9796985583878718,0.9781011142984148,0.9757049481642295,0.9754843905443176,0.9760105163476875,0.9769999055485042,0.0016399987319508243
1,0.47811226844787597,0.037756385770298495,0.0,0.0,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.9705944798301487,0.9768444798301484,0.9821722399150744,0.9841346153846154,0.9853126170975859,0.9798068703240397,0.005446037082389437,83,0.9824064716880296,0.9818512370826791,0.9797668181144666,0.9776161826708986,0.9781748405103668,0.9799631100132882,0.001912043220162112
2,0.49378552436828616,0.029002228141224867,0.0,0.0,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.9683320063694268,0.9768444798301484,0.9714570063694267,0.986298076923077,0.984268775761469,0.9774329931797812,0.0069880505913461725,166,0.9823040820981375,0.982389406756381,0.9793526813586015,0.9808217663871651,0.9789722886762361,0.9807680450553043,0.0014296226712723244
3,0.5312999725341797,0.07591397996090553,0.006249570846557617,0.0076541298460617605,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.9767847664543525,0.9767847664543523,0.9810111464968153,0.9840544871794874,0.9850918045072534,0.9807416224040151,0.0035004651305964854,51,0.9825475695375153,0.9799079159639521,0.9820264647954622,0.9772450929303456,0.9692571271929825,0.9781968340840516,0.0048445214850058186
4,0.6125076293945313,0.06877181530699282,0.0,0.0,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.9768444798301487,0.9736000530785561,0.9809514331210192,0.9894230769230771,0.9851654087040309,0.9811918107514364,0.005659151281381124,34,0.9833633565138925,0.9825134396742179,0.9823040820981376,0.980482258752191,0.9817720793460926,0.9820870432769062,0.0009520956742835687
5,0.6219282150268555,0.011691991192736827,0.0,0.0,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.9767847664543525,0.9715167197452228,0.9778264331210191,0.9894230769230771,0.9862092500401478,0.9803455170665586,0.006537917749383346,61,0.980446085637654,0.9796302986612768,0.982043529727111,0.978903153473242,0.9812512460127593,0.9804548627024087,0.0011176648620276
6,0.6531323432922364,0.06944446446832478,0.006249856948852539,0.007654480275114192,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.9810708598726114,0.9746417197452228,0.9841958598726117,0.9883814102564104,0.9809900433595633,0.9818544721595894,0.004505429518965891,22,0.9799420458272495,0.9846490534373765,0.9846831833006742,0.98127970691806,0.9805023923444975,0.9822112763655715,0.002048931156320229
7,0.653164005279541,0.030331828172744654,0.00625004768371582,0.007654713855866252,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.9778264331210194,0.9693139596602972,0.9448779193205945,0.9883814102564104,0.9819602804989026,0.9724610370360771,0.015123556720318211,268,0.9801514034033301,0.9800831436767351,0.9540711932299669,0.9799927361157168,0.982292912679426,0.9753182778210349,0.010658308917400137
8,0.6500550270080566,0.046981670784590396,0.0,0.0,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.9735403397027601,0.9714570063694267,0.9746417197452231,0.9894230769230771,0.9445425833734811,0.9707315217759044,0.014541211168563524,278,0.978797446753251,0.9843373062714039,0.9806895730770319,0.9815402592890868,0.9357805023923447,0.9722290175566236,0.018311359303484438
9,0.859370231628418,0.08443246227744547,0.00937514305114746,0.007654772252910934,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.9724986730360936,0.9618431528662421,0.9820528131634821,0.9862179487179489,0.9754764198918688,0.9756145591140408,0.008407363121611432,223,0.9771829377321453,0.9835385842266755,0.9812106778190851,0.9767397792410819,0.9700221790271133,0.9777388316092201,0.004616160682611087
10,1.2969534397125244,0.29502936218531833,0.0031247615814208986,0.006249523162841797,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.973480626326964,0.9502653927813165,0.978927813163482,0.9894230769230771,0.990458219581393,0.976498201607283,0.01459611435362719,197,0.9740051144848804,0.9790579991242775,0.9833292266505951,0.9801585421700063,0.9796563496810208,0.9792414464221559,0.0030058603290702285
