k,Wine Quality BIC
2,41530.85157532725
3,41108.68363268755
4,40846.509675699526
5,40630.02068886364
6,40823.3306059882
7,40737.82361972514
8,40725.62841939131
9,40810.657598153506
10,40883.37428682622
15,41078.82701172987
20,41359.17805027698
25,41853.467775201505
30,42250.11711350274
35,42584.72904739358
40,43018.756376436766
