k,Pen Digits sse (left)
2,43673.21716585299
3,33505.11412451861
4,25239.39249647475
5,21252.72094487834
6,17957.65831971031
7,14805.1577239931
8,13167.90663195259
9,12144.037897946644
10,11344.929736383057
15,8441.939629572109
20,6970.741749943846
25,6024.674068450489
30,5281.913737985224
35,4711.175969503747
40,4310.05577434752
