k,Wine Quality log-likelihood
2,-6.489151301739349
3,-6.403804519719681
4,-6.3435982131323945
5,-6.290570563074357
6,-6.301936204022047
7,-6.269490263670612
8,-6.248564088550044
9,-6.242915157159209
10,-6.235331516451989
15,-6.1709942811025735
20,-6.119997447017059
25,-6.102617628389968
30,-6.06989519715708
35,-6.0274245879841555
40,-6.000575505390796
