k,Wine Quality sse (left)
2,19269.652911635138
3,13896.576680291659
4,11296.813330069148
5,9888.783417668878
6,9170.831122868329
7,8586.690693216511
8,8056.2809694320285
9,7562.318407609735
10,7165.695376978347
15,5801.16986193132
20,5054.585404147032
25,4532.733166887681
30,4170.494595939232
35,3854.7639907032003
40,3598.4227231439154
