,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,3.0349392890930176,0.5207495337266046,0.0,0.0,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5561290479432072,0.5233989917849142,0.5665221914008322,0.5277305825242719,0.551522378828204,0.5450577360894058,0.016699284528496023,287,0.5558220576395141,0.5202280778425518,0.558964521912814,0.5393996598162105,0.5632774927789063,0.5475383619979993,0.015868125758726544
1,3.112855052947998,0.6910602589656476,0.003125,0.006250000000000001,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.7556519255081203,0.7587478662114585,0.789251040221914,0.7351681692094314,0.769574446152116,0.7616672119494928,0.01770644046135693,266,0.755948473086258,0.7411479034441516,0.7805467372380336,0.7636472070701553,0.7717664190885408,0.7626113479854278,0.013502887632557567
2,3.7691276550292967,1.0363026065145942,0.0,0.0,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.836846615773607,0.8478055318467942,0.8519157420249654,0.8226768377253814,0.8165483531381589,0.8351736604701466,0.013742382471791622,214,0.8318014896667003,0.8471409854983222,0.8575406657776499,0.8414826337315653,0.8235780386509772,0.8403087626650428,0.01180920443476052
3,3.706711006164551,0.8919073062321209,0.006250190734863281,0.0076548890492281856,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.8541360741028883,0.8646731302677906,0.8755201109570042,0.8701629680998613,0.8397150010620883,0.8608395099099507,0.01270240709540767,93,0.842497289087871,0.8676996364135995,0.8851618829543205,0.8861092316917127,0.8492840480623145,0.8661504176419637,0.017922807054652712
4,4.075430870056152,1.133542826620774,0.0031250476837158202,0.006250095367431641,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.8699911261305068,0.8785560919662863,0.8517597087378641,0.8680651872399445,0.8686201284502254,0.8674098798210803,0.008689358951580541,58,0.8600772940864424,0.8921765952309896,0.8550091805088849,0.8835697658564073,0.8786175559018325,0.8738900783169112,0.014126028502461028
5,3.659961223602295,0.4323488016631483,0.00625004768371582,0.007654713846955128,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.8731820723524265,0.8699615918062522,0.8813453536754507,0.8555651872399446,0.8708739425972435,0.8701892303951275,0.00833320568488615,45,0.864246116295808,0.8736126088793955,0.8830086978365862,0.8772723923989593,0.8841018722822228,0.8764483375385943,0.007200410377343689
6,4.391078233718872,0.8790931077212188,0.00625004768371582,0.007654713855866252,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.8734488962365069,0.8642890483303106,0.870240984743412,0.8665135228848821,0.8843070185303193,0.8717542103023742,0.007007865572498603,38,0.8647235877389102,0.8751185741131727,0.8671659271036455,0.8810566864859503,0.885362194827148,0.8746853940537654,0.007881053930070782
7,3.903429889678955,0.5427117849667336,0.00937495231628418,0.007654616524983216,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.8758661139745211,0.8699989331057294,0.8515256588072121,0.8406553398058252,0.8685501555647186,0.8613432543597097,0.01313124894208343,88,0.8733953988787391,0.871859941870759,0.8495756107907678,0.8599741110018243,0.8723730316081412,0.8654356188300463,0.009318000255123216
8,4.822337484359741,1.8822722048004619,0.0031251907348632812,0.0062503814697265625,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.8842531362442868,0.8560879654326258,0.8848387656033287,0.8510228848821081,0.8909712330222038,0.8734327180419337,0.016473561566898682,30,0.8775714861840429,0.8576670262841186,0.888930619987539,0.8691520151312967,0.9030074331418703,0.8792657161457734,0.015676353270494586
9,4.075617742538452,0.8771713603613998,0.0031246662139892576,0.006249332427978514,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.8824145434211806,0.8753374053131335,0.846749306518724,0.8636789181692095,0.866966316177481,0.8670554803024573,0.012072088062132575,59,0.8767469505085818,0.8738696589840222,0.852739839322901,0.8872701145661331,0.8871364131418228,0.8755525953046922,0.012618761332423267
10,4.387864780426026,0.6461245192973747,0.003125,0.00625,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.8828345327239133,0.8744352128454072,0.8950936199722608,0.8608443134535367,0.8714651978608288,0.8769414039002287,0.01147705842396919,20,0.8837495337710366,0.880204102555305,0.8866343268747712,0.8708149366795488,0.8747140970181574,0.8792233993797638,0.0057862867255595194
