k,Wine Quality sse (left)
2,25319.923125737063
3,20695.818739172544
4,18649.864608443026
5,16736.099781002624
6,15954.7349156694
7,15115.844677557472
8,14298.249369509625
9,13737.886499749558
10,13249.848479367027
15,11377.270702654041
20,10328.732470740886
25,9478.400937719973
30,8820.667066577875
35,8316.232404899984
40,7855.526172909975
