k,Wine Quality log-likelihood
2,-9.372797155316478
3,-9.082120854149682
4,-8.721674013462312
5,-8.58993902408972
6,-8.502961784083478
7,-8.418984456643685
8,-8.276668820445904
9,-8.219154659275107
10,-8.119554541076813
15,-7.975944128740288
20,-7.766447444888522
25,-7.589543960429285
30,-7.437881330650036
35,-6.259210472315833
40,-6.04423560374728
