k,Pen Digits log-likelihood
2,-10.379630535845862
3,-9.186718488629946
4,-8.580428787742658
5,-7.14818789840915
6,-6.825218734818662
7,-5.610669065566816
8,-5.112363599693432
9,-4.51717026252038
10,-4.578155247907849
15,-3.2205233973667915
20,-2.450289446830784
25,-1.6650285434864198
30,-1.6189727138204542
35,-1.0414189504178644
40,-1.1725357586171583
